"id","x","y","rep","collections"
3,41.5,22.5,1,1
3,27.5,41.5,1,8
23,26.5,43.5,1,1
36,133.5,-62.5,1,1
44,72.5,29.5,1,1
50,29.5,34.5,1,3
82,30.5,39.5,1,1
103,30.5,36.5,1,17
107,26.5,41.5,1,24
107,27.5,41.5,1,8
109,62.5,32.5,1,2
110,59.5,33.5,1,3
111,33.5,40.5,1,1
111,34.5,18.5,1,1
111,64.5,32.5,1,2
111,61.5,31.5,1,2
131,32.5,36.5,1,1
131,27.5,41.5,1,8
134,72.5,29.5,1,1
136,32.5,36.5,1,1
152,29.5,34.5,1,3
152,31.5,35.5,1,3
152,30.5,35.5,1,1
152,30.5,36.5,1,17
152,30.5,33.5,1,1
152,33.5,36.5,1,10
152,30.5,34.5,1,1
152,16.5,33.5,1,2
152,34.5,36.5,1,1
152,32.5,36.5,1,1
158,140.5,-62.5,1,2
164,69.5,34.5,1,6
164,65.5,32.5,1,1
167,64.5,32.5,1,2
168,138.5,-66.5,1,3
171,-39.5,35.5,1,2
175,65.5,31.5,1,5
179,61.5,31.5,1,2
200,60.5,33.5,1,1
200,62.5,31.5,1,1
228,27.5,41.5,1,8
228,24.5,40.5,1,25
228,25.5,40.5,1,10
236,138.5,-61.5,1,1
242,65.5,32.5,1,1
252,30.5,36.5,1,17
258,69.5,34.5,1,6
272,138.5,-66.5,1,3
276,25.5,40.5,1,10
278,62.5,31.5,1,1
281,69.5,34.5,1,6
283,24.5,41.5,1,6
294,-39.5,35.5,1,2
297,30.5,39.5,1,1
299,59.5,32.5,1,1
299,60.5,33.5,1,1
311,138.5,-61.5,1,1
314,34.5,18.5,1,1
314,25.5,19.5,1,1
314,26.5,20.5,1,1
327,-43.5,21.5,1,7
332,65.5,43.5,1,1
339,65.5,43.5,1,1
347,25.5,41.5,1,17
354,138.5,-66.5,1,3
362,137.5,-65.5,1,1
362,138.5,-66.5,1,3
372,33.5,36.5,1,10
388,34.5,36.5,1,1
389,16.5,33.5,1,2
391,30.5,35.5,1,1
394,31.5,35.5,1,3
404,69.5,34.5,1,6
434,16.5,33.5,1,2
436,25.5,41.5,1,17
436,26.5,41.5,1,24
436,27.5,41.5,1,8
453,72.5,29.5,1,1
459,138.5,-61.5,1,1
480,54.5,33.5,1,2
481,-47.5,29.5,1,1
484,140.5,-62.5,1,2
484,138.5,-61.5,1,1
484,136.5,-60.5,1,1
491,30.5,39.5,1,1
507,-28.5,-34.5,1,1
518,32.5,36.5,1,1
533,-39.5,35.5,1,2
538,71.5,29.5,1,1
549,30.5,35.5,1,1
549,31.5,35.5,1,3
