"id","x","y","rep","collections"
8,3.5,38.5,1,7
10,3.5,38.5,1,7
28,-177.5,-49.5,1,3
31,-69.5,38.5,1,1
68,-58.5,-45.5,1,1
73,2.5,53.5,1,1
80,140.5,50.5,1,1
86,144.5,-50.5,1,3
86,144.5,-48.5,1,1
114,-118.5,41.5,1,2
130,-112.5,33.5,1,6
131,9.5,42.5,1,12
136,117.5,-43.5,1,1
146,9.5,39.5,1,1
146,12.5,39.5,1,1
146,3.5,38.5,1,7
158,3.5,38.5,1,7
173,-118.5,41.5,1,2
180,62.5,15.5,1,5
186,-117.5,46.5,1,3
186,-112.5,33.5,1,6
187,144.5,-48.5,1,1
198,12.5,39.5,1,1
203,3.5,38.5,1,7
203,0.5,40.5,1,3
222,2.5,53.5,1,1
226,-112.5,33.5,1,6
226,-117.5,46.5,1,3
240,-88.5,29.5,1,1
247,-158.5,58.5,1,1
249,-112.5,33.5,1,6
277,12.5,39.5,1,1
277,9.5,39.5,1,1
292,-174.5,-43.5,1,106
295,144.5,-48.5,1,1
297,178.5,-49.5,1,2
299,178.5,-49.5,1,2
317,-81.5,29.5,1,1
319,-58.5,-45.5,1,1
324,11.5,-30.5,1,1
325,22.5,33.5,1,1
331,9.5,42.5,1,12
331,12.5,39.5,1,1
333,3.5,38.5,1,7
333,9.5,39.5,1,1
342,178.5,-49.5,1,2
350,140.5,50.5,1,1
351,-177.5,-49.5,1,3
352,-112.5,33.5,1,6
352,-118.5,41.5,1,2
354,140.5,-48.5,1,1
359,-158.5,58.5,1,1
370,140.5,50.5,1,1
381,-174.5,-43.5,1,106
386,144.5,-48.5,1,1
389,144.5,-48.5,1,1
391,-58.5,-45.5,1,1
394,0.5,37.5,1,3
423,22.5,33.5,1,1
434,140.5,50.5,1,1
438,2.5,53.5,1,1
442,144.5,-48.5,1,1
448,9.5,39.5,1,1
448,3.5,38.5,1,7
448,9.5,42.5,1,12
449,140.5,-48.5,1,1
449,144.5,-48.5,1,1
460,3.5,38.5,1,7
464,-177.5,-49.5,1,3
486,144.5,-50.5,1,3
512,22.5,33.5,1,1
548,0.5,37.5,1,3
562,-177.5,-49.5,1,3
577,178.5,-49.5,1,2
581,178.5,-49.5,1,2
591,144.5,-48.5,1,1
610,122.5,-43.5,1,6
617,-58.5,-45.5,1,1
619,144.5,-50.5,1,3
626,144.5,-50.5,1,3
626,122.5,-43.5,1,6
634,140.5,-48.5,1,1
636,-10.5,35.5,1,4
643,11.5,31.5,1,2
649,-10.5,35.5,1,4
650,122.5,-43.5,1,6
651,0.5,40.5,1,3
654,117.5,-43.5,1,1
662,-58.5,-45.5,1,1
669,-58.5,-45.5,1,1
700,140.5,50.5,1,1
704,144.5,-48.5,1,1
723,9.5,42.5,1,12
723,9.5,39.5,1,1
723,3.5,38.5,1,7
726,12.5,39.5,1,1
739,11.5,-30.5,1,1
741,-77.5,29.5,1,1
741,-81.5,29.5,1,1
743,144.5,-50.5,1,3
753,178.5,-49.5,1,2
765,-69.5,38.5,1,1
770,140.5,50.5,1,1
773,122.5,-43.5,1,6
774,0.5,37.5,1,3
774,3.5,38.5,1,7
774,9.5,39.5,1,1
777,-88.5,29.5,1,1
784,144.5,-48.5,1,1
788,144.5,-50.5,1,3
796,140.5,50.5,1,1
800,-177.5,-49.5,1,3
825,122.5,-43.5,1,6
828,9.5,39.5,1,1
828,0.5,40.5,1,3
833,-58.5,-45.5,1,1
836,122.5,-43.5,1,6
851,91.5,16.5,1,8
854,-10.5,35.5,1,4
856,11.5,31.5,1,2
865,-58.5,-45.5,1,1
872,178.5,-49.5,1,2
879,2.5,53.5,1,1
880,117.5,-43.5,1,1
886,-81.5,29.5,1,1
886,-77.5,29.5,1,1
886,-88.5,29.5,1,1
913,-174.5,-43.5,1,106
915,22.5,33.5,1,1
915,44.5,39.5,1,2
926,-58.5,-45.5,1,1
933,-174.5,-43.5,1,106
934,0.5,40.5,1,3
934,3.5,38.5,1,7
934,9.5,42.5,1,12
938,-58.5,-45.5,1,1
940,-58.5,-45.5,1,1
941,178.5,-49.5,1,2
950,140.5,50.5,1,1
952,-177.5,-49.5,1,3
958,140.5,50.5,1,1
995,44.5,39.5,1,2
996,178.5,-49.5,1,2
5,-117.5,46.5,2,3
5,-118.5,41.5,2,2
6,0.5,37.5,2,3
17,0.5,37.5,2,3
17,3.5,38.5,2,7
27,9.5,42.5,2,12
36,2.5,53.5,2,1
40,9.5,39.5,2,1
52,-118.5,41.5,2,2
62,122.5,-43.5,2,6
62,117.5,-43.5,2,1
69,-10.5,35.5,2,4
69,9.5,42.5,2,12
83,-10.5,35.5,2,4
94,178.5,-49.5,2,2
96,0.5,40.5,2,3
96,0.5,37.5,2,3
96,2.5,53.5,2,1
111,140.5,-48.5,2,1
124,144.5,-50.5,2,3
124,144.5,-48.5,2,1
124,140.5,-48.5,2,1
135,122.5,-43.5,2,6
142,-77.5,29.5,2,1
143,-158.5,58.5,2,1
157,3.5,38.5,2,7
160,0.5,37.5,2,3
160,0.5,40.5,2,3
171,0.5,40.5,2,3
173,144.5,-50.5,2,3
173,144.5,-48.5,2,1
178,178.5,-49.5,2,2
184,-174.5,-43.5,2,106
186,0.5,40.5,2,3
186,3.5,38.5,2,7
192,3.5,38.5,2,7
193,9.5,39.5,2,1
204,-117.5,46.5,2,3
206,-10.5,35.5,2,4
211,44.5,39.5,2,2
214,-158.5,58.5,2,1
229,140.5,50.5,2,1
232,-10.5,35.5,2,4
233,11.5,31.5,2,2
244,140.5,-48.5,2,1
245,12.5,39.5,2,1
251,44.5,39.5,2,2
256,2.5,53.5,2,1
286,-112.5,33.5,2,6
292,9.5,39.5,2,1
295,-69.5,38.5,2,1
301,144.5,-48.5,2,1
302,144.5,-50.5,2,3
312,0.5,37.5,2,3
326,44.5,39.5,2,2
330,-69.5,38.5,2,1
346,12.5,39.5,2,1
354,140.5,-48.5,2,1
358,-118.5,41.5,2,2
360,-88.5,29.5,2,1
363,-118.5,41.5,2,2
369,9.5,42.5,2,12
375,9.5,42.5,2,12
