"id","x","y","rep","collections"
2,71.5,50.5,1,7
34,71.5,50.5,1,7
35,114.5,-33.5,1,4
45,16.5,43.5,1,12
51,25.5,39.5,1,2
61,91.5,-38.5,1,28
68,-37.5,36.5,1,2
68,-38.5,37.5,1,4
74,116.5,-38.5,1,30
78,4.5,35.5,1,1
85,-7.5,37.5,1,3
88,16.5,45.5,1,8
96,1.5,33.5,1,1
98,-1.5,36.5,1,70
107,27.5,-18.5,1,2
118,-31.5,-51.5,1,4
122,-1.5,37.5,1,2
122,-1.5,36.5,1,70
128,-30.5,-44.5,1,3
131,-27.5,-63.5,1,2
146,-34.5,38.5,1,3
151,116.5,-38.5,1,30
164,-30.5,-44.5,1,3
169,31.5,37.5,1,1
195,-7.5,37.5,1,3
199,91.5,-38.5,1,28
210,114.5,-33.5,1,4
215,-31.5,-51.5,1,4
216,97.5,-37.5,1,9
223,116.5,-38.5,1,30
226,-31.5,-51.5,1,4
232,-21.5,35.5,1,2
232,-16.5,34.5,1,9
236,148.5,-41.5,1,16
239,116.5,-38.5,1,30
250,15.5,42.5,1,26
250,16.5,45.5,1,8
257,-7.5,37.5,1,3
259,-34.5,38.5,1,3
273,73.5,-47.5,1,2
277,-34.5,38.5,1,3
286,-9.5,35.5,1,7
293,74.5,49.5,1,6
300,29.5,40.5,1,32
308,71.5,50.5,1,7
311,-49.5,-67.5,1,1
317,-32.5,-64.5,1,1
323,73.5,-18.5,1,87
324,22.5,40.5,1,1
325,68.5,41.5,1,4
339,16.5,45.5,1,8
365,-50.5,-33.5,1,2
384,26.5,41.5,1,6
394,-8.5,71.5,1,3
425,-11.5,34.5,1,29
425,-16.5,34.5,1,9
425,1.5,33.5,1,1
428,148.5,-41.5,1,16
438,71.5,50.5,1,7
438,74.5,49.5,1,6
439,91.5,-38.5,1,28
445,-16.5,34.5,1,9
451,22.5,40.5,1,1
451,32.5,39.5,1,28
462,68.5,41.5,1,4
465,-22.5,-70.5,1,3
470,-27.5,-63.5,1,2
493,19.5,43.5,1,4
496,68.5,41.5,1,4
502,68.5,48.5,1,2
519,71.5,50.5,1,7
527,-38.5,37.5,1,4
527,-37.5,36.5,1,2
527,-34.5,38.5,1,3
539,74.5,49.5,1,6
539,71.5,50.5,1,7
553,74.5,49.5,1,6
558,80.5,-35.5,1,1
561,25.5,39.5,1,2
584,26.5,41.5,1,6
589,15.5,40.5,1,22
601,-32.5,-64.5,1,1
619,91.5,-38.5,1,28
624,91.5,-38.5,1,28
632,120.5,-41.5,1,2
635,-44.5,11.5,1,1
635,-47.5,11.5,1,115
647,22.5,40.5,1,1
648,114.5,-33.5,1,4
649,-7.5,37.5,1,3
655,116.5,-38.5,1,30
662,120.5,-41.5,1,2
686,16.5,43.5,1,12
686,19.5,43.5,1,4
686,15.5,40.5,1,22
686,16.5,45.5,1,8
694,68.5,48.5,1,2
700,19.5,43.5,1,4
700,20.5,44.5,1,5
701,-11.5,34.5,1,29
705,73.5,-47.5,1,2
708,25.5,39.5,1,2
717,74.5,49.5,1,6
718,-50.5,-33.5,1,2
736,-11.5,34.5,1,29
736,-21.5,35.5,1,2
736,-8.5,35.5,1,1
748,120.5,-41.5,1,2
754,149.5,-46.5,1,264
768,25.5,39.5,1,2
768,32.5,39.5,1,28
768,22.5,40.5,1,1
770,35.5,38.5,1,21
773,27.5,37.5,1,2
773,29.5,40.5,1,32
779,-1.5,36.5,1,70
786,-8.5,35.5,1,1
789,37.5,37.5,1,26
792,26.5,41.5,1,6
802,-7.5,37.5,1,3
802,-8.5,35.5,1,1
802,-21.5,35.5,1,2
806,29.5,40.5,1,32
809,14.5,39.5,1,1
810,25.5,39.5,1,2
810,22.5,40.5,1,1
810,15.5,40.5,1,22
816,91.5,-38.5,1,28
822,13.5,45.5,1,2
823,151.5,-56.5,1,4
832,13.5,45.5,1,2
832,16.5,45.5,1,8
832,20.5,44.5,1,5
834,68.5,41.5,1,4
835,120.5,-41.5,1,2
854,32.5,39.5,1,28
854,31.5,37.5,1,1
855,25.5,39.5,1,2
856,-21.5,35.5,1,2
870,-43.5,-67.5,1,4
878,29.5,40.5,1,32
882,30.5,42.5,1,19
887,73.5,-47.5,1,2
888,151.5,-56.5,1,4
892,147.5,-18.5,1,1
907,37.5,37.5,1,26
907,31.5,37.5,1,1
932,-31.5,-51.5,1,4
938,115.5,-41.5,1,1
940,-49.5,-67.5,1,1
964,114.5,-33.5,1,4
965,20.5,44.5,1,5
971,116.5,-38.5,1,30
977,80.5,-35.5,1,1
4,-34.5,38.5,2,3
10,-38.5,37.5,2,4
30,76.5,-26.5,2,2
65,115.5,-41.5,2,1
68,-21.5,35.5,2,2
69,14.5,39.5,2,1
70,97.5,-37.5,2,9
81,97.5,-37.5,2,9
85,80.5,-35.5,2,1
104,-1.5,36.5,2,70
143,115.5,-41.5,2,1
143,116.5,-38.5,2,30
147,-1.5,37.5,2,2
158,1.5,33.5,2,1
158,-7.5,37.5,2,3
160,-9.5,35.5,2,7
166,97.5,-37.5,2,9
171,-7.5,37.5,2,3
171,-1.5,37.5,2,2
183,71.5,50.5,2,7
196,22.5,40.5,2,1
201,1.5,33.5,2,1
231,-32.5,-64.5,2,1
234,27.5,37.5,2,2
234,31.5,37.5,2,1
254,-56.5,30.5,2,20
255,14.5,39.5,2,1
262,-8.5,71.5,2,3
310,35.5,38.5,2,21
328,-86.5,70.5,2,3
335,20.5,44.5,2,5
346,19.5,43.5,2,4
348,-9.5,35.5,2,7
348,-8.5,35.5,2,1
