"id","x","y","rep","collections"
12,3.5,32.5,1,1
14,95.5,-46.5,1,3
16,-25.5,38.5,1,5
82,31.5,31.5,1,2
84,-49.5,-25.5,1,1
111,51.5,-24.5,1,3
119,136.5,-21.5,1,9
135,-49.5,-25.5,1,1
135,-46.5,-30.5,1,32
135,-47.5,-27.5,1,1
138,36.5,29.5,1,2
138,35.5,30.5,1,2
138,37.5,30.5,1,1
138,37.5,29.5,1,3
138,39.5,27.5,1,1
138,38.5,29.5,1,2
149,3.5,59.5,1,1
152,6.5,32.5,1,1
162,-43.5,-51.5,1,2
168,95.5,-46.5,1,3
192,-43.5,-51.5,1,2
216,-24.5,38.5,1,5
222,16.5,30.5,1,1
222,28.5,30.5,1,4
235,95.5,-46.5,1,3
246,-47.5,-27.5,1,1
270,-47.5,-28.5,1,1
288,40.5,24.5,1,1
303,16.5,30.5,1,1
304,96.5,-46.5,1,1
309,96.5,-46.5,1,1
315,14.5,32.5,1,7
325,33.5,30.5,1,1
326,-24.5,38.5,1,5
333,30.5,34.5,1,1
334,9.5,60.5,1,2
339,20.5,28.5,1,3
369,14.5,32.5,1,7
375,30.5,34.5,1,1
386,28.5,30.5,1,4
412,28.5,30.5,1,4
412,31.5,33.5,1,2
422,10.5,60.5,1,1
422,8.5,60.5,1,1
422,9.5,60.5,1,2
426,34.5,34.5,1,2
426,39.5,27.5,1,1
426,43.5,25.5,1,4
444,36.5,29.5,1,2
444,40.5,27.5,1,15
444,37.5,30.5,1,1
460,-47.5,-27.5,1,1
461,3.5,31.5,1,7
461,3.5,32.5,1,1
461,2.5,31.5,1,1
475,32.5,33.5,1,1
519,40.5,27.5,1,15
561,6.5,32.5,1,1
600,-25.5,38.5,1,5
618,33.5,30.5,1,1
623,124.5,12.5,1,1
627,-47.5,-27.5,1,1
629,5.5,64.5,1,5
629,3.5,63.5,1,2
646,50.5,-24.5,1,6
648,34.5,32.5,1,2
651,32.5,33.5,1,1
652,-43.5,-51.5,1,2
666,6.5,63.5,1,2
666,3.5,63.5,1,2
723,44.5,23.5,1,5
726,105.5,-42.5,1,2
733,105.5,-42.5,1,2
756,3.5,31.5,1,7
773,160.5,-55.5,1,1
802,-47.5,-27.5,1,1
802,-49.5,-25.5,1,1
809,31.5,33.5,1,2
822,-25.5,38.5,1,5
833,-43.5,-51.5,1,2
837,33.5,33.5,1,1
868,105.5,-42.5,1,2
