"id","x","y","rep","collections"
8,47.5,43.5,1,2
10,10.5,40.5,1,9
11,27.5,49.5,1,2
13,1.5,50.5,1,2
18,132.5,-55.5,1,10
32,-169.5,-52.5,1,1
39,35.5,45.5,1,2
45,-112.5,46.5,1,13
45,-115.5,51.5,1,1
45,-112.5,48.5,1,37
49,24.5,39.5,1,1
63,97.5,-42.5,1,3
65,12.5,48.5,1,1
69,-170.5,-54.5,1,16
89,-170.5,-54.5,1,16
91,-69.5,30.5,1,26
103,24.5,39.5,1,1
104,-1.5,47.5,1,30
104,5.5,50.5,1,2
109,47.5,43.5,1,2
109,46.5,45.5,1,5
114,-65.5,38.5,1,3
125,46.5,45.5,1,5
125,35.5,45.5,1,2
128,105.5,-55.5,1,2
138,35.5,45.5,1,2
140,12.5,43.5,1,15
140,10.5,40.5,1,9
143,-169.5,-52.5,1,1
152,-1.5,37.5,1,3
155,112.5,0.5,1,1
163,-65.5,38.5,1,3
173,35.5,47.5,1,1
183,35.5,47.5,1,1
184,5.5,50.5,1,2
186,10.5,40.5,1,9
213,27.5,49.5,1,2
221,46.5,45.5,1,5
234,-115.5,51.5,1,1
248,-112.5,46.5,1,13
248,-112.5,48.5,1,37
250,15.5,44.5,1,33
257,-39.5,-28.5,1,1
260,24.5,39.5,1,1
263,2.5,45.5,1,10
283,24.5,39.5,1,1
291,35.5,45.5,1,2
303,15.5,44.5,1,33
308,15.5,44.5,1,33
311,35.5,45.5,1,2
313,27.5,49.5,1,2
319,35.5,45.5,1,2
320,58.5,41.5,1,1
321,132.5,-55.5,1,10
324,132.5,-55.5,1,10
326,-115.5,51.5,1,1
336,-1.5,37.5,1,3
346,-56.5,6.5,1,1
346,-73.5,26.5,1,2
351,12.5,48.5,1,1
351,5.5,50.5,1,2
351,-1.5,47.5,1,30
357,105.5,-55.5,1,2
364,12.5,43.5,1,15
364,16.5,48.5,1,5
370,35.5,47.5,1,1
374,105.5,-53.5,1,1
386,-169.5,-52.5,1,1
396,35.5,47.5,1,1
398,110.5,-55.5,1,1
398,97.5,-42.5,1,3
420,10.5,40.5,1,9
421,-113.5,41.5,1,1
423,46.5,45.5,1,5
430,8.5,-32.5,1,5
441,16.5,48.5,1,5
447,47.5,43.5,1,2
452,-56.5,-58.5,1,1
479,13.5,39.5,1,5
483,1.5,50.5,1,2
483,12.5,43.5,1,15
484,58.5,41.5,1,1
486,58.5,41.5,1,1
492,8.5,-32.5,1,5
498,15.5,44.5,1,33
498,16.5,48.5,1,5
506,16.5,48.5,1,5
509,8.5,-32.5,1,5
517,12.5,43.5,1,15
518,-1.5,37.5,1,3
532,16.5,48.5,1,5
532,12.5,48.5,1,1
541,10.5,40.5,1,9
545,5.5,50.5,1,2
545,1.5,50.5,1,2
546,-18.5,21.5,1,2
547,-170.5,-54.5,1,16
558,105.5,-55.5,1,2
558,110.5,-55.5,1,1
582,35.5,45.5,1,2
588,5.5,42.5,1,2
588,5.5,50.5,1,2
590,-113.5,41.5,1,1
590,-112.5,46.5,1,13
590,-110.5,38.5,1,2
607,-39.5,-28.5,1,1
618,24.5,39.5,1,1
619,15.5,44.5,1,33
619,16.5,48.5,1,5
619,24.5,39.5,1,1
643,105.5,-53.5,1,1
650,15.5,44.5,1,33
653,5.5,42.5,1,2
655,105.5,-55.5,1,2
655,105.5,-53.5,1,1
671,-84.5,29.5,1,2
671,-88.5,29.5,1,113
673,46.5,45.5,1,5
684,47.5,43.5,1,2
684,46.5,45.5,1,5
692,1.5,50.5,1,2
706,-169.5,-52.5,1,1
725,-56.5,-58.5,1,1
741,12.5,43.5,1,15
743,-113.5,41.5,1,1
743,-110.5,38.5,1,2
761,24.5,39.5,1,1
