"id","x","y","rep","collections"
4,45.5,-25.5,1,2
4,43.5,-8.5,1,3
14,86.5,43.5,1,1
16,-52.5,32.5,1,1
18,59.5,40.5,1,1
20,67.5,41.5,1,1
28,67.5,41.5,1,1
29,37.5,33.5,1,1
29,37.5,24.5,1,3
41,49.5,50.5,1,1
48,21.5,32.5,1,24
55,30.5,38.5,1,2
72,-54.5,50.5,1,1
73,67.5,41.5,1,1
74,105.5,47.5,1,1
100,86.5,43.5,1,1
105,63.5,20.5,1,1
108,-41.5,34.5,1,31
128,-54.5,50.5,1,1
146,110.5,45.5,1,17
146,106.5,44.5,1,21
147,37.5,33.5,1,1
151,158.5,43.5,1,1
156,112.5,37.5,1,1
157,45.5,36.5,1,3
164,110.5,45.5,1,17
165,112.5,37.5,1,1
175,-36.5,30.5,1,1
186,59.5,40.5,1,1
232,-48.5,41.5,1,5
234,49.5,50.5,1,1
235,-48.5,41.5,1,5
266,111.5,39.5,1,17
270,-43.5,30.5,1,2
272,34.5,37.5,1,6
287,67.5,41.5,1,1
292,-41.5,34.5,1,31
295,-36.5,30.5,1,1
306,27.5,32.5,1,13
309,-43.5,30.5,1,2
324,43.5,31.5,1,1
326,45.5,-25.5,1,2
335,111.5,39.5,1,17
335,110.5,45.5,1,17
337,-54.5,50.5,1,1
349,32.5,39.5,1,1
350,44.5,47.5,1,1
370,43.5,31.5,1,1
371,59.5,40.5,1,1
380,-13.5,-62.5,1,1
386,-54.5,48.5,1,7
399,-36.5,30.5,1,1
409,30.5,38.5,1,2
420,-54.5,50.5,1,1
424,32.5,39.5,1,1
425,44.5,47.5,1,1
428,12.5,48.5,1,1
447,23.5,33.5,1,3
447,27.5,37.5,1,2
447,27.5,32.5,1,13
450,23.5,33.5,1,3
450,24.5,31.5,1,4
454,32.5,-23.5,1,1
473,32.5,39.5,1,1
473,17.5,24.5,1,8
481,111.5,39.5,1,17
483,67.5,41.5,1,1
490,22.5,30.5,1,2
503,59.5,40.5,1,1
507,18.5,31.5,1,14
507,22.5,30.5,1,2
509,-54.5,50.5,1,1
511,158.5,43.5,1,1
525,106.5,44.5,1,21
539,59.5,40.5,1,1
545,-39.5,31.5,1,3
581,12.5,48.5,1,1
587,12.5,48.5,1,1
594,21.5,32.5,1,24
599,86.5,43.5,1,1
603,-36.5,30.5,1,1
603,-41.5,34.5,1,31
603,-44.5,27.5,1,6
610,12.5,48.5,1,1
610,13.5,46.5,1,1
