"id","x","y","rep","collections"
13,44.5,39.5,1,1
14,-79.5,33.5,1,12
31,138.5,37.5,1,2
54,29.5,33.5,1,1
56,23.5,46.5,1,1
68,137.5,38.5,1,2
77,40.5,36.5,1,8
77,28.5,34.5,1,1
89,138.5,37.5,1,2
89,138.5,45.5,1,1
91,4.5,39.5,1,8
98,129.5,33.5,1,1
114,23.5,46.5,1,1
186,142.5,-44.5,1,3
196,23.5,46.5,1,1
200,41.5,40.5,1,1
208,130.5,34.5,1,1
211,23.5,46.5,1,1
231,129.5,33.5,1,1
249,15.5,41.5,1,3
253,138.5,44.5,1,1
259,-71.5,-43.5,1,2
260,4.5,39.5,1,8
296,23.5,46.5,1,1
300,-61.5,-39.5,1,2
320,153.5,-46.5,1,2
330,-62.5,-43.5,1,1
353,40.5,40.5,1,1
356,44.5,39.5,1,1
356,39.5,41.5,1,1
358,167.5,-27.5,1,1
371,-75.5,25.5,1,1
379,44.5,39.5,1,1
386,-68.5,39.5,1,1
402,15.5,39.5,1,2
404,38.5,28.5,1,1
408,138.5,37.5,1,2
413,130.5,34.5,1,1
420,130.5,34.5,1,1
420,134.5,46.5,1,2
426,39.5,41.5,1,1
444,138.5,44.5,1,1
484,7.5,40.5,1,1
484,6.5,40.5,1,1
490,40.5,36.5,1,8
493,48.5,19.5,1,1
493,56.5,18.5,1,1
503,15.5,41.5,1,3
511,15.5,41.5,1,3
511,7.5,40.5,1,1
523,48.5,38.5,1,1
523,41.5,40.5,1,1
526,5.5,39.5,1,1
526,7.5,40.5,1,1
529,-68.5,40.5,1,2
531,137.5,38.5,1,2
534,138.5,45.5,1,1
554,5.5,39.5,1,1
554,4.5,38.5,1,1
554,7.5,40.5,1,1
563,-68.5,40.5,1,2
567,44.5,39.5,1,1
576,138.5,44.5,1,1
577,-68.5,39.5,1,1
608,129.5,33.5,1,1
608,138.5,45.5,1,1
608,137.5,38.5,1,2
617,49.5,17.5,1,10
632,7.5,40.5,1,1
632,15.5,39.5,1,2
632,5.5,39.5,1,1
643,138.5,44.5,1,1
654,-111.5,37.5,1,2
655,23.5,46.5,1,1
669,68.5,18.5,1,1
678,134.5,46.5,1,2
681,5.5,39.5,1,1
728,49.5,36.5,1,6
737,-178.5,-41.5,1,1
744,15.5,41.5,1,3
755,28.5,34.5,1,1
802,-62.5,-43.5,1,1
809,40.5,40.5,1,1
833,15.5,39.5,1,2
856,4.5,38.5,1,1
860,5.5,39.5,1,1
860,4.5,38.5,1,1
860,4.5,39.5,1,8
863,15.5,39.5,1,2
870,-68.5,40.5,1,2
871,-62.5,-42.5,1,1
875,28.5,34.5,1,1
879,127.5,32.5,1,1
879,129.5,33.5,1,1
885,44.5,39.5,1,1
907,-71.5,-43.5,1,2
919,153.5,-46.5,1,2
928,6.5,40.5,1,1
934,40.5,40.5,1,1
935,23.5,46.5,1,1
954,130.5,34.5,1,1
956,40.5,40.5,1,1
970,134.5,46.5,1,2
973,7.5,40.5,1,1
974,6.5,40.5,1,1
994,-62.5,-42.5,1,1
996,129.5,33.5,1,1
997,40.5,40.5,1,1
997,39.5,41.5,1,1
36,0.5,35.5,2,1
37,39.5,41.5,2,1
42,138.5,44.5,2,1
45,-68.5,40.5,2,2
50,7.5,40.5,2,1
50,15.5,41.5,2,3
50,15.5,39.5,2,2
53,138.5,45.5,2,1
53,138.5,44.5,2,1
67,134.5,46.5,2,2
67,137.5,38.5,2,2
67,138.5,45.5,2,1
71,5.5,39.5,2,1
71,15.5,39.5,2,2
91,7.5,40.5,2,1
91,6.5,40.5,2,1
98,44.5,39.5,2,1
102,138.5,44.5,2,1
115,4.5,38.5,2,1
156,48.5,38.5,2,1
157,40.5,36.5,2,8
184,138.5,45.5,2,1
184,138.5,44.5,2,1
191,41.5,40.5,2,1
192,6.5,40.5,2,1
192,4.5,39.5,2,8
217,44.5,39.5,2,1
221,0.5,35.5,2,1
221,4.5,38.5,2,1
233,129.5,33.5,2,1
237,4.5,39.5,2,8
253,138.5,45.5,2,1
254,127.5,32.5,2,1
254,138.5,37.5,2,2
254,130.5,34.5,2,1
269,134.5,46.5,2,2
281,48.5,38.5,2,1
295,41.5,40.5,2,1
295,39.5,41.5,2,1
297,49.5,36.5,2,6
