"id","x","y","rep","collections"
1,-41.5,33.5,1,4
1,-38.5,32.5,1,6
1,-37.5,31.5,1,6
1,-38.5,30.5,1,11
1,-38.5,31.5,1,9
26,14.5,40.5,1,10
35,28.5,38.5,1,2
39,19.5,27.5,1,1
45,57.5,43.5,1,1
76,30.5,39.5,1,2
86,-38.5,32.5,1,6
89,30.5,-33.5,1,3
89,30.5,-34.5,1,13
106,82.5,39.5,1,1
110,-35.5,31.5,1,2
112,82.5,39.5,1,1
134,-35.5,31.5,1,2
141,82.5,39.5,1,1
144,18.5,35.5,1,5
177,29.5,38.5,1,2
177,20.5,31.5,1,1
182,14.5,40.5,1,10
182,21.5,30.5,1,2
188,21.5,30.5,1,2
188,25.5,31.5,1,2
196,82.5,39.5,1,1
209,25.5,30.5,1,2
209,28.5,32.5,1,1
209,27.5,32.5,1,2
212,28.5,37.5,1,1
212,47.5,37.5,1,1
212,35.5,36.5,1,3
219,33.5,37.5,1,1
219,27.5,32.5,1,2
220,14.5,40.5,1,10
263,57.5,43.5,1,1
265,31.5,-30.5,1,1
265,30.5,-34.5,1,13
280,18.5,35.5,1,5
284,-39.5,28.5,1,3
284,-41.5,33.5,1,4
292,28.5,38.5,1,2
292,29.5,39.5,1,24
292,28.5,37.5,1,1
292,29.5,38.5,1,2
292,27.5,39.5,1,3
297,30.5,-34.5,1,13
297,30.5,-33.5,1,3
297,30.5,-31.5,1,10
297,31.5,-30.5,1,1
303,19.5,35.5,1,12
314,82.5,39.5,1,1
324,47.5,37.5,1,1
325,20.5,30.5,1,2
325,20.5,33.5,1,1
341,20.5,32.5,1,2
341,20.5,31.5,1,1
341,19.5,35.5,1,12
347,20.5,31.5,1,1
347,18.5,26.5,1,1
347,20.5,24.5,1,5
347,20.5,30.5,1,2
367,18.5,34.5,1,1
367,25.5,30.5,1,2
370,25.5,31.5,1,2
370,24.5,30.5,1,1
390,-38.5,31.5,1,9
393,57.5,43.5,1,1
394,20.5,24.5,1,5
394,21.5,15.5,1,1
394,25.5,32.5,1,1
417,-38.5,30.5,1,11
429,24.5,32.5,1,1
436,-38.5,31.5,1,9
438,82.5,39.5,1,1
446,24.5,30.5,1,1
450,21.5,30.5,1,2
450,19.5,36.5,1,8
450,27.5,33.5,1,3
450,20.5,31.5,1,1
460,29.5,39.5,1,24
460,27.5,39.5,1,3
470,57.5,43.5,1,1
484,30.5,38.5,1,5
484,29.5,38.5,1,2
484,28.5,33.5,1,3
484,34.5,36.5,1,1
484,36.5,35.5,1,1
493,57.5,43.5,1,1
505,-38.5,64.5,1,1
510,29.5,39.5,1,24
