"id","x","y","rep","collections"
20,97.5,-49.5,1,1
32,-58.5,33.5,1,18
32,-66.5,55.5,1,3
32,-74.5,31.5,1,2
34,-75.5,44.5,1,1
34,-78.5,47.5,1,12
34,-79.5,44.5,1,20
36,-66.5,45.5,1,4
36,-66.5,55.5,1,3
41,36.5,43.5,1,1
42,37.5,30.5,1,1
45,19.5,30.5,1,5
45,5.5,44.5,1,6
46,2.5,39.5,1,4
46,2.5,44.5,1,3
49,8.5,47.5,1,1
53,97.5,-49.5,1,1
60,-75.5,44.5,1,1
63,-74.5,46.5,1,101
63,-75.5,44.5,1,1
63,-66.5,45.5,1,4
64,-65.5,47.5,1,1
64,-79.5,44.5,1,20
64,-79.5,55.5,1,104
64,-70.5,46.5,1,3
67,-64.5,50.5,1,2
69,-75.5,44.5,1,1
75,15.5,39.5,1,1
75,18.5,39.5,1,2
83,53.5,-36.5,1,1
102,-69.5,48.5,1,2
102,-69.5,35.5,1,8
107,-74.5,46.5,1,101
107,-76.5,52.5,1,14
107,-79.5,55.5,1,104
107,-77.5,49.5,1,3
108,67.5,34.5,1,1
113,-75.5,41.5,1,6
120,33.5,41.5,1,1
125,22.5,23.5,1,1
126,-74.5,46.5,1,101
139,22.5,45.5,1,2
143,-78.5,47.5,1,12
144,22.5,45.5,1,2
154,5.5,41.5,1,1
156,-75.5,44.5,1,1
156,-72.5,51.5,1,6
164,-69.5,33.5,1,6
166,39.5,36.5,1,1
167,-63.5,52.5,1,7
169,34.5,38.5,1,1
171,5.5,44.5,1,6
174,6.5,39.5,1,7
177,67.5,34.5,1,1
183,5.5,41.5,1,1
183,5.5,44.5,1,6
189,-50.5,34.5,1,31
191,34.5,38.5,1,1
197,11.5,52.5,1,2
201,132.5,38.5,1,4
203,-66.5,55.5,1,3
206,-45.5,39.5,1,38
206,-50.5,34.5,1,31
208,21.5,32.5,1,2
220,142.5,54.5,1,26
226,142.5,54.5,1,26
227,31.5,34.5,1,1
232,36.5,43.5,1,1
232,22.5,45.5,1,2
239,43.5,46.5,1,1
244,60.5,51.5,1,1
245,6.5,39.5,1,7
245,6.5,35.5,1,4
246,-66.5,45.5,1,4
247,19.5,30.5,1,5
248,-74.5,28.5,1,4
250,2.5,49.5,1,1
250,11.5,52.5,1,2
255,53.5,-36.5,1,1
256,-75.5,54.5,1,13
256,-79.5,55.5,1,104
257,15.5,39.5,1,1
258,18.5,39.5,1,2
261,-65.5,47.5,1,1
261,-69.5,48.5,1,2
261,-64.5,50.5,1,2
262,39.5,36.5,1,1
269,-69.5,48.5,1,2
269,-78.5,47.5,1,12
269,-70.5,46.5,1,3
269,-74.5,46.5,1,101
272,-71.5,43.5,1,10
281,33.5,41.5,1,1
281,31.5,34.5,1,1
287,15.5,44.5,1,1
289,21.5,32.5,1,2
289,27.5,38.5,1,1
290,36.5,43.5,1,1
293,11.5,52.5,1,2
294,2.5,49.5,1,1
296,15.5,39.5,1,1
302,-69.5,35.5,1,8
302,-77.5,49.5,1,3
305,53.5,-36.5,1,1
305,51.5,-38.5,1,3
306,2.5,33.5,1,2
308,-45.5,39.5,1,38
