"id","x","y","rep","collections"
35,10.5,46.5,1,7
35,7.5,44.5,1,4
92,0.5,47.5,1,1
97,12.5,46.5,1,1
102,10.5,46.5,1,7
102,9.5,46.5,1,2
140,-0.5,48.5,1,1
144,9.5,45.5,1,9
144,11.5,46.5,1,2
144,10.5,45.5,1,3
156,51.5,-29.5,1,1
176,-40.5,32.5,1,5
188,11.5,46.5,1,2
231,9.5,46.5,1,2
235,50.5,32.5,1,2
252,11.5,46.5,1,2
294,71.5,-45.5,1,6
330,7.5,44.5,1,4
354,-0.5,48.5,1,1
388,8.5,45.5,1,1
395,9.5,45.5,1,9
395,9.5,46.5,1,2
395,11.5,46.5,1,2
403,-0.5,48.5,1,1
411,12.5,46.5,1,1
414,-0.5,48.5,1,1
429,7.5,44.5,1,4
430,71.5,-45.5,1,6
472,12.5,46.5,1,1
472,10.5,46.5,1,7
491,0.5,47.5,1,1
491,8.5,45.5,1,1
506,50.5,32.5,1,2
519,0.5,47.5,1,1
532,0.5,47.5,1,1
546,71.5,-45.5,1,6
553,8.5,45.5,1,1
568,-0.5,48.5,1,1
615,51.5,-29.5,1,1
643,-0.5,48.5,1,1
643,0.5,47.5,1,1
676,6.5,44.5,1,2
708,71.5,-45.5,1,6
732,8.5,45.5,1,1
736,0.5,47.5,1,1
739,10.5,45.5,1,3
756,-0.5,48.5,1,1
756,0.5,47.5,1,1
787,12.5,46.5,1,1
814,0.5,47.5,1,1
854,7.5,44.5,1,4
863,115.5,-32.5,1,4
868,50.5,32.5,1,2
883,0.5,47.5,1,1
883,-0.5,48.5,1,1
909,10.5,45.5,1,3
929,71.5,-45.5,1,6
931,11.5,46.5,1,2
931,10.5,45.5,1,3
931,9.5,45.5,1,9
931,10.5,46.5,1,7
933,10.5,46.5,1,7
933,7.5,44.5,1,4
933,10.5,45.5,1,3
933,7.5,45.5,1,1
933,9.5,45.5,1,9
940,7.5,45.5,1,1
940,0.5,47.5,1,1
940,7.5,44.5,1,4
957,0.5,47.5,1,1
957,-0.5,48.5,1,1
960,-0.5,48.5,1,1
960,7.5,44.5,1,4
972,12.5,46.5,1,1
82,7.5,44.5,2,4
82,6.5,44.5,2,2
82,7.5,45.5,2,1
98,10.5,46.5,2,7
98,12.5,46.5,2,1
98,11.5,46.5,2,2
115,9.5,46.5,2,2
134,7.5,45.5,2,1
136,71.5,-45.5,2,6
138,9.5,45.5,2,9
138,7.5,45.5,2,1
138,6.5,44.5,2,2
156,51.5,-29.5,2,1
