"id","x","y","rep","collections"
9,-67.5,46.5,1,4
15,55.5,48.5,1,2
18,34.5,44.5,1,2
23,55.5,48.5,1,2
23,51.5,50.5,1,1
26,63.5,39.5,1,1
37,-62.5,44.5,1,29
37,-60.5,50.5,1,1
43,36.5,46.5,1,1
43,41.5,43.5,1,2
43,40.5,43.5,1,1
46,55.5,48.5,1,2
51,-62.5,65.5,1,1
51,-66.5,47.5,1,1
56,30.5,37.5,1,3
61,59.5,47.5,1,1
61,13.5,46.5,1,7
79,20.5,39.5,1,1
90,19.5,41.5,1,1
90,16.5,40.5,1,1
90,17.5,39.5,1,1
90,14.5,39.5,1,1
90,21.5,39.5,1,1
109,-67.5,49.5,1,1
109,-67.5,46.5,1,4
116,14.5,47.5,1,5
116,15.5,47.5,1,4
116,13.5,46.5,1,7
126,-55.5,44.5,1,37
127,52.5,45.5,1,1
130,14.5,47.5,1,5
132,15.5,43.5,1,5
132,16.5,43.5,1,2
132,16.5,44.5,1,4
135,-64.5,53.5,1,1
140,14.5,42.5,1,1
143,6.5,24.5,1,1
145,72.5,37.5,1,1
146,29.5,34.5,1,1
146,22.5,41.5,1,1
150,15.5,42.5,1,1
156,12.5,36.5,1,4
163,29.5,35.5,1,1
170,12.5,39.5,1,1
174,16.5,45.5,1,2
174,36.5,46.5,1,1
174,34.5,44.5,1,2
175,51.5,50.5,1,1
184,15.5,47.5,1,4
190,42.5,-45.5,1,5
203,122.5,-48.5,1,16
210,51.5,50.5,1,1
216,20.5,39.5,1,1
216,20.5,45.5,1,1
217,-62.5,44.5,1,29
227,23.5,47.5,1,1
227,57.5,43.5,1,1
227,41.5,43.5,1,2
228,14.5,38.5,1,1
228,15.5,42.5,1,1
228,12.5,39.5,1,1
228,21.5,41.5,1,12
231,14.5,42.5,1,1
231,14.5,39.5,1,1
231,6.5,25.5,1,3
248,30.5,37.5,1,3
248,19.5,41.5,1,1
250,13.5,46.5,1,7
250,16.5,45.5,1,2
250,16.5,47.5,1,7
250,15.5,46.5,1,6
250,15.5,47.5,1,4
258,29.5,33.5,1,2
258,17.5,48.5,1,1
275,-65.5,41.5,1,1
283,30.5,37.5,1,3
289,-67.5,49.5,1,1
290,20.5,39.5,1,1
293,57.5,44.5,1,1
297,20.5,39.5,1,1
297,21.5,39.5,1,1
297,17.5,39.5,1,1
297,22.5,41.5,1,1
314,26.5,32.5,1,3
314,26.5,44.5,1,2
320,17.5,46.5,1,16
326,17.5,46.5,1,16
326,16.5,48.5,1,10
326,16.5,47.5,1,7
337,14.5,41.5,1,2
337,14.5,42.5,1,1
337,15.5,41.5,1,2
337,16.5,43.5,1,2
337,16.5,46.5,1,67
341,-66.5,45.5,1,1
350,23.5,48.5,1,1
353,60.5,36.5,1,5
354,37.5,49.5,1,1
354,51.5,50.5,1,1
355,72.5,37.5,1,1
358,55.5,48.5,1,2
358,57.5,44.5,1,1
358,57.5,43.5,1,1
371,15.5,47.5,1,4
371,17.5,48.5,1,1
371,16.5,49.5,1,1
371,15.5,49.5,1,1
371,16.5,47.5,1,7
371,14.5,47.5,1,5
371,16.5,48.5,1,10
379,-72.5,60.5,1,2
386,6.5,24.5,1,1
386,16.5,26.5,1,1
394,41.5,43.5,1,2
395,36.5,46.5,1,1
413,57.5,43.5,1,1
420,34.5,45.5,1,1
420,31.5,30.5,1,1
431,40.5,43.5,1,1
431,41.5,43.5,1,2
433,73.5,37.5,1,5
437,15.5,41.5,1,2
