"id","x","y","rep","collections"
31,22.5,41.5,1,4
56,56.5,-34.5,1,1
70,29.5,27.5,1,2
71,20.5,29.5,1,14
80,44.5,40.5,1,1
86,22.5,41.5,1,4
92,106.5,-15.5,1,17
108,22.5,53.5,1,1
108,23.5,43.5,1,1
134,48.5,41.5,1,1
134,48.5,43.5,1,1
152,56.5,-34.5,1,1
193,51.5,-34.5,1,16
193,52.5,-35.5,1,75
207,48.5,41.5,1,1
207,50.5,41.5,1,1
207,44.5,40.5,1,1
216,48.5,43.5,1,1
230,107.5,-16.5,1,1
239,48.5,43.5,1,1
271,23.5,40.5,1,1
271,27.5,27.5,1,1
273,48.5,42.5,1,3
316,48.5,43.5,1,1
316,44.5,40.5,1,1
339,48.5,43.5,1,1
340,48.5,41.5,1,1
340,48.5,42.5,1,3
346,48.5,42.5,1,3
346,48.5,41.5,1,1
346,50.5,41.5,1,1
346,49.5,44.5,1,1
361,112.5,-14.5,1,3
364,48.5,42.5,1,3
376,44.5,40.5,1,1
454,20.5,29.5,1,14
471,48.5,38.5,1,2
520,23.5,40.5,1,1
525,48.5,41.5,1,1
560,29.5,28.5,1,5
569,48.5,41.5,1,1
569,50.5,41.5,1,1
589,50.5,41.5,1,1
589,44.5,40.5,1,1
591,48.5,41.5,1,1
591,48.5,42.5,1,3
618,108.5,-9.5,1,4
618,112.5,-9.5,1,4
618,109.5,-17.5,1,2
620,29.5,27.5,1,2
641,60.5,-33.5,1,1
641,64.5,-37.5,1,10
673,48.5,42.5,1,3
673,53.5,43.5,1,1
675,20.5,29.5,1,14
686,51.5,42.5,1,1
688,48.5,38.5,1,2
716,48.5,43.5,1,1
716,42.5,53.5,1,1
749,48.5,43.5,1,1
765,64.5,-37.5,1,10
766,23.5,40.5,1,1
766,23.5,43.5,1,1
783,48.5,42.5,1,3
794,64.5,-37.5,1,10
822,23.5,40.5,1,1
822,23.5,43.5,1,1
898,53.5,-45.5,1,111
934,23.5,40.5,1,1
942,51.5,42.5,1,1
942,44.5,40.5,1,1
956,109.5,-17.5,1,2
956,108.5,-12.5,1,3
956,111.5,-14.5,1,27
