"id","x","y","rep","collections"
4,2.5,50.5,1,8
4,5.5,50.5,1,12
4,5.5,52.5,1,3
10,-80.5,29.5,1,1
12,127.5,38.5,1,12
18,139.5,46.5,1,5
19,140.5,48.5,1,2
29,5.5,52.5,1,3
30,149.5,-49.5,1,1
36,-144.5,61.5,1,1
49,134.5,-48.5,1,3
52,29.5,28.5,1,3
56,149.5,-49.5,1,1
61,-118.5,51.5,1,1
61,-115.5,50.5,1,1
68,-175.5,-48.5,1,11
69,16.5,44.5,1,1
78,140.5,-53.5,1,2
92,47.5,31.5,1,2
95,127.5,38.5,1,12
115,-175.5,-48.5,1,11
116,46.5,44.5,1,1
118,-118.5,51.5,1,1
118,-111.5,33.5,1,39
119,9.5,43.5,1,14
138,13.5,41.5,1,1
138,13.5,47.5,1,1
138,16.5,48.5,1,1
142,-175.5,-48.5,1,11
142,-172.5,-44.5,1,9
146,134.5,-48.5,1,3
158,2.5,50.5,1,8
159,35.5,41.5,1,1
167,46.5,44.5,1,1
170,-175.5,-48.5,1,11
195,46.5,44.5,1,1
199,9.5,50.5,1,16
204,-175.5,-48.5,1,11
206,-61.5,-55.5,1,1
206,-61.5,-50.5,1,2
215,19.5,35.5,1,14
217,16.5,48.5,1,1
217,13.5,47.5,1,1
221,13.5,47.5,1,1
221,5.5,52.5,1,3
221,9.5,43.5,1,14
221,5.5,50.5,1,12
232,5.5,52.5,1,3
245,1.5,54.5,1,5
245,2.5,50.5,1,8
245,2.5,52.5,1,1
245,5.5,52.5,1,3
246,128.5,35.5,1,2
252,-72.5,33.5,1,6
254,-61.5,-50.5,1,2
264,43.5,42.5,1,1
269,47.5,31.5,1,2
269,46.5,44.5,1,1
289,-118.5,51.5,1,1
299,-175.5,-51.5,1,28
301,26.5,35.5,1,2
302,140.5,51.5,1,1
305,15.5,35.5,1,5
322,139.5,46.5,1,5
326,-172.5,-44.5,1,9
330,16.5,44.5,1,1
336,35.5,41.5,1,1
344,134.5,-48.5,1,3
348,47.5,31.5,1,2
353,149.5,-49.5,1,1
356,139.5,46.5,1,5
363,149.5,-49.5,1,1
380,19.5,35.5,1,14
384,26.5,35.5,1,2
385,2.5,52.5,1,1
386,140.5,51.5,1,1
396,15.5,35.5,1,5
396,13.5,41.5,1,1
409,46.5,44.5,1,1
419,-172.5,-44.5,1,9
425,9.5,50.5,1,16
425,2.5,52.5,1,1
425,2.5,50.5,1,8
431,46.5,44.5,1,1
435,26.5,35.5,1,2
436,134.5,-48.5,1,3
456,-116.5,46.5,1,34
460,2.5,52.5,1,1
465,-172.5,-44.5,1,9
472,29.5,28.5,1,3
481,29.5,28.5,1,3
481,26.5,35.5,1,2
482,128.5,35.5,1,2
482,127.5,38.5,1,12
484,-111.5,33.5,1,39
490,16.5,48.5,1,1
493,-175.5,-51.5,1,28
493,-175.5,-48.5,1,11
495,43.5,39.5,1,5
495,46.5,44.5,1,1
495,43.5,42.5,1,1
507,43.5,39.5,1,5
524,134.5,-48.5,1,3
527,-177.5,-47.5,1,4
539,140.5,-53.5,1,2
549,43.5,39.5,1,5
558,13.5,47.5,1,1
558,9.5,43.5,1,14
560,140.5,-53.5,1,2
560,139.5,-50.5,1,32
564,43.5,42.5,1,1
568,35.5,41.5,1,1
576,11.5,31.5,1,1
576,13.5,41.5,1,1
576,15.5,26.5,1,1
587,-177.5,-47.5,1,4
589,26.5,35.5,1,2
589,1.5,54.5,1,5
589,13.5,47.5,1,1
602,139.5,46.5,1,5
609,16.5,44.5,1,1
613,-172.5,-44.5,1,9
625,5.5,50.5,1,12
625,1.5,54.5,1,5
625,5.5,52.5,1,3
631,9.5,43.5,1,14
632,35.5,41.5,1,1
632,26.5,35.5,1,2
633,5.5,52.5,1,3
633,5.5,50.5,1,12
640,15.5,26.5,1,1
640,16.5,48.5,1,1
640,16.5,44.5,1,1
642,9.5,50.5,1,16
661,11.5,31.5,1,1
663,-61.5,-50.5,1,2
667,9.5,43.5,1,14
667,16.5,48.5,1,1
667,16.5,44.5,1,1
671,26.5,35.5,1,2
678,-76.5,28.5,1,3
680,15.5,26.5,1,1
683,139.5,-50.5,1,32
689,46.5,44.5,1,1
691,91.5,15.5,1,4
711,-116.5,46.5,1,34
724,128.5,35.5,1,2
726,-175.5,-48.5,1,11
726,-177.5,-47.5,1,4
736,-175.5,-48.5,1,11
736,-172.5,-44.5,1,9
738,2.5,52.5,1,1
738,1.5,54.5,1,5
739,43.5,42.5,1,1
739,46.5,44.5,1,1
745,19.5,35.5,1,14
750,13.5,41.5,1,1
755,-115.5,50.5,1,1
