"id","x","y","rep","collections"
5,140.5,50.5,1,1
20,-63.5,43.5,1,2
23,45.5,47.5,1,2
23,43.5,45.5,1,1
26,30.5,41.5,1,2
28,-67.5,48.5,1,12
70,45.5,47.5,1,2
70,43.5,45.5,1,1
76,11.5,34.5,1,1
76,10.5,34.5,1,1
86,15.5,42.5,1,18
93,16.5,42.5,1,1
95,47.5,47.5,1,1
97,-67.5,48.5,1,12
101,140.5,45.5,1,1
104,8.5,47.5,1,1
118,13.5,37.5,1,1
118,10.5,34.5,1,1
123,12.5,43.5,1,2
126,16.5,42.5,1,1
128,43.5,45.5,1,1
177,26.5,46.5,1,2
177,25.5,46.5,1,4
184,45.5,47.5,1,2
207,30.5,41.5,1,2
209,10.5,43.5,1,3
209,25.5,41.5,1,1
209,14.5,43.5,1,1
222,-66.5,36.5,1,1
231,10.5,34.5,1,1
234,-62.5,35.5,1,1
236,140.5,50.5,1,1
261,140.5,45.5,1,1
261,140.5,50.5,1,1
275,12.5,41.5,1,1
294,15.5,42.5,1,18
294,13.5,39.5,1,9
297,26.5,46.5,1,2
299,-62.5,35.5,1,1
307,-77.5,40.5,1,2
315,13.5,44.5,1,1
332,25.5,41.5,1,1
334,47.5,47.5,1,1
340,13.5,44.5,1,1
355,11.5,36.5,1,2
358,140.5,50.5,1,1
360,140.5,45.5,1,1
376,13.5,39.5,1,9
383,-60.5,45.5,1,1
385,-59.5,35.5,1,1
397,-63.5,43.5,1,2
406,11.5,36.5,1,2
424,8.5,47.5,1,1
428,45.5,47.5,1,2
453,13.5,43.5,1,4
457,46.5,47.5,1,1
458,-62.5,35.5,1,1
463,43.5,45.5,1,1
464,-66.5,36.5,1,1
477,13.5,39.5,1,9
477,10.5,43.5,1,3
480,14.5,42.5,1,2
485,46.5,47.5,1,1
499,43.5,45.5,1,1
503,-67.5,48.5,1,12
526,-62.5,35.5,1,1
538,10.5,43.5,1,3
538,8.5,47.5,1,1
538,14.5,43.5,1,1
553,-63.5,43.5,1,2
565,-77.5,40.5,1,2
584,-67.5,48.5,1,12
606,14.5,42.5,1,2
606,13.5,39.5,1,9
607,25.5,41.5,1,1
607,23.5,29.5,1,1
