"id","x","y","rep","collections"
16,77.5,28.5,1,1
18,31.5,36.5,1,4
20,40.5,36.5,1,1
85,64.5,31.5,1,7
88,66.5,31.5,1,3
108,-33.5,-33.5,1,1
123,29.5,28.5,1,4
136,59.5,42.5,1,1
140,29.5,31.5,1,3
147,32.5,61.5,1,3
151,32.5,28.5,1,17
154,25.5,38.5,1,1
154,29.5,31.5,1,3
157,25.5,38.5,1,1
164,37.5,25.5,1,1
188,157.5,-73.5,1,1
207,31.5,31.5,1,23
207,24.5,25.5,1,2
223,157.5,-73.5,1,1
225,-33.5,-35.5,1,3
242,31.5,36.5,1,4
256,56.5,31.5,1,2
278,56.5,31.5,1,2
284,59.5,42.5,1,1
285,64.5,31.5,1,7
292,20.5,28.5,1,17
296,43.5,34.5,1,1
322,40.5,34.5,1,6
328,-51.5,52.5,1,2
343,-51.5,52.5,1,2
380,31.5,31.5,1,23
383,40.5,34.5,1,6
388,25.5,38.5,1,1
398,38.5,-23.5,1,1
405,62.5,43.5,1,7
405,59.5,42.5,1,1
410,13.5,26.5,1,9
410,37.5,25.5,1,1
418,20.5,25.5,1,4
418,31.5,27.5,1,2
418,24.5,25.5,1,2
422,32.5,61.5,1,3
428,13.5,30.5,1,9
428,13.5,26.5,1,9
440,56.5,31.5,1,2
461,53.5,31.5,1,14
470,62.5,43.5,1,7
475,61.5,31.5,1,4
488,25.5,38.5,1,1
536,46.5,32.5,1,1
537,40.5,26.5,1,2
549,25.5,38.5,1,1
554,59.5,42.5,1,1
567,31.5,36.5,1,4
570,25.5,38.5,1,1
587,-33.5,-35.5,1,3
591,62.5,43.5,1,7
607,31.5,31.5,1,23
607,29.5,31.5,1,3
620,62.5,43.5,1,7
620,59.5,42.5,1,1
625,62.5,43.5,1,7
627,31.5,27.5,1,2
627,24.5,25.5,1,2
639,-33.5,-35.5,1,3
639,-33.5,-33.5,1,1
653,31.5,27.5,1,2
653,61.5,31.5,1,4
653,66.5,31.5,1,3
653,73.5,30.5,1,6
660,40.5,36.5,1,1
660,40.5,34.5,1,6
689,31.5,31.5,1,23
690,59.5,42.5,1,1
690,62.5,43.5,1,7
717,32.5,28.5,1,17
721,40.5,34.5,1,6
722,20.5,28.5,1,17
727,77.5,28.5,1,1
737,31.5,36.5,1,4
742,31.5,36.5,1,4
745,29.5,28.5,1,4
798,56.5,31.5,1,2
799,59.5,42.5,1,1
810,31.5,31.5,1,23
810,31.5,36.5,1,4
810,32.5,28.5,1,17
815,73.5,30.5,1,6
815,66.5,31.5,1,3
815,61.5,31.5,1,4
821,66.5,31.5,1,3
821,59.5,42.5,1,1
824,43.5,34.5,1,1
857,40.5,36.5,1,1
867,64.5,31.5,1,7
867,61.5,31.5,1,4
875,62.5,43.5,1,7
876,73.5,30.5,1,6
876,77.5,28.5,1,1
898,31.5,31.5,1,23
898,32.5,28.5,1,17
899,53.5,31.5,1,14
899,56.5,31.5,1,2
911,13.5,30.5,1,9
919,32.5,28.5,1,17
959,40.5,26.5,1,2
959,20.5,28.5,1,17
959,40.5,34.5,1,6
995,43.5,34.5,1,1
996,61.5,31.5,1,4
997,61.5,31.5,1,4
998,61.5,31.5,1,4
19,31.5,36.5,2,4
19,32.5,28.5,2,17
19,40.5,36.5,2,1
19,53.5,31.5,2,14
25,53.5,31.5,2,14
26,66.5,31.5,2,3
28,48.5,-20.5,2,1
41,38.5,-23.5,2,1
42,73.5,30.5,2,6
51,29.5,31.5,2,3
59,31.5,36.5,2,4
61,-33.5,-35.5,2,3
63,-51.5,52.5,2,2
64,20.5,25.5,2,4
83,40.5,36.5,2,1
88,62.5,43.5,2,7
99,24.5,25.5,2,2
153,-42.5,28.5,2,7
153,-43.5,26.5,2,1
154,59.5,42.5,2,1
154,61.5,31.5,2,4
181,40.5,36.5,2,1
182,77.5,28.5,2,1
182,73.5,30.5,2,6
183,30.5,18.5,2,2
183,29.5,31.5,2,3
190,29.5,28.5,2,4
212,62.5,43.5,2,7
228,32.5,61.5,2,3
250,64.5,31.5,2,7
250,32.5,28.5,2,17
259,-33.5,-35.5,2,3
268,62.5,43.5,2,7
275,25.5,38.5,2,1
288,25.5,38.5,2,1
294,53.5,31.5,2,14
294,43.5,34.5,2,1
294,46.5,32.5,2,1
294,40.5,36.5,2,1
320,25.5,38.5,2,1
320,20.5,25.5,2,4
340,25.5,38.5,2,1
343,40.5,36.5,2,1
346,62.5,43.5,2,7
351,59.5,42.5,2,1
361,31.5,31.5,2,23
361,40.5,34.5,2,6
394,61.5,31.5,2,4
413,32.5,28.5,2,17
419,-33.5,-35.5,2,3
423,53.5,31.5,2,14
423,43.5,34.5,2,1
431,20.5,25.5,2,4
456,66.5,31.5,2,3
493,59.5,42.5,2,1
518,13.5,26.5,2,9
570,25.5,38.5,2,1
575,19.5,23.5,2,2
575,29.5,28.5,2,4
602,-33.5,-33.5,2,1
602,-33.5,-35.5,2,3
612,64.5,31.5,2,7
612,66.5,31.5,2,3
618,20.5,25.5,2,4
618,13.5,26.5,2,9
618,24.5,25.5,2,2
625,20.5,25.5,2,4
627,53.5,31.5,2,14
634,61.5,31.5,2,4
663,-33.5,-33.5,2,1
663,-33.5,-35.5,2,3
665,-33.5,-33.5,2,1
684,46.5,32.5,2,1
708,29.5,28.5,2,4
729,53.5,31.5,2,14
748,40.5,34.5,2,6
748,31.5,36.5,2,4
748,29.5,28.5,2,4
751,40.5,36.5,2,1
766,31.5,36.5,2,4
826,62.5,43.5,2,7
846,77.5,28.5,2,1
875,32.5,28.5,2,17
875,31.5,31.5,2,23
875,31.5,36.5,2,4
883,-42.5,28.5,2,7
894,61.5,31.5,2,4
909,-51.5,52.5,2,2
929,29.5,31.5,2,3
929,31.5,36.5,2,4
949,29.5,31.5,2,3
950,43.5,34.5,2,1
955,13.5,26.5,2,9
955,13.5,30.5,2,9
977,59.5,42.5,2,1
