"id","x","y","rep","collections"
7,58.5,38.5,1,6
12,24.5,55.5,1,2
12,23.5,53.5,1,10
12,50.5,42.5,1,1
12,11.5,53.5,1,1
16,6.5,54.5,1,1
41,5.5,51.5,1,1
44,-31.5,42.5,1,24
47,52.5,-33.5,1,4
51,5.5,53.5,1,10
51,5.5,52.5,1,8
51,5.5,54.5,1,53
51,7.5,53.5,1,2
60,49.5,43.5,1,1
69,22.5,54.5,1,40
69,22.5,41.5,1,40
72,50.5,41.5,1,1
72,49.5,43.5,1,1
75,5.5,54.5,1,53
75,5.5,53.5,1,10
75,5.5,51.5,1,1
96,59.5,38.5,1,1
102,56.5,37.5,1,1
139,52.5,42.5,1,1
149,-30.5,43.5,1,6
158,5.5,54.5,1,53
159,7.5,53.5,1,2
159,11.5,53.5,1,1
162,58.5,38.5,1,6
162,59.5,38.5,1,1
162,57.5,38.5,1,11
173,59.5,38.5,1,1
173,58.5,38.5,1,6
173,56.5,38.5,1,1
198,22.5,54.5,1,40
213,52.5,-35.5,1,1
240,56.5,38.5,1,1
290,51.5,40.5,1,1
290,56.5,38.5,1,1
290,50.5,40.5,1,5
290,59.5,38.5,1,1
305,-30.5,43.5,1,6
307,5.5,54.5,1,53
311,7.5,54.5,1,18
313,51.5,-34.5,1,2
325,53.5,-41.5,1,10
333,24.5,54.5,1,1
354,-30.5,43.5,1,6
356,103.5,-23.5,1,7
361,58.5,38.5,1,6
380,5.5,54.5,1,53
380,21.5,54.5,1,2
393,5.5,52.5,1,8
406,8.5,54.5,1,1
415,5.5,52.5,1,8
425,49.5,43.5,1,1
428,50.5,41.5,1,1
456,50.5,40.5,1,5
456,50.5,42.5,1,1
456,50.5,41.5,1,1
470,8.5,54.5,1,1
477,22.5,53.5,1,21
477,7.5,53.5,1,2
477,5.5,52.5,1,8
497,52.5,-33.5,1,4
497,51.5,-33.5,1,2
506,22.5,53.5,1,21
515,11.5,53.5,1,1
519,7.5,54.5,1,18
521,5.5,53.5,1,10
525,21.5,54.5,1,2
528,22.5,54.5,1,40
551,50.5,40.5,1,5
577,22.5,42.5,1,7
590,5.5,52.5,1,8
590,5.5,51.5,1,1
598,50.5,40.5,1,5
600,5.5,51.5,1,1
626,22.5,53.5,1,21
645,7.5,54.5,1,18
645,11.5,53.5,1,1
653,35.5,12.5,1,15
655,107.5,-27.5,1,1
668,56.5,38.5,1,1
668,50.5,40.5,1,5
737,5.5,54.5,1,53
737,5.5,52.5,1,8
737,5.5,53.5,1,10
744,24.5,54.5,1,1
747,51.5,-34.5,1,2
754,51.5,40.5,1,1
754,52.5,42.5,1,1
765,8.5,54.5,1,1
784,21.5,54.5,1,2
791,7.5,54.5,1,18
812,50.5,41.5,1,1
812,50.5,40.5,1,5
812,51.5,40.5,1,1
819,-31.5,41.5,1,1
865,11.5,53.5,1,1
875,50.5,41.5,1,1
892,22.5,42.5,1,7
899,57.5,38.5,1,11
910,8.5,54.5,1,1
911,22.5,40.5,1,3
914,52.5,42.5,1,1
935,50.5,41.5,1,1
935,50.5,42.5,1,1
935,49.5,43.5,1,1
945,7.5,53.5,1,2
957,52.5,-35.5,1,1
963,5.5,53.5,1,10
995,56.5,38.5,1,1
995,57.5,38.5,1,11
997,5.5,51.5,1,1
997,-30.5,43.5,1,6
997,-31.5,41.5,1,1
1000,-35.5,30.5,1,2
29,50.5,41.5,2,1
32,22.5,41.5,2,40
49,23.5,53.5,2,10
49,5.5,54.5,2,53
49,8.5,54.5,2,1
