"id","x","y","rep","collections"
4,16.5,33.5,1,1
6,31.5,-31.5,1,1
28,45.5,55.5,1,1
34,31.5,-31.5,1,1
45,49.5,-28.5,1,1
56,21.5,30.5,1,6
56,16.5,33.5,1,1
58,28.5,36.5,1,1
70,2.5,18.5,1,1
72,9.5,24.5,1,6
77,24.5,33.5,1,2
80,13.5,46.5,1,1
99,16.5,31.5,1,7
107,14.5,50.5,1,2
113,14.5,50.5,1,2
124,25.5,37.5,1,3
124,25.5,32.5,1,1
128,27.5,35.5,1,1
147,15.5,46.5,1,8
153,13.5,46.5,1,1
158,21.5,28.5,1,2
169,31.5,37.5,1,1
176,30.5,36.5,1,1
194,31.5,-38.5,1,1
229,31.5,35.5,1,6
250,42.5,43.5,1,8
278,24.5,33.5,1,2
303,45.5,55.5,1,1
330,16.5,31.5,1,7
330,15.5,34.5,1,3
330,13.5,46.5,1,1
330,16.5,33.5,1,1
347,31.5,36.5,1,1
347,30.5,35.5,1,2
347,30.5,34.5,1,1
347,29.5,36.5,1,1
375,22.5,30.5,1,6
375,30.5,36.5,1,1
375,16.5,31.5,1,7
375,21.5,30.5,1,6
380,-40.5,66.5,1,3
383,31.5,37.5,1,1
405,31.5,37.5,1,1
408,14.5,33.5,1,17
436,31.5,37.5,1,1
438,28.5,35.5,1,1
445,15.5,34.5,1,3
445,31.5,35.5,1,6
445,29.5,34.5,1,2
445,23.5,35.5,1,24
445,22.5,35.5,1,3
445,25.5,32.5,1,1
468,13.5,46.5,1,1
468,15.5,46.5,1,8
475,30.5,-32.5,1,1
477,13.5,32.5,1,8
501,20.5,28.5,1,6
535,13.5,46.5,1,1
542,13.5,46.5,1,1
559,15.5,46.5,1,8
576,25.5,37.5,1,3
589,22.5,31.5,1,1
598,35.5,-24.5,1,1
602,13.5,46.5,1,1
606,42.5,43.5,1,8
609,14.5,32.5,1,13
609,20.5,28.5,1,6
609,22.5,30.5,1,6
616,13.5,32.5,1,8
624,31.5,-38.5,1,1
644,45.5,55.5,1,1
669,24.5,33.5,1,2
669,25.5,32.5,1,1
669,31.5,35.5,1,6
670,22.5,30.5,1,6
683,28.5,35.5,1,1
683,21.5,30.5,1,6
686,15.5,61.5,1,3
688,14.5,60.5,1,2
688,13.5,60.5,1,6
699,15.5,46.5,1,8
700,13.5,46.5,1,1
704,15.5,46.5,1,8
715,31.5,-38.5,1,1
731,31.5,37.5,1,1
748,31.5,-38.5,1,1
755,14.5,61.5,1,1
755,15.5,61.5,1,3
755,14.5,50.5,1,2
770,25.5,32.5,1,1
770,22.5,31.5,1,1
770,22.5,30.5,1,6
774,22.5,35.5,1,3
774,15.5,34.5,1,3
774,24.5,33.5,1,2
774,23.5,35.5,1,24
781,30.5,-32.5,1,1
798,30.5,35.5,1,2
798,29.5,36.5,1,1
804,13.5,27.5,1,13
808,13.5,26.5,1,7
808,13.5,46.5,1,1
808,14.5,33.5,1,17
812,16.5,31.5,1,7
819,31.5,35.5,1,6
819,28.5,35.5,1,1
819,30.5,36.5,1,1
850,13.5,26.5,1,7
850,22.5,26.5,1,1
850,20.5,27.5,1,8
872,31.5,-38.5,1,1
877,14.5,32.5,1,13
877,16.5,31.5,1,7
878,13.5,46.5,1,1
885,45.5,55.5,1,1
897,14.5,33.5,1,17
901,15.5,46.5,1,8
901,16.5,31.5,1,7
914,22.5,30.5,1,6
914,21.5,28.5,1,2
914,22.5,26.5,1,1
914,21.5,29.5,1,1
925,28.5,36.5,1,1
925,21.5,28.5,1,2
941,19.5,30.5,1,2
957,25.5,37.5,1,3
966,20.5,30.5,1,3
966,22.5,35.5,1,3
967,19.5,30.5,1,2
967,25.5,32.5,1,1
967,21.5,30.5,1,6
967,22.5,30.5,1,6
967,22.5,31.5,1,1
973,14.5,32.5,1,13
978,22.5,31.5,1,1
982,36.5,-24.5,1,3
984,21.5,28.5,1,2
988,14.5,32.5,1,13
988,13.5,32.5,1,8
988,14.5,33.5,1,17
996,42.5,43.5,1,8
22,31.5,-38.5,2,1
41,42.5,43.5,2,8
56,22.5,31.5,2,1
56,21.5,29.5,2,1
56,20.5,29.5,2,2
56,22.5,30.5,2,6
97,22.5,35.5,2,3
111,15.5,34.5,2,3
111,28.5,36.5,2,1
124,13.5,46.5,2,1
159,30.5,36.5,2,1
175,14.5,61.5,2,1
175,13.5,60.5,2,6
175,14.5,60.5,2,2
178,20.5,29.5,2,2
182,20.5,27.5,2,8
183,45.5,55.5,2,1
