"id","x","y","rep","collections"
6,26.5,44.5,1,1
6,3.5,37.5,1,17
6,22.5,45.5,1,55
6,16.5,47.5,1,93
6,14.5,42.5,1,6
10,-56.5,26.5,1,3
15,1.5,55.5,1,1
19,117.5,47.5,1,11
19,121.5,46.5,1,17
22,99.5,-45.5,1,2
25,16.5,47.5,1,93
34,115.5,-40.5,1,14
39,24.5,41.5,1,3
39,33.5,38.5,1,3
39,31.5,41.5,1,57
41,117.5,47.5,1,11
44,31.5,41.5,1,57
47,84.5,-42.5,1,1
52,-9.5,38.5,1,1
74,99.5,-45.5,1,2
76,11.5,44.5,1,14
79,68.5,47.5,1,1
99,-48.5,11.5,1,40
108,17.5,41.5,1,5
108,19.5,45.5,1,46
111,150.5,-48.5,1,37
114,-56.5,26.5,1,3
117,152.5,45.5,1,3
117,150.5,43.5,1,1
117,144.5,39.5,1,7
119,3.5,37.5,1,17
119,1.5,39.5,1,1
128,-37.5,-53.5,1,1
133,18.5,43.5,1,17
135,14.5,42.5,1,6
137,18.5,43.5,1,17
146,25.5,42.5,1,6
146,28.5,42.5,1,7
146,33.5,38.5,1,3
153,18.5,43.5,1,17
153,32.5,42.5,1,2
154,16.5,47.5,1,93
163,84.5,-42.5,1,1
168,96.5,-36.5,1,1
175,1.5,39.5,1,1
177,120.5,-43.5,1,5
186,149.5,-45.5,1,26
186,150.5,-48.5,1,37
188,96.5,-36.5,1,1
190,129.5,-18.5,1,2
196,24.5,41.5,1,3
212,43.5,36.5,1,1
217,160.5,25.5,1,23
220,-37.5,-53.5,1,1
221,99.5,-36.5,1,2
232,71.5,45.5,1,2
232,68.5,47.5,1,1
243,24.5,41.5,1,3
243,18.5,43.5,1,17
248,146.5,41.5,1,2
248,150.5,43.5,1,1
251,-46.5,-35.5,1,1
255,11.5,44.5,1,14
260,115.5,-40.5,1,14
260,120.5,-43.5,1,5
263,24.5,41.5,1,3
263,25.5,42.5,1,6
263,21.5,42.5,1,2
263,22.5,43.5,1,39
275,146.5,41.5,1,2
275,144.5,39.5,1,7
280,68.5,47.5,1,1
287,28.5,42.5,1,7
287,31.5,41.5,1,57
288,-37.5,-53.5,1,1
290,22.5,45.5,1,55
290,15.5,46.5,1,24
291,121.5,46.5,1,17
295,99.5,-45.5,1,2
301,25.5,42.5,1,6
301,26.5,44.5,1,1
308,99.5,-36.5,1,2
308,104.5,-35.5,1,3
309,84.5,-34.5,1,1
315,16.5,40.5,1,24
318,117.5,47.5,1,11
320,27.5,40.5,1,1
320,22.5,45.5,1,55
320,28.5,42.5,1,7
320,34.5,40.5,1,7
325,43.5,36.5,1,1
325,32.5,42.5,1,2
325,24.5,41.5,1,3
333,32.5,42.5,1,2
333,21.5,42.5,1,2
345,20.5,40.5,1,2
345,28.5,42.5,1,7
361,34.5,40.5,1,7
374,66.5,38.5,1,3
383,33.5,38.5,1,3
383,28.5,42.5,1,7
383,27.5,40.5,1,1
385,-43.5,1.5,1,162
385,-42.5,-11.5,1,7
385,-48.5,11.5,1,40
388,68.5,47.5,1,1
396,3.5,37.5,1,17
398,99.5,-45.5,1,2
400,150.5,43.5,1,1
401,1.5,39.5,1,1
401,0.5,38.5,1,10
401,3.5,37.5,1,17
403,68.5,47.5,1,1
403,71.5,45.5,1,2
412,107.5,-35.5,1,3
424,11.5,44.5,1,14
426,149.5,-45.5,1,26
427,22.5,43.5,1,39
433,146.5,41.5,1,2
440,-41.5,-65.5,1,1
442,20.5,40.5,1,2
442,19.5,47.5,1,123
442,18.5,44.5,1,3
442,18.5,43.5,1,17
447,0.5,38.5,1,10
457,96.5,-36.5,1,1
465,49.5,-21.5,1,9
470,84.5,-42.5,1,1
472,-46.5,-35.5,1,1
479,14.5,42.5,1,6
480,115.5,-40.5,1,14
482,1.5,39.5,1,1
485,139.5,8.5,1,12
489,71.5,45.5,1,2
492,117.5,47.5,1,11
499,18.5,43.5,1,17
499,14.5,42.5,1,6
503,-37.5,-53.5,1,1
505,-19.5,36.5,1,1
522,107.5,-35.5,1,3
522,96.5,-36.5,1,1
556,117.5,47.5,1,11
558,66.5,38.5,1,3
558,66.5,44.5,1,7
559,-19.5,36.5,1,1
561,22.5,45.5,1,55
561,24.5,41.5,1,3
561,32.5,42.5,1,2
561,27.5,40.5,1,1
561,31.5,41.5,1,57
561,28.5,42.5,1,7
561,22.5,43.5,1,39
564,115.5,-40.5,1,14
565,-9.5,38.5,1,1
565,3.5,37.5,1,17
565,1.5,39.5,1,1
566,107.5,-35.5,1,3
572,96.5,-36.5,1,1
595,120.5,-43.5,1,5
596,34.5,40.5,1,7
596,33.5,38.5,1,3
596,26.5,44.5,1,1
596,31.5,41.5,1,57
596,28.5,42.5,1,7
601,149.5,-45.5,1,26
603,25.5,42.5,1,6
605,25.5,42.5,1,6
605,20.5,40.5,1,2
605,14.5,42.5,1,6
605,17.5,41.5,1,5
607,1.5,39.5,1,1
607,3.5,37.5,1,17
613,104.5,-35.5,1,3
613,107.5,-35.5,1,3
620,49.5,-23.5,1,5
625,121.5,46.5,1,17
635,146.5,41.5,1,2
637,84.5,-42.5,1,1
649,-56.5,26.5,1,3
651,19.5,45.5,1,46
652,84.5,-34.5,1,1
