"id","x","y","rep","collections"
1,31.5,30.5,1,4
3,133.5,39.5,1,1
4,140.5,-44.5,1,20
9,132.5,37.5,1,13
9,137.5,41.5,1,1
12,19.5,46.5,1,4
22,34.5,44.5,1,4
36,141.5,47.5,1,2
37,4.5,43.5,1,8
40,0.5,41.5,1,1
42,141.5,47.5,1,2
49,129.5,36.5,1,16
49,133.5,39.5,1,1
51,34.5,44.5,1,4
61,12.5,32.5,1,6
62,34.5,44.5,1,4
68,4.5,38.5,1,2
71,136.5,-42.5,1,18
80,127.5,-37.5,1,1
80,136.5,-42.5,1,18
90,34.5,44.5,1,4
94,-156.5,57.5,1,3
101,140.5,-44.5,1,20
106,178.5,-48.5,1,1
109,141.5,47.5,1,2
117,19.5,46.5,1,4
129,133.5,39.5,1,1
129,132.5,37.5,1,13
135,4.5,38.5,1,2
135,-6.5,35.5,1,1
137,4.5,38.5,1,2
144,12.5,32.5,1,6
149,45.5,40.5,1,2
154,-113.5,32.5,1,17
166,4.5,38.5,1,2
189,178.5,-48.5,1,1
192,141.5,44.5,1,6
192,137.5,41.5,1,1
209,-60.5,-41.5,1,1
214,4.5,43.5,1,8
218,123.5,-39.5,1,1
230,12.5,32.5,1,6
232,140.5,-44.5,1,20
234,141.5,47.5,1,2
244,129.5,36.5,1,16
246,-156.5,57.5,1,3
250,178.5,-48.5,1,1
251,4.5,38.5,1,2
253,-60.5,-41.5,1,1
257,9.5,43.5,1,1
262,34.5,44.5,1,4
270,-6.5,46.5,1,1
276,129.5,36.5,1,16
278,34.5,44.5,1,4
281,45.5,40.5,1,2
296,-79.5,21.5,1,2
304,127.5,-37.5,1,1
305,-6.5,46.5,1,1
307,178.5,-48.5,1,1
343,45.5,40.5,1,2
343,30.5,33.5,1,5
351,-6.5,46.5,1,1
352,141.5,39.5,1,13
360,34.5,44.5,1,4
361,19.5,46.5,1,4
382,4.5,43.5,1,8
383,12.5,32.5,1,6
384,-60.5,-41.5,1,1
395,4.5,43.5,1,8
395,4.5,38.5,1,2
400,19.5,46.5,1,4
401,12.5,32.5,1,6
404,12.5,32.5,1,6
411,34.5,44.5,1,4
414,141.5,47.5,1,2
418,-113.5,32.5,1,17
428,141.5,47.5,1,2
431,0.5,41.5,1,1
440,129.5,36.5,1,16
445,4.5,38.5,1,2
447,-9.5,35.5,1,11
447,-6.5,35.5,1,1
457,45.5,40.5,1,2
459,133.5,39.5,1,1
459,137.5,41.5,1,1
460,31.5,35.5,1,10
460,30.5,33.5,1,5
460,31.5,30.5,1,4
468,132.5,37.5,1,13
470,45.5,40.5,1,2
486,11.5,51.5,1,17
491,141.5,47.5,1,2
493,141.5,47.5,1,2
495,4.5,38.5,1,2
497,-79.5,21.5,1,2
507,-6.5,46.5,1,1
510,178.5,-48.5,1,1
511,-6.5,46.5,1,1
513,141.5,44.5,1,6
534,12.5,32.5,1,6
534,4.5,38.5,1,2
534,9.5,43.5,1,1
