"id","x","y","rep","collections"
16,36.5,37.5,1,1
21,9.5,41.5,1,16
34,-64.5,20.5,1,8
47,29.5,28.5,1,4
53,13.5,39.5,1,1
53,10.5,43.5,1,16
53,6.5,43.5,1,3
53,9.5,43.5,1,3
66,-67.5,34.5,1,2
70,10.5,43.5,1,16
70,13.5,44.5,1,2
71,6.5,43.5,1,3
74,-0.5,23.5,1,1
76,36.5,37.5,1,1
76,40.5,41.5,1,1
102,-67.5,34.5,1,2
102,-66.5,34.5,1,12
102,-65.5,34.5,1,2
110,24.5,35.5,1,1
120,17.5,35.5,1,32
134,17.5,39.5,1,2
152,20.5,40.5,1,1
153,40.5,41.5,1,1
163,21.5,35.5,1,1
163,17.5,35.5,1,32
164,5.5,41.5,1,1
164,7.5,41.5,1,13
170,40.5,41.5,1,1
206,9.5,43.5,1,3
209,17.5,39.5,1,2
212,126.5,40.5,1,1
221,36.5,37.5,1,1
236,13.5,44.5,1,2
236,6.5,43.5,1,3
239,17.5,35.5,1,32
239,27.5,32.5,1,1
245,-55.5,39.5,1,4
253,13.5,41.5,1,1
254,14.5,39.5,1,14
270,-81.5,32.5,1,1
270,-67.5,34.5,1,2
270,-67.5,35.5,1,5
270,-65.5,34.5,1,2
297,29.5,26.5,1,2
304,27.5,33.5,1,2
304,19.5,34.5,1,3
308,36.5,37.5,1,1
308,27.5,32.5,1,1
312,48.5,9.5,1,8
313,13.5,41.5,1,1
313,13.5,39.5,1,1
317,23.5,34.5,1,20
319,5.5,43.5,1,47
319,5.5,41.5,1,1
319,5.5,42.5,1,3
319,7.5,39.5,1,2
323,17.5,39.5,1,2
323,13.5,39.5,1,1
330,13.5,44.5,1,2
338,8.5,41.5,1,69
338,10.5,42.5,1,3
338,7.5,39.5,1,2
338,8.5,40.5,1,1
338,5.5,41.5,1,1
338,13.5,41.5,1,1
346,9.5,43.5,1,3
355,27.5,32.5,1,1
366,-81.5,32.5,1,1
374,8.5,41.5,1,69
374,8.5,40.5,1,1
374,9.5,43.5,1,3
374,6.5,43.5,1,3
375,40.5,41.5,1,1
384,10.5,42.5,1,3
392,17.5,39.5,1,2
409,13.5,44.5,1,2
410,40.5,41.5,1,1
413,40.5,41.5,1,1
416,9.5,43.5,1,3
416,10.5,42.5,1,3
428,14.5,39.5,1,14
434,-64.5,34.5,1,1
434,-65.5,34.5,1,2
434,-67.5,35.5,1,5
434,-55.5,38.5,1,4
437,27.5,33.5,1,2
437,20.5,40.5,1,1
446,27.5,32.5,1,1
446,27.5,33.5,1,2
494,-76.5,21.5,1,4
503,10.5,36.5,1,1
503,10.5,43.5,1,16
512,17.5,43.5,1,1
513,38.5,17.5,1,1
513,36.5,37.5,1,1
519,14.5,39.5,1,14
529,9.5,41.5,1,16
532,7.5,41.5,1,13
532,8.5,41.5,1,69
538,-64.5,-51.5,1,3
539,-81.5,32.5,1,1
540,-81.5,32.5,1,1
541,24.5,35.5,1,1
541,23.5,34.5,1,20
547,5.5,42.5,1,3
567,7.5,41.5,1,13
567,9.5,43.5,1,3
570,10.5,36.5,1,1
570,14.5,39.5,1,14
574,20.5,35.5,1,1
583,13.5,39.5,1,1
585,13.5,39.5,1,1
585,10.5,43.5,1,16
585,14.5,39.5,1,14
588,10.5,36.5,1,1
588,5.5,43.5,1,47
588,9.5,43.5,1,3
588,5.5,41.5,1,1
588,7.5,39.5,1,2
588,6.5,43.5,1,3
591,40.5,41.5,1,1
595,20.5,40.5,1,1
595,36.5,37.5,1,1
609,5.5,42.5,1,3
609,7.5,41.5,1,13
609,5.5,43.5,1,47
609,5.5,41.5,1,1
616,40.5,41.5,1,1
616,21.5,35.5,1,1
620,6.5,43.5,1,3
623,15.5,47.5,1,3
626,9.5,43.5,1,3
629,14.5,39.5,1,14
629,17.5,39.5,1,2
629,17.5,43.5,1,1
629,19.5,34.5,1,3
630,5.5,43.5,1,47
636,-55.5,39.5,1,4
660,15.5,47.5,1,3
660,13.5,41.5,1,1
660,9.5,41.5,1,16
663,6.5,43.5,1,3
663,10.5,42.5,1,3
663,13.5,44.5,1,2
663,7.5,39.5,1,2
663,5.5,42.5,1,3
663,9.5,43.5,1,3
665,15.5,47.5,1,3
665,17.5,43.5,1,1
