"id","x","y","rep","collections"
1,-70.5,36.5,1,24
1,-75.5,34.5,1,156
1,-66.5,35.5,1,65
5,44.5,50.5,1,1
5,44.5,48.5,1,3
6,5.5,36.5,1,80
20,21.5,36.5,1,9
30,28.5,34.5,1,1
31,-2.5,44.5,1,1
38,16.5,34.5,1,2
39,-77.5,52.5,1,285
43,-51.5,-42.5,1,6
55,21.5,44.5,1,13
60,-50.5,-22.5,1,1
63,38.5,40.5,1,4
71,1.5,46.5,1,34
80,52.5,33.5,1,9
80,61.5,32.5,1,1
81,4.5,44.5,1,62
81,-2.5,44.5,1,1
99,21.5,46.5,1,19
99,7.5,46.5,1,9
100,46.5,38.5,1,1
100,41.5,32.5,1,1
102,64.5,52.5,1,1
102,58.5,49.5,1,8
110,41.5,34.5,1,3
112,30.5,15.5,1,26
112,30.5,17.5,1,2
114,17.5,21.5,1,1
114,18.5,26.5,1,1
115,23.5,33.5,1,2
115,16.5,34.5,1,2
120,21.5,39.5,1,58
122,52.5,33.5,1,9
127,15.5,32.5,1,1
136,-80.5,43.5,1,3
139,-63.5,32.5,1,1
162,14.5,38.5,1,2
164,7.5,44.5,1,214
164,10.5,38.5,1,3
168,-155.5,-60.5,1,20
170,1.5,38.5,1,4
170,20.5,39.5,1,5
170,7.5,37.5,1,23
178,21.5,36.5,1,9
178,5.5,36.5,1,80
186,-73.5,52.5,1,52
190,14.5,49.5,1,14
191,49.5,38.5,1,9
191,49.5,41.5,1,14
203,-76.5,55.5,1,8
203,-80.5,45.5,1,101
216,52.5,43.5,1,3
218,4.5,44.5,1,62
226,7.5,51.5,1,9
231,64.5,32.5,1,2
235,10.5,38.5,1,3
235,14.5,38.5,1,2
236,10.5,38.5,1,3
239,7.5,51.5,1,9
240,41.5,43.5,1,1
240,38.5,42.5,1,2
253,-49.5,40.5,1,91
254,42.5,38.5,1,1
254,34.5,45.5,1,2
254,46.5,38.5,1,1
255,7.5,51.5,1,9
255,7.5,46.5,1,9
268,7.5,44.5,1,214
268,4.5,41.5,1,1
275,41.5,32.5,1,1
280,17.5,44.5,1,7
282,48.5,43.5,1,2
282,60.5,54.5,1,2
284,10.5,38.5,1,3
289,-78.5,50.5,1,156
291,25.5,39.5,1,1
292,-11.5,51.5,1,3
304,51.5,46.5,1,4
308,-10.5,23.5,1,1
309,1.5,43.5,1,9
309,4.5,41.5,1,1
314,31.5,44.5,1,2
314,14.5,38.5,1,2
319,7.5,46.5,1,9
319,4.5,49.5,1,1
321,64.5,35.5,1,13
332,-51.5,-40.5,1,29
333,-66.5,35.5,1,65
333,-66.5,38.5,1,131
334,-63.5,-63.5,1,1
336,21.5,46.5,1,19
338,21.5,46.5,1,19
344,1.5,33.5,1,10
351,-76.5,44.5,1,2
352,7.5,37.5,1,23
353,1.5,43.5,1,9
354,-78.5,35.5,1,51
358,-80.5,43.5,1,3
358,-77.5,22.5,1,6
365,-1.5,36.5,1,27
365,7.5,37.5,1,23
365,4.5,41.5,1,1
365,1.5,43.5,1,9
365,7.5,39.5,1,5
365,1.5,36.5,1,296
368,31.5,44.5,1,2
371,-2.5,44.5,1,1
383,18.5,31.5,1,1
384,28.5,34.5,1,1
391,-76.5,55.5,1,8
396,38.5,-37.5,1,1
402,21.5,44.5,1,13
402,17.5,44.5,1,7
404,1.5,31.5,1,2
404,23.5,16.5,1,1
404,20.5,23.5,1,1
404,-1.5,36.5,1,27
408,46.5,38.5,1,1
413,1.5,36.5,1,296
413,1.5,38.5,1,4
422,10.5,51.5,1,28
422,7.5,39.5,1,5
428,-77.5,52.5,1,285
429,20.5,39.5,1,5
429,7.5,51.5,1,9
429,25.5,39.5,1,1
435,-49.5,40.5,1,91
439,35.5,42.5,1,4
445,7.5,25.5,1,133
450,42.5,38.5,1,1
455,-66.5,38.5,1,131
459,10.5,51.5,1,28
462,23.5,33.5,1,2
465,52.5,43.5,1,3
465,58.5,47.5,1,1
467,-1.5,36.5,1,27
471,44.5,48.5,1,3
471,41.5,45.5,1,3
473,64.5,52.5,1,1
486,3.5,-24.5,1,4
487,-66.5,38.5,1,131
490,41.5,34.5,1,3
491,-110.5,69.5,1,1
497,17.5,44.5,1,7
499,19.5,33.5,1,45
502,1.5,46.5,1,34
506,41.5,45.5,1,3
511,-63.5,34.5,1,184
517,-2.5,44.5,1,1
517,1.5,43.5,1,9
522,-66.5,38.5,1,131
522,-57.5,23.5,1,4
524,7.5,44.5,1,214
526,-76.5,55.5,1,8
530,21.5,36.5,1,9
533,4.5,49.5,1,1
542,46.5,38.5,1,1
542,41.5,43.5,1,1
542,32.5,37.5,1,1
551,54.5,51.5,1,1
553,41.5,45.5,1,3
553,41.5,43.5,1,1
561,33.5,27.5,1,1
561,18.5,31.5,1,1
563,38.5,42.5,1,2
566,57.5,36.5,1,3
566,53.5,39.5,1,2
566,52.5,43.5,1,3
567,1.5,46.5,1,34
569,21.5,36.5,1,9
575,4.5,41.5,1,1
578,32.5,37.5,1,1
578,33.5,27.5,1,1
589,57.5,36.5,1,3
603,1.5,31.5,1,2
603,7.5,46.5,1,9
605,21.5,44.5,1,13
606,32.5,37.5,1,1
606,41.5,32.5,1,1
607,1.5,43.5,1,9
610,-79.5,32.5,1,57
616,53.5,36.5,1,6
616,53.5,39.5,1,2
616,52.5,43.5,1,3
619,-74.5,49.5,1,141
632,-74.5,36.5,1,124
632,-75.5,34.5,1,156
634,49.5,41.5,1,14
634,20.5,39.5,1,5
636,51.5,46.5,1,4
649,46.5,38.5,1,1
650,21.5,44.5,1,13
653,19.5,33.5,1,45
654,-56.5,-52.5,1,11
657,41.5,43.5,1,1
668,54.5,51.5,1,1
670,38.5,40.5,1,4
670,32.5,37.5,1,1
672,10.5,49.5,1,39
672,14.5,49.5,1,14
677,-63.5,32.5,1,1
678,1.5,33.5,1,10
681,-51.5,-42.5,1,6
689,46.5,38.5,1,1
693,17.5,44.5,1,7
693,14.5,38.5,1,2
704,57.5,36.5,1,3
709,1.5,33.5,1,10
717,-74.5,49.5,1,141
725,49.5,41.5,1,14
725,38.5,42.5,1,2
738,-51.5,-40.5,1,29
741,-80.5,45.5,1,101
