"id","x","y","rep","collections"
1,141.5,45.5,1,3
5,-3.5,34.5,1,9
5,-0.5,37.5,1,5
5,-8.5,37.5,1,2
10,-8.5,37.5,1,2
17,141.5,45.5,1,3
27,40.5,42.5,1,6
27,29.5,47.5,1,2
44,130.5,32.5,1,1
50,-77.5,25.5,1,4
57,-71.5,20.5,1,113
59,130.5,32.5,1,1
61,-62.5,-40.5,1,1
63,14.5,41.5,1,9
65,6.5,39.5,1,1
70,137.5,38.5,1,3
70,141.5,45.5,1,3
71,29.5,47.5,1,2
73,137.5,38.5,1,3
83,122.5,25.5,1,1
93,18.5,29.5,1,4
96,141.5,45.5,1,3
100,11.5,44.5,1,14
103,25.5,34.5,1,7
103,22.5,36.5,1,1
103,10.5,36.5,1,2
103,18.5,29.5,1,4
105,130.5,32.5,1,1
116,-120.5,35.5,1,15
137,25.5,34.5,1,7
137,22.5,36.5,1,1
141,25.5,34.5,1,7
141,22.5,34.5,1,5
149,25.5,34.5,1,7
149,22.5,34.5,1,5
150,-56.5,-64.5,1,1
158,-0.5,37.5,1,5
161,11.5,44.5,1,14
162,141.5,45.5,1,3
175,137.5,38.5,1,3
180,6.5,39.5,1,1
180,3.5,39.5,1,1
194,3.5,44.5,1,4
198,179.5,-41.5,1,1
199,-117.5,33.5,1,28
200,141.5,45.5,1,3
205,14.5,41.5,1,9
206,11.5,41.5,1,17
206,-8.5,37.5,1,2
208,-77.5,25.5,1,4
210,141.5,45.5,1,3
211,179.5,-41.5,1,1
222,3.5,39.5,1,1
229,14.5,41.5,1,9
229,18.5,39.5,1,14
230,-0.5,37.5,1,5
239,-8.5,37.5,1,2
252,6.5,39.5,1,1
253,6.5,39.5,1,1
262,137.5,38.5,1,3
262,141.5,45.5,1,3
264,-0.5,37.5,1,5
266,3.5,39.5,1,1
278,11.5,41.5,1,17
288,18.5,41.5,1,1
288,14.5,39.5,1,1
293,11.5,41.5,1,17
293,-3.5,34.5,1,9
301,137.5,38.5,1,3
306,-3.5,34.5,1,9
313,3.5,39.5,1,1
314,3.5,44.5,1,4
317,137.5,38.5,1,3
343,141.5,45.5,1,3
349,29.5,47.5,1,2
352,11.5,44.5,1,14
352,3.5,39.5,1,1
352,6.5,39.5,1,1
355,-62.5,-40.5,1,1
357,130.5,32.5,1,1
360,3.5,44.5,1,4
367,25.5,34.5,1,7
374,6.5,39.5,1,1
377,25.5,36.5,1,7
377,25.5,34.5,1,7
377,22.5,34.5,1,5
377,18.5,29.5,1,4
383,18.5,39.5,1,14
389,-3.5,34.5,1,9
389,10.5,36.5,1,2
397,22.5,34.5,1,5
397,25.5,36.5,1,7
400,22.5,36.5,1,1
400,14.5,39.5,1,1
400,14.5,41.5,1,9
420,-77.5,25.5,1,4
437,-71.5,20.5,1,113
446,141.5,-41.5,1,1
450,179.5,-41.5,1,1
453,40.5,42.5,1,6
468,137.5,38.5,1,3
469,179.5,-41.5,1,1
481,141.5,45.5,1,3
489,-62.5,-40.5,1,1
491,25.5,36.5,1,7
491,22.5,36.5,1,1
492,137.5,38.5,1,3
499,25.5,36.5,1,7
499,14.5,39.5,1,1
508,-70.5,-30.5,1,2
510,118.5,25.5,1,1
510,122.5,25.5,1,1
519,3.5,39.5,1,1
533,141.5,45.5,1,3
539,3.5,39.5,1,1
539,-3.5,34.5,1,9
539,10.5,36.5,1,2
545,-0.5,37.5,1,5
546,10.5,36.5,1,2
547,-117.5,33.5,1,28
557,-62.5,-40.5,1,1
559,22.5,34.5,1,5
562,25.5,36.5,1,7
562,25.5,34.5,1,7
567,-73.5,37.5,1,12
571,-0.5,37.5,1,5
571,-3.5,34.5,1,9
585,179.5,-41.5,1,1
591,10.5,36.5,1,2
591,6.5,39.5,1,1
591,14.5,41.5,1,9
591,18.5,29.5,1,4
609,-73.5,37.5,1,12
611,-120.5,35.5,1,15
617,179.5,-39.5,1,4
628,118.5,25.5,1,1
637,25.5,36.5,1,7
643,22.5,34.5,1,5
647,141.5,45.5,1,3
650,3.5,39.5,1,1
650,6.5,39.5,1,1
654,25.5,36.5,1,7
654,25.5,34.5,1,7
658,-70.5,-30.5,1,2
665,11.5,41.5,1,17
689,-73.5,37.5,1,12
695,14.5,41.5,1,9
695,11.5,41.5,1,17
696,141.5,-41.5,1,1
707,22.5,36.5,1,1
708,141.5,-41.5,1,1
710,3.5,44.5,1,4
720,10.5,34.5,1,1
720,11.5,44.5,1,14
724,179.5,-41.5,1,1
725,141.5,45.5,1,3
726,14.5,41.5,1,9
726,3.5,44.5,1,4
729,18.5,41.5,1,1
744,3.5,39.5,1,1
744,3.5,44.5,1,4
771,-0.5,37.5,1,5
771,-3.5,34.5,1,9
772,6.5,39.5,1,1
774,10.5,34.5,1,1
774,18.5,29.5,1,4
775,6.5,39.5,1,1
775,10.5,36.5,1,2
780,40.5,42.5,1,6
801,141.5,-41.5,1,1
813,118.5,25.5,1,1
819,3.5,39.5,1,1
820,18.5,39.5,1,14
821,10.5,34.5,1,1
832,141.5,45.5,1,3
838,-62.5,-40.5,1,1
847,18.5,41.5,1,1
855,179.5,-41.5,1,1
861,-73.5,37.5,1,12
863,11.5,41.5,1,17
868,-70.5,-30.5,1,2
871,-73.5,37.5,1,12
892,-0.5,37.5,1,5
894,141.5,45.5,1,3
908,130.5,32.5,1,1
911,25.5,36.5,1,7
929,137.5,38.5,1,3
930,137.5,38.5,1,3
939,11.5,41.5,1,17
942,179.5,-39.5,1,4
955,122.5,25.5,1,1
959,22.5,34.5,1,5
960,11.5,41.5,1,17
961,18.5,41.5,1,1
961,14.5,39.5,1,1
970,179.5,-39.5,1,4
972,137.5,38.5,1,3
972,141.5,45.5,1,3
973,18.5,39.5,1,14
973,18.5,41.5,1,1
978,18.5,39.5,1,14
993,137.5,38.5,1,3
996,18.5,39.5,1,14
996,22.5,36.5,1,1
996,18.5,29.5,1,4
996,22.5,34.5,1,5
997,-77.5,25.5,1,4
1000,141.5,-41.5,1,1
7,29.5,47.5,2,2
12,40.5,42.5,2,6
36,141.5,45.5,2,3
50,141.5,45.5,2,3
53,18.5,41.5,2,1
53,14.5,41.5,2,9
57,11.5,44.5,2,14
57,11.5,41.5,2,17
64,40.5,42.5,2,6
66,14.5,39.5,2,1
68,-3.5,34.5,2,9
69,10.5,36.5,2,2
80,11.5,41.5,2,17
87,130.5,32.5,2,1
105,-70.5,-30.5,2,2
107,141.5,45.5,2,3
112,10.5,34.5,2,1
113,40.5,42.5,2,6
115,18.5,39.5,2,14
115,18.5,41.5,2,1
115,22.5,36.5,2,1
115,25.5,36.5,2,7
117,25.5,36.5,2,7
117,22.5,34.5,2,5
119,18.5,39.5,2,14
119,18.5,41.5,2,1
122,25.5,36.5,2,7
128,-62.5,-40.5,2,1
130,-62.5,-40.5,2,1
134,137.5,38.5,2,3
139,10.5,34.5,2,1
139,10.5,36.5,2,2
140,-62.5,-40.5,2,1
143,22.5,36.5,2,1
143,25.5,36.5,2,7
145,18.5,39.5,2,14
145,6.5,39.5,2,1
145,-0.5,37.5,2,5
148,6.5,39.5,2,1
153,-120.5,35.5,2,15
157,130.5,32.5,2,1
160,18.5,39.5,2,14
166,-0.5,37.5,2,5
168,179.5,-41.5,2,1
184,29.5,47.5,2,2
191,40.5,42.5,2,6
198,141.5,45.5,2,3
216,25.5,34.5,2,7
217,-3.5,34.5,2,9
217,-0.5,37.5,2,5
232,10.5,34.5,2,1
233,3.5,39.5,2,1
239,3.5,44.5,2,4
241,-117.5,33.5,2,28
248,141.5,-41.5,2,1
263,179.5,-39.5,2,4
265,179.5,-39.5,2,4
269,18.5,29.5,2,4
269,18.5,41.5,2,1
270,-8.5,37.5,2,2
270,-3.5,34.5,2,9
277,141.5,45.5,2,3
288,14.5,39.5,2,1
290,6.5,39.5,2,1
290,3.5,39.5,2,1
297,11.5,44.5,2,14
298,-8.5,37.5,2,2
299,11.5,41.5,2,17
299,25.5,34.5,2,7
299,22.5,36.5,2,1
301,6.5,39.5,2,1
301,10.5,36.5,2,2
301,40.5,42.5,2,6
301,18.5,41.5,2,1
319,3.5,44.5,2,4
327,10.5,34.5,2,1
327,10.5,36.5,2,2
330,29.5,47.5,2,2
332,141.5,45.5,2,3
334,10.5,34.5,2,1
337,130.5,32.5,2,1
351,141.5,-41.5,2,1
353,18.5,41.5,2,1
366,25.5,34.5,2,7
369,11.5,44.5,2,14
371,25.5,34.5,2,7
371,25.5,36.5,2,7
371,18.5,39.5,2,14
371,18.5,41.5,2,1
374,10.5,34.5,2,1
374,-8.5,37.5,2,2
374,6.5,39.5,2,1
374,3.5,39.5,2,1
396,10.5,36.5,2,2
396,10.5,34.5,2,1
401,141.5,-41.5,2,1
415,29.5,47.5,2,2
418,130.5,32.5,2,1
424,22.5,34.5,2,5
427,40.5,42.5,2,6
435,40.5,42.5,2,6
446,3.5,44.5,2,4
448,3.5,39.5,2,1
455,25.5,36.5,2,7
460,25.5,36.5,2,7
461,-8.5,37.5,2,2
464,-77.5,25.5,2,4
468,179.5,-39.5,2,4
474,3.5,44.5,2,4
474,11.5,44.5,2,14
480,-0.5,37.5,2,5
480,3.5,39.5,2,1
502,29.5,47.5,2,2
