"id","x","y","rep","collections"
13,101.5,52.5,1,24
14,-46.5,57.5,1,2
14,-50.5,12.5,1,21
14,-57.5,49.5,1,3
22,-45.5,54.5,1,1
24,61.5,51.5,1,1
24,57.5,50.5,1,3
24,51.5,50.5,1,1
25,169.5,51.5,1,3
29,104.5,40.5,1,1
30,104.5,40.5,1,1
30,115.5,37.5,1,1
37,13.5,29.5,1,1
37,13.5,32.5,1,55
41,63.5,47.5,1,5
50,11.5,34.5,1,37
59,-27.5,56.5,1,1
63,26.5,38.5,1,2
63,27.5,43.5,1,2
66,145.5,39.5,1,14
67,-37.5,56.5,1,1
67,-27.5,56.5,1,1
68,11.5,27.5,1,6
68,11.5,30.5,1,22
68,13.5,29.5,1,1
72,-29.5,44.5,1,3
73,63.5,47.5,1,5
76,115.5,37.5,1,1
80,45.5,49.5,1,2
80,49.5,49.5,1,1
83,-20.5,50.5,1,3
86,9.5,29.5,1,2
90,115.5,37.5,1,1
94,63.5,47.5,1,5
95,49.5,49.5,1,1
101,13.5,32.5,1,55
103,117.5,42.5,1,5
107,-27.5,56.5,1,1
112,150.5,40.5,1,3
114,48.5,51.5,1,2
122,115.5,37.5,1,1
122,117.5,42.5,1,5
126,51.5,50.5,1,1
130,-100.5,57.5,1,1
132,-78.5,68.5,1,4
142,-93.5,56.5,1,8
142,-95.5,58.5,1,3
145,-79.5,66.5,1,2
145,-78.5,68.5,1,4
149,-29.5,44.5,1,3
149,-20.5,51.5,1,3
150,-20.5,48.5,1,6
150,-20.5,50.5,1,3
150,-20.5,49.5,1,4
153,-100.5,58.5,1,2
153,-100.5,57.5,1,1
157,9.5,29.5,1,2
159,169.5,51.5,1,3
160,-100.5,58.5,1,2
162,17.5,36.5,1,75
162,15.5,34.5,1,102
163,13.5,32.5,1,55
163,9.5,29.5,1,2
163,8.5,35.5,1,1
167,120.5,39.5,1,1
168,-44.5,57.5,1,1
170,117.5,42.5,1,5
170,121.5,41.5,1,1
178,-49.5,25.5,1,2
179,48.5,51.5,1,2
179,49.5,49.5,1,1
179,45.5,49.5,1,2
184,-95.5,58.5,1,3
186,49.5,49.5,1,1
191,-97.5,54.5,1,5
191,-93.5,54.5,1,8
194,-56.5,47.5,1,2
198,49.5,49.5,1,1
200,11.5,34.5,1,37
201,-39.5,-34.5,1,7
204,-20.5,48.5,1,6
205,11.5,27.5,1,6
205,9.5,29.5,1,2
205,13.5,29.5,1,1
206,-57.5,49.5,1,3
206,-56.5,47.5,1,2
208,169.5,51.5,1,3
209,-27.5,56.5,1,1
212,20.5,37.5,1,4
216,51.5,50.5,1,1
216,49.5,49.5,1,1
