"id","x","y","rep","collections"
9,-37.5,29.5,1,2
9,-37.5,31.5,1,3
42,46.5,37.5,1,1
82,37.5,3.5,1,1
85,44.5,-6.5,1,27
115,24.5,30.5,1,1
115,31.5,36.5,1,1
133,23.5,30.5,1,18
133,17.5,34.5,1,1
138,31.5,36.5,1,1
148,17.5,34.5,1,1
148,11.5,39.5,1,8
150,22.5,29.5,1,3
158,15.5,32.5,1,12
185,-48.5,57.5,1,1
190,22.5,32.5,1,3
190,24.5,30.5,1,1
190,24.5,31.5,1,3
190,21.5,31.5,1,4
190,20.5,30.5,1,14
199,17.5,32.5,1,2
207,17.5,34.5,1,1
214,20.5,30.5,1,14
224,15.5,34.5,1,1
227,31.5,36.5,1,1
272,11.5,39.5,1,8
324,12.5,39.5,1,7
358,25.5,32.5,1,1
372,11.5,39.5,1,8
412,12.5,39.5,1,7
412,11.5,39.5,1,8
417,12.5,39.5,1,7
460,49.5,-29.5,1,2
472,89.5,23.5,1,1
542,46.5,37.5,1,1
566,31.5,-30.5,1,1
570,16.5,60.5,1,1
572,21.5,32.5,1,4
572,22.5,29.5,1,3
575,31.5,36.5,1,1
610,20.5,30.5,1,14
610,17.5,32.5,1,2
621,2.5,19.5,1,1
637,15.5,33.5,1,51
649,-36.5,30.5,1,1
683,23.5,31.5,1,1
683,25.5,33.5,1,1
744,21.5,32.5,1,4
757,22.5,29.5,1,3
790,24.5,30.5,1,1
790,23.5,31.5,1,1
815,16.5,22.5,1,1
831,20.5,29.5,1,1
831,20.5,30.5,1,14
831,22.5,26.5,1,1
837,15.5,32.5,1,12
850,18.5,29.5,1,1
850,21.5,31.5,1,4
856,17.5,35.5,1,1
863,46.5,-30.5,1,7
863,43.5,-10.5,1,6
868,31.5,36.5,1,1
900,-37.5,31.5,1,3
913,15.5,33.5,1,51
917,21.5,31.5,1,4
927,46.5,37.5,1,1
937,22.5,32.5,1,3
939,20.5,30.5,1,14
954,21.5,32.5,1,4
975,25.5,32.5,1,1
980,43.5,-17.5,1,11
984,24.5,31.5,1,3
984,25.5,33.5,1,1
986,46.5,-30.5,1,7
986,49.5,-29.5,1,2
27,12.5,39.5,2,7
33,22.5,30.5,2,13
33,22.5,32.5,2,3
33,21.5,32.5,2,4
56,-36.5,28.5,2,1
63,-34.5,31.5,2,1
97,15.5,61.5,2,3
105,15.5,61.5,2,3
130,16.5,61.5,2,1
138,15.5,61.5,2,3
149,24.5,31.5,2,3
149,31.5,36.5,2,1
159,22.5,29.5,2,3
159,20.5,29.5,2,1
163,-41.5,25.5,2,1
191,17.5,34.5,2,1
191,16.5,34.5,2,7
191,15.5,34.5,2,1
196,46.5,37.5,2,1
199,31.5,36.5,2,1
215,16.5,60.5,2,1
255,24.5,31.5,2,3
257,15.5,34.5,2,1
318,17.5,34.5,2,1
334,12.5,39.5,2,7
334,11.5,39.5,2,8
351,15.5,32.5,2,12
369,-48.5,57.5,2,1
375,24.5,31.5,2,3
376,46.5,37.5,2,1
379,31.5,36.5,2,1
384,17.5,34.5,2,1
384,11.5,39.5,2,8
384,24.5,31.5,2,3
392,36.5,-25.5,2,2
396,17.5,34.5,2,1
401,31.5,36.5,2,1
421,-40.5,26.5,2,1
428,-48.5,57.5,2,1
432,-39.5,27.5,2,1
