"id","x","y","rep","collections"
13,173.5,-40.5,1,4
13,177.5,-40.5,1,13
16,146.5,-41.5,1,3
16,138.5,-36.5,1,4
17,22.5,34.5,1,1
20,29.5,44.5,1,3
24,123.5,25.5,1,13
31,7.5,44.5,1,11
34,126.5,-34.5,1,3
39,177.5,-40.5,1,13
39,173.5,-40.5,1,4
40,29.5,44.5,1,3
41,26.5,36.5,1,3
43,37.5,47.5,1,3
45,37.5,47.5,1,3
46,37.5,47.5,1,3
49,126.5,-34.5,1,3
51,3.5,52.5,1,14
56,138.5,42.5,1,1
57,-153.5,57.5,1,1
60,-59.5,-37.5,1,14
63,26.5,34.5,1,14
64,142.5,45.5,1,1
66,26.5,36.5,1,3
68,7.5,52.5,1,1
71,173.5,-40.5,1,4
75,146.5,-39.5,1,2
78,-74.5,-42.5,1,15
82,7.5,44.5,1,11
82,7.5,39.5,1,1
83,-59.5,-37.5,1,14
91,138.5,40.5,1,3
91,138.5,42.5,1,1
96,15.5,39.5,1,2
101,29.5,44.5,1,3
104,-141.5,60.5,1,2
107,15.5,39.5,1,2
107,7.5,44.5,1,11
107,-0.5,39.5,1,3
110,3.5,39.5,1,1
113,-145.5,60.5,1,1
122,130.5,34.5,1,2
124,-74.5,35.5,1,5
127,-145.5,60.5,1,1
133,-0.5,49.5,1,5
136,3.5,42.5,1,9
139,146.5,-39.5,1,2
140,-0.5,49.5,1,5
140,7.5,52.5,1,1
141,7.5,39.5,1,1
141,15.5,42.5,1,1
144,14.5,37.5,1,7
150,-74.5,-42.5,1,15
152,3.5,37.5,1,1
152,3.5,39.5,1,1
156,3.5,52.5,1,14
163,132.5,26.5,1,1
164,146.5,-41.5,1,3
165,177.5,-40.5,1,13
173,-59.5,-37.5,1,14
177,121.5,21.5,1,2
193,7.5,39.5,1,1
193,15.5,42.5,1,1
194,134.5,32.5,1,1
200,37.5,47.5,1,3
218,142.5,-39.5,1,4
219,-74.5,20.5,1,2
219,-81.5,22.5,1,1
221,3.5,37.5,1,1
221,3.5,42.5,1,9
221,3.5,39.5,1,1
222,-81.5,32.5,1,3
222,-85.5,30.5,1,22
225,142.5,-39.5,1,4
227,126.5,-34.5,1,3
229,146.5,-39.5,1,2
