"id","x","y","rep","collections"
2,35.5,47.5,1,2
13,53.5,48.5,1,1
21,12.5,43.5,1,16
37,-3.5,59.5,1,1
38,-1.5,49.5,1,1
38,1.5,50.5,1,1
42,118.5,-49.5,1,4
47,15.5,43.5,1,38
47,16.5,43.5,1,1
56,112.5,-51.5,1,10
60,23.5,49.5,1,2
60,27.5,46.5,1,8
60,28.5,41.5,1,1
62,-171.5,-53.5,1,38
66,141.5,50.5,1,19
69,35.5,44.5,1,1
71,53.5,48.5,1,1
77,4.5,52.5,1,3
77,1.5,52.5,1,1
78,1.5,50.5,1,1
78,-1.5,49.5,1,1
82,23.5,49.5,1,2
88,2.5,42.5,1,4
88,-1.5,37.5,1,2
107,-0.5,39.5,1,8
108,-166.5,-51.5,1,1
110,43.5,40.5,1,1
112,53.5,48.5,1,1
127,8.5,53.5,1,2
127,35.5,47.5,1,2
134,20.5,41.5,1,56
140,16.5,43.5,1,1
147,118.5,-49.5,1,4
153,2.5,42.5,1,4
162,13.5,39.5,1,3
174,20.5,43.5,1,1
183,57.5,51.5,1,1
186,139.5,48.5,1,6
186,141.5,50.5,1,19
188,-74.5,28.5,1,82
188,-74.5,30.5,1,43
188,-70.5,30.5,1,12
197,43.5,40.5,1,1
198,4.5,52.5,1,3
204,-57.5,-56.5,1,2
219,20.5,43.5,1,1
231,-61.5,-56.5,1,1
231,-57.5,-56.5,1,2
242,140.5,-58.5,1,3
249,1.5,50.5,1,1
266,-1.5,49.5,1,1
266,0.5,55.5,1,1
297,28.5,41.5,1,1
304,-51.5,41.5,1,1
311,-166.5,-51.5,1,1
317,15.5,51.5,1,1
326,19.5,51.5,1,22
327,17.5,27.5,1,1
335,20.5,41.5,1,56
335,19.5,51.5,1,22
342,62.5,44.5,1,1
347,23.5,49.5,1,2
347,27.5,49.5,1,2
347,27.5,46.5,1,8
361,-173.5,-44.5,1,1
367,-66.5,35.5,1,10
377,19.5,51.5,1,22
386,141.5,50.5,1,19
392,9.5,40.5,1,28
398,43.5,40.5,1,1
403,43.5,40.5,1,1
413,-1.5,49.5,1,1
419,2.5,42.5,1,4
419,9.5,40.5,1,28
422,133.5,-54.5,1,23
435,28.5,41.5,1,1
435,35.5,44.5,1,1
437,43.5,40.5,1,1
442,107.5,-54.5,1,5
442,118.5,-51.5,1,37
443,-51.5,41.5,1,1
445,15.5,43.5,1,38
445,-0.5,39.5,1,8
454,12.5,43.5,1,16
454,16.5,43.5,1,1
459,9.5,43.5,1,1
459,28.5,41.5,1,1
462,0.5,55.5,1,1
463,112.5,-54.5,1,6
474,27.5,49.5,1,2
475,-74.5,30.5,1,43
476,-1.5,49.5,1,1
483,16.5,43.5,1,1
483,9.5,40.5,1,28
483,13.5,39.5,1,3
483,15.5,43.5,1,38
487,17.5,27.5,1,1
493,15.5,51.5,1,1
493,8.5,53.5,1,2
496,-66.5,37.5,1,1
504,27.5,46.5,1,8
526,-70.5,30.5,1,12
532,-51.5,41.5,1,1
544,5.5,42.5,1,8
544,2.5,42.5,1,4
545,9.5,43.5,1,1
552,15.5,51.5,1,1
562,43.5,40.5,1,1
562,35.5,44.5,1,1
570,-0.5,39.5,1,8
576,46.5,45.5,1,1
580,46.5,45.5,1,1
587,141.5,50.5,1,19
590,-0.5,39.5,1,8
604,139.5,48.5,1,6
610,15.5,43.5,1,38
613,20.5,43.5,1,1
613,27.5,46.5,1,8
619,16.5,43.5,1,1
622,35.5,47.5,1,2
626,-113.5,46.5,1,136
629,112.5,-51.5,1,10
629,112.5,-54.5,1,6
638,1.5,50.5,1,1
638,4.5,52.5,1,3
638,8.5,53.5,1,2
643,-74.5,30.5,1,43
664,12.5,43.5,1,16
666,53.5,48.5,1,1
675,-169.5,-49.5,1,1
676,35.5,44.5,1,1
700,-171.5,-53.5,1,38
703,112.5,-51.5,1,10
710,2.5,42.5,1,4
730,129.5,36.5,1,20
745,35.5,47.5,1,2
748,13.5,39.5,1,3
752,35.5,47.5,1,2
762,27.5,46.5,1,8
766,1.5,50.5,1,1
767,16.5,43.5,1,1
767,27.5,46.5,1,8
808,-3.5,59.5,1,1
809,20.5,41.5,1,56
809,17.5,41.5,1,7
809,20.5,43.5,1,1
810,9.5,-32.5,1,1
823,141.5,50.5,1,19
823,139.5,48.5,1,6
825,-57.5,-56.5,1,2
830,62.5,20.5,1,2
835,-51.5,41.5,1,1
841,1.5,52.5,1,1
845,-67.5,-19.5,1,20
852,107.5,-54.5,1,5
863,-171.5,-53.5,1,38
872,53.5,48.5,1,1
875,15.5,43.5,1,38
886,27.5,49.5,1,2
886,35.5,44.5,1,1
899,9.5,43.5,1,1
899,12.5,43.5,1,16
900,-169.5,-49.5,1,1
900,-166.5,-51.5,1,1
926,-61.5,-56.5,1,1
927,9.5,40.5,1,28
930,-61.5,-56.5,1,1
938,20.5,41.5,1,56
943,62.5,20.5,1,2
944,23.5,49.5,1,2
946,-1.5,37.5,1,2
948,62.5,44.5,1,1
953,2.5,42.5,1,4
953,16.5,43.5,1,1
953,13.5,39.5,1,3
964,133.5,-54.5,1,23
967,-85.5,29.5,1,2
967,-74.5,28.5,1,82
967,-74.5,25.5,1,2
971,17.5,41.5,1,7
978,-51.5,41.5,1,1
979,20.5,41.5,1,56
979,19.5,51.5,1,22
980,-171.5,-50.5,1,17
983,9.5,43.5,1,1
983,28.5,41.5,1,1
997,27.5,49.5,1,2
6,23.5,49.5,2,2
7,57.5,51.5,2,1
14,13.5,39.5,2,3
14,15.5,43.5,2,38
15,0.5,55.5,2,1
17,136.5,43.5,2,2
20,-85.5,29.5,2,2
34,-3.5,59.5,2,1
59,9.5,40.5,2,28
62,19.5,51.5,2,22
72,62.5,44.5,2,1
76,9.5,-32.5,2,1
93,27.5,46.5,2,8
93,23.5,49.5,2,2
94,4.5,52.5,2,3
103,-169.5,-49.5,2,1
105,53.5,48.5,2,1
108,20.5,41.5,2,56
109,-58.5,-66.5,2,51
111,46.5,45.5,2,1
112,141.5,50.5,2,19
115,-1.5,49.5,2,1
119,-0.5,39.5,2,8
119,-1.5,37.5,2,2
141,0.5,55.5,2,1
144,12.5,43.5,2,16
146,118.5,-51.5,2,37
151,20.5,41.5,2,56
159,20.5,43.5,2,1
173,-57.5,-56.5,2,2
182,53.5,48.5,2,1
182,46.5,45.5,2,1
182,35.5,44.5,2,1
184,-171.5,-53.5,2,38
185,23.5,49.5,2,2
192,-171.5,-50.5,2,17
192,-169.5,-49.5,2,1
194,-166.5,-51.5,2,1
196,53.5,48.5,2,1
203,136.5,43.5,2,2
213,-1.5,37.5,2,2
213,-0.5,39.5,2,8
216,-51.5,41.5,2,1
223,136.5,43.5,2,2
224,17.5,41.5,2,7
230,23.5,49.5,2,2
242,43.5,40.5,2,1
246,-169.5,-49.5,2,1
252,-169.5,-49.5,2,1
272,57.5,51.5,2,1
275,20.5,43.5,2,1
275,17.5,41.5,2,7
292,46.5,45.5,2,1
308,2.5,42.5,2,4
308,1.5,50.5,2,1
324,9.5,40.5,2,28
329,133.5,-54.5,2,23
330,-1.5,37.5,2,2
330,-0.5,39.5,2,8
331,17.5,27.5,2,1
352,62.5,44.5,2,1
356,46.5,45.5,2,1
366,12.5,43.5,2,16
372,-74.5,25.5,2,2
377,-74.5,30.5,2,43
377,-70.5,30.5,2,12
377,-74.5,28.5,2,82
384,107.5,-54.5,2,5
394,1.5,50.5,2,1
416,43.5,40.5,2,1
430,118.5,-51.5,2,37
434,20.5,43.5,2,1
439,27.5,46.5,2,8
441,27.5,46.5,2,8
446,35.5,44.5,2,1
451,12.5,37.5,2,1
457,-113.5,46.5,2,136
465,112.5,-51.5,2,10
477,-66.5,37.5,2,1
487,1.5,52.5,2,1
488,0.5,55.5,2,1
489,35.5,47.5,2,2
502,20.5,43.5,2,1
506,35.5,47.5,2,2
508,4.5,52.5,2,3
508,-3.5,59.5,2,1
510,-171.5,-53.5,2,38
510,-169.5,-49.5,2,1
514,140.5,-58.5,2,3
531,-169.5,-49.5,2,1
531,-171.5,-53.5,2,38
531,-171.5,-50.5,2,17
535,53.5,48.5,2,1
548,20.5,43.5,2,1
551,25.5,24.5,2,161
555,27.5,49.5,2,2
560,20.5,43.5,2,1
564,8.5,53.5,2,2
567,8.5,53.5,2,2
578,28.5,41.5,2,1
578,20.5,43.5,2,1
594,35.5,44.5,2,1
601,-1.5,37.5,2,2
603,20.5,43.5,2,1
603,2.5,42.5,2,4
603,9.5,43.5,2,1
605,53.5,48.5,2,1
611,20.5,41.5,2,56
611,27.5,46.5,2,8
626,17.5,41.5,2,7
628,2.5,42.5,2,4
636,27.5,46.5,2,8
640,9.5,40.5,2,28
642,-171.5,-50.5,2,17
643,-85.5,29.5,2,2
647,35.5,44.5,2,1
655,-57.5,-56.5,2,2
