"id","x","y","rep","collections"
4,9.5,33.5,1,6
4,8.5,34.5,1,50
4,9.5,34.5,1,19
12,17.5,32.5,1,32
19,9.5,34.5,1,19
22,23.5,40.5,1,1
30,8.5,33.5,1,11
30,10.5,32.5,1,1
48,17.5,32.5,1,32
48,15.5,34.5,1,9
48,18.5,30.5,1,1
48,19.5,37.5,1,1
48,19.5,40.5,1,1
48,17.5,38.5,1,11
49,23.5,40.5,1,1
52,115.5,43.5,1,1
53,22.5,40.5,1,1
54,126.5,34.5,1,1
58,9.5,33.5,1,6
58,9.5,34.5,1,19
58,5.5,39.5,1,1
63,-5.5,62.5,1,1
69,17.5,29.5,1,12
69,18.5,34.5,1,2
69,16.5,34.5,1,4
69,19.5,40.5,1,1
106,9.5,36.5,1,2
137,9.5,34.5,1,19
145,19.5,40.5,1,1
157,22.5,40.5,1,1
157,23.5,40.5,1,1
160,5.5,39.5,1,1
165,92.5,58.5,1,1
186,8.5,33.5,1,11
186,9.5,36.5,1,2
186,16.5,29.5,1,1
186,12.5,29.5,1,6
186,18.5,30.5,1,1
186,16.5,35.5,1,1
198,12.5,34.5,1,1
212,12.5,34.5,1,1
215,15.5,37.5,1,2
223,11.5,28.5,1,13
223,10.5,32.5,1,1
223,9.5,33.5,1,6
236,-53.5,21.5,1,18
240,12.5,34.5,1,1
240,9.5,33.5,1,6
240,11.5,28.5,1,13
248,92.5,58.5,1,1
260,15.5,34.5,1,9
260,12.5,29.5,1,6
262,17.5,38.5,1,11
266,17.5,38.5,1,11
276,22.5,40.5,1,1
276,19.5,40.5,1,1
278,16.5,35.5,1,1
278,16.5,31.5,1,1
278,16.5,32.5,1,5
278,9.5,36.5,1,2
279,23.5,40.5,1,1
291,15.5,37.5,1,2
291,5.5,39.5,1,1
307,18.5,37.5,1,2
341,19.5,40.5,1,1
341,22.5,40.5,1,1
370,18.5,37.5,1,2
397,16.5,29.5,1,1
397,19.5,30.5,1,1
397,12.5,34.5,1,1
406,12.5,34.5,1,1
408,15.5,37.5,1,2
419,16.5,31.5,1,1
419,18.5,30.5,1,1
419,17.5,32.5,1,32
425,13.5,25.5,1,1
425,11.5,28.5,1,13
431,15.5,34.5,1,9
