"id","x","y","rep","collections"
6,-30.5,47.5,1,1
8,108.5,-30.5,1,2
13,22.5,45.5,1,3
14,11.5,47.5,1,9
14,15.5,48.5,1,14
14,14.5,51.5,1,46
23,30.5,40.5,1,71
23,25.5,38.5,1,1
25,147.5,-60.5,1,50
32,-0.5,41.5,1,2
36,22.5,45.5,1,3
37,64.5,37.5,1,1
37,67.5,40.5,1,22
38,67.5,40.5,1,22
38,64.5,37.5,1,1
49,17.5,43.5,1,21
53,-30.5,47.5,1,1
57,27.5,42.5,1,1
58,64.5,37.5,1,1
59,-9.5,56.5,1,1
60,146.5,-50.5,1,12
62,146.5,-50.5,1,12
65,67.5,40.5,1,22
77,102.5,-30.5,1,5
80,16.5,50.5,1,2
88,-21.5,40.5,1,1
92,35.5,43.5,1,8
97,-30.5,46.5,1,1
98,-8.5,40.5,1,1
102,-8.5,71.5,1,1
104,30.5,40.5,1,71
104,15.5,48.5,1,14
106,33.5,39.5,1,26
106,37.5,40.5,1,22
106,21.5,44.5,1,3
106,31.5,37.5,1,1
106,20.5,42.5,1,73
106,27.5,42.5,1,1
111,-20.5,39.5,1,7
113,129.5,44.5,1,1
113,126.5,51.5,1,5
115,24.5,43.5,1,4
115,23.5,37.5,1,1
120,32.5,44.5,1,8
122,15.5,48.5,1,14
122,16.5,50.5,1,2
126,146.5,-50.5,1,12
126,146.5,-45.5,1,6
126,146.5,-47.5,1,4
127,-21.5,40.5,1,1
136,146.5,-47.5,1,4
140,-10.5,38.5,1,5
150,-10.5,38.5,1,5
151,-0.5,41.5,1,2
153,84.5,-36.5,1,1
155,112.5,-42.5,1,3
158,124.5,49.5,1,1
159,22.5,40.5,1,3
159,35.5,25.5,1,16
159,17.5,45.5,1,2
161,35.5,43.5,1,8
161,25.5,38.5,1,1
161,31.5,37.5,1,1
164,14.5,51.5,1,46
164,25.5,44.5,1,13
167,108.5,-30.5,1,2
169,-7.5,39.5,1,12
171,26.5,46.5,1,3
171,31.5,42.5,1,5
171,27.5,42.5,1,1
171,31.5,37.5,1,1
181,112.5,-42.5,1,3
182,-8.5,40.5,1,1
184,104.5,39.5,1,5
187,67.5,40.5,1,22
188,33.5,39.5,1,26
188,31.5,37.5,1,1
188,30.5,40.5,1,71
188,34.5,41.5,1,85
188,32.5,44.5,1,8
195,153.5,44.5,1,1
196,16.5,50.5,1,2
196,18.5,46.5,1,2
196,17.5,45.5,1,2
199,30.5,40.5,1,71
202,37.5,40.5,1,22
204,31.5,42.5,1,5
204,34.5,41.5,1,85
210,15.5,48.5,1,14
216,15.5,48.5,1,14
216,15.5,47.5,1,1
218,124.5,49.5,1,1
218,126.5,51.5,1,5
220,-0.5,41.5,1,2
232,-6.5,73.5,1,1
236,113.5,-39.5,1,6
241,15.5,48.5,1,14
243,138.5,44.5,1,1
245,-20.5,39.5,1,7
245,15.5,47.5,1,1
246,-8.5,40.5,1,1
246,17.5,45.5,1,2
246,-0.5,41.5,1,2
247,120.5,50.5,1,2
264,-30.5,46.5,1,1
267,25.5,38.5,1,1
269,104.5,39.5,1,5
286,128.5,-29.5,1,4
286,84.5,-36.5,1,1
287,25.5,38.5,1,1
287,27.5,42.5,1,1
290,113.5,-39.5,1,6
290,117.5,-43.5,1,1
290,112.5,-42.5,1,3
292,-9.5,56.5,1,1
294,129.5,50.5,1,2
296,141.5,43.5,1,4
299,22.5,40.5,1,3
305,-30.5,47.5,1,1
305,-30.5,46.5,1,1
321,26.5,46.5,1,3
329,24.5,43.5,1,4
330,-21.5,40.5,1,1
334,-8.5,40.5,1,1
337,33.5,39.5,1,26
337,34.5,41.5,1,85
339,17.5,43.5,1,21
340,129.5,50.5,1,2
340,124.5,49.5,1,1
342,37.5,40.5,1,22
343,25.5,44.5,1,13
346,-7.5,39.5,1,12
349,18.5,46.5,1,2
349,17.5,45.5,1,2
349,15.5,47.5,1,1
349,14.5,51.5,1,46
351,117.5,-43.5,1,1
351,112.5,-42.5,1,3
355,124.5,49.5,1,1
357,138.5,44.5,1,1
360,-8.5,71.5,1,1
363,113.5,-39.5,1,6
363,117.5,-43.5,1,1
363,112.5,-42.5,1,3
369,49.5,-25.5,1,9
389,158.5,24.5,1,20
394,116.5,-45.5,1,2
394,113.5,-39.5,1,6
394,112.5,-42.5,1,3
395,-8.5,40.5,1,1
399,30.5,40.5,1,71
399,35.5,38.5,1,3
401,146.5,-50.5,1,12
401,146.5,-47.5,1,4
406,3.5,63.5,1,2
412,126.5,51.5,1,5
412,129.5,50.5,1,2
415,18.5,46.5,1,2
419,-0.5,41.5,1,2
427,138.5,44.5,1,1
427,134.5,45.5,1,6
428,112.5,-42.5,1,3
428,113.5,-39.5,1,6
428,117.5,-43.5,1,1
435,-15.5,38.5,1,6
435,-8.5,40.5,1,1
435,-10.5,38.5,1,5
435,-7.5,39.5,1,12
436,15.5,48.5,1,14
438,-8.5,40.5,1,1
439,23.5,41.5,1,3
439,22.5,40.5,1,3
439,24.5,43.5,1,4
441,24.5,43.5,1,4
446,30.5,40.5,1,71
448,126.5,51.5,1,5
449,153.5,44.5,1,1
458,147.5,-60.5,1,50
458,140.5,-67.5,1,8
463,113.5,-39.5,1,6
470,32.5,44.5,1,8
478,25.5,38.5,1,1
478,26.5,46.5,1,3
478,24.5,43.5,1,4
478,30.5,40.5,1,71
479,11.5,47.5,1,9
482,21.5,44.5,1,3
482,27.5,42.5,1,1
482,16.5,50.5,1,2
482,26.5,46.5,1,3
484,30.5,40.5,1,71
484,37.5,40.5,1,22
484,35.5,38.5,1,3
484,23.5,41.5,1,3
486,129.5,50.5,1,2
487,-0.5,41.5,1,2
493,37.5,40.5,1,22
504,129.5,50.5,1,2
507,-30.5,47.5,1,1
507,-30.5,46.5,1,1
509,32.5,44.5,1,8
509,34.5,41.5,1,85
515,134.5,45.5,1,6
520,117.5,-43.5,1,1
520,113.5,-39.5,1,6
523,141.5,43.5,1,4
523,135.5,51.5,1,3
523,145.5,39.5,1,4
524,14.5,51.5,1,46
531,67.5,40.5,1,22
536,-20.5,39.5,1,7
536,-30.5,46.5,1,1
539,24.5,43.5,1,4
539,-0.5,41.5,1,2
545,145.5,39.5,1,4
547,49.5,-17.5,1,2
547,44.5,-19.5,1,13
547,44.5,-18.5,1,3
548,26.5,46.5,1,3
548,25.5,38.5,1,1
548,21.5,44.5,1,3
550,49.5,-25.5,1,9
551,-9.5,56.5,1,1
552,35.5,25.5,1,16
580,-30.5,46.5,1,1
582,17.5,43.5,1,21
582,18.5,46.5,1,2
582,17.5,45.5,1,2
584,35.5,43.5,1,8
586,-7.5,39.5,1,12
586,-20.5,39.5,1,7
586,-8.5,40.5,1,1
587,116.5,-45.5,1,2
587,146.5,-45.5,1,6
590,34.5,41.5,1,85
590,35.5,43.5,1,8
590,33.5,39.5,1,26
592,102.5,-30.5,1,5
594,-4.5,70.5,1,4
602,146.5,-47.5,1,4
602,146.5,-50.5,1,12
602,146.5,-52.5,1,1
611,-15.5,38.5,1,6
620,75.5,-24.5,1,1
628,-30.5,46.5,1,1
631,120.5,50.5,1,2
637,17.5,45.5,1,2
637,15.5,47.5,1,1
637,15.5,48.5,1,14
638,20.5,42.5,1,73
638,11.5,47.5,1,9
655,11.5,47.5,1,9
663,17.5,45.5,1,2
669,24.5,43.5,1,4
669,25.5,38.5,1,1
676,15.5,47.5,1,1
682,134.5,45.5,1,6
682,141.5,43.5,1,4
686,141.5,43.5,1,4
691,-56.5,32.5,1,43
