"id","x","y","rep","collections"
14,0.5,21.5,1,1
43,-55.5,35.5,1,1
83,17.5,41.5,1,1
132,-56.5,35.5,1,2
214,47.5,41.5,1,1
221,-43.5,40.5,1,1
255,19.5,44.5,1,12
274,19.5,44.5,1,12
343,47.5,41.5,1,1
350,47.5,41.5,1,1
467,-55.5,35.5,1,1
488,-43.5,40.5,1,1
566,11.5,39.5,1,1
566,17.5,41.5,1,1
587,11.5,39.5,1,1
741,17.5,44.5,1,2
849,11.5,39.5,1,1
958,11.5,39.5,1,1
125,11.5,39.5,2,1
127,38.5,-27.5,2,1
145,47.5,41.5,2,1
246,17.5,44.5,2,2
249,0.5,21.5,2,1
271,17.5,44.5,2,2
337,-55.5,35.5,2,1
337,-57.5,35.5,2,2
500,47.5,41.5,2,1
501,-56.5,35.5,2,2
519,17.5,41.5,2,1
617,17.5,41.5,2,1
729,47.5,41.5,2,1
885,17.5,44.5,2,2
917,-43.5,40.5,2,1
951,47.5,41.5,2,1
957,47.5,41.5,2,1
998,-56.5,35.5,2,2
17,17.5,41.5,3,1
51,19.5,44.5,3,12
91,-55.5,35.5,3,1
92,19.5,44.5,3,12
135,17.5,41.5,3,1
143,-57.5,35.5,3,2
149,17.5,41.5,3,1
149,19.5,44.5,3,12
180,-56.5,35.5,3,2
251,-43.5,40.5,3,1
257,-55.5,35.5,3,1
257,-57.5,35.5,3,2
293,-43.5,40.5,3,1
312,47.5,41.5,3,1
365,47.5,41.5,3,1
374,47.5,41.5,3,1
470,47.5,41.5,3,1
476,-43.5,40.5,3,1
478,11.5,39.5,3,1
519,47.5,41.5,3,1
601,17.5,41.5,3,1
707,17.5,41.5,3,1
719,47.5,41.5,3,1
812,17.5,41.5,3,1
882,-57.5,35.5,3,2
883,-55.5,35.5,3,1
884,47.5,41.5,3,1
943,11.5,39.5,3,1
962,17.5,44.5,3,2
962,17.5,41.5,3,1
995,17.5,41.5,3,1
995,11.5,39.5,3,1
133,-55.5,35.5,4,1
163,17.5,44.5,4,2
304,11.5,39.5,4,1
325,-56.5,35.5,4,2
333,47.5,41.5,4,1
347,38.5,-27.5,4,1
361,17.5,41.5,4,1
432,-55.5,35.5,4,1
432,-57.5,35.5,4,2
519,11.5,39.5,4,1
575,11.5,39.5,4,1
602,-55.5,35.5,4,1
605,-57.5,35.5,4,2
649,-43.5,40.5,4,1
663,17.5,41.5,4,1
682,47.5,41.5,4,1
752,19.5,44.5,4,12
806,11.5,39.5,4,1
806,17.5,41.5,4,1
819,47.5,41.5,4,1
825,-43.5,40.5,4,1
17,17.5,44.5,5,2
17,17.5,41.5,5,1
17,19.5,44.5,5,12
26,17.5,41.5,5,1
26,11.5,39.5,5,1
76,19.5,44.5,5,12
114,47.5,41.5,5,1
173,47.5,41.5,5,1
266,0.5,21.5,5,1
355,19.5,44.5,5,12
482,19.5,44.5,5,12
482,17.5,41.5,5,1
484,-43.5,40.5,5,1
510,-55.5,35.5,5,1
510,-57.5,35.5,5,2
510,-56.5,35.5,5,2
527,11.5,39.5,5,1
553,-57.5,35.5,5,2
581,38.5,-27.5,5,1
584,19.5,44.5,5,12
589,17.5,41.5,5,1
617,17.5,44.5,5,2
718,19.5,44.5,5,12
728,-56.5,35.5,5,2
728,-57.5,35.5,5,2
728,-55.5,35.5,5,1
800,38.5,-27.5,5,1
804,-43.5,40.5,5,1
850,-43.5,40.5,5,1
869,17.5,41.5,5,1
123,47.5,41.5,6,1
171,17.5,41.5,6,1
214,17.5,41.5,6,1
248,0.5,21.5,6,1
255,47.5,41.5,6,1
274,17.5,44.5,6,2
288,-43.5,40.5,6,1
296,47.5,41.5,6,1
303,19.5,44.5,6,12
434,17.5,44.5,6,2
441,11.5,39.5,6,1
516,47.5,41.5,6,1
554,47.5,41.5,6,1
573,17.5,44.5,6,2
578,-56.5,35.5,6,2
618,17.5,41.5,6,1
690,-43.5,40.5,6,1
712,47.5,41.5,6,1
763,19.5,44.5,6,12
814,19.5,44.5,6,12
853,17.5,41.5,6,1
905,17.5,41.5,6,1
963,47.5,41.5,6,1
55,47.5,41.5,7,1
80,11.5,39.5,7,1
139,47.5,41.5,7,1
141,11.5,39.5,7,1
177,47.5,41.5,7,1
324,17.5,44.5,7,2
400,17.5,44.5,7,2
400,19.5,44.5,7,12
453,-56.5,35.5,7,2
460,17.5,41.5,7,1
460,11.5,39.5,7,1
499,38.5,-27.5,7,1
505,19.5,44.5,7,12
505,47.5,41.5,7,1
534,47.5,41.5,7,1
577,-56.5,35.5,7,2
577,-57.5,35.5,7,2
581,17.5,44.5,7,2
587,19.5,44.5,7,12
661,47.5,41.5,7,1
668,-57.5,35.5,7,2
668,-55.5,35.5,7,1
680,-55.5,35.5,7,1
686,-43.5,40.5,7,1
724,19.5,44.5,7,12
750,47.5,41.5,7,1
758,47.5,41.5,7,1
916,17.5,44.5,7,2
917,-43.5,40.5,7,1
927,11.5,39.5,7,1
946,17.5,44.5,7,2
953,38.5,-27.5,7,1
961,47.5,41.5,7,1
963,-43.5,40.5,7,1
75,19.5,44.5,8,12
86,17.5,41.5,8,1
86,17.5,44.5,8,2
86,19.5,44.5,8,12
165,-43.5,40.5,8,1
