"id","x","y","rep","collections"
15,135.5,37.5,1,1
18,30.5,45.5,1,1
18,35.5,46.5,1,1
20,35.5,45.5,1,1
25,24.5,43.5,1,5
25,15.5,45.5,1,1
25,16.5,43.5,1,4
25,27.5,43.5,1,1
41,4.5,40.5,1,1
43,33.5,44.5,1,3
43,36.5,42.5,1,3
43,29.5,44.5,1,5
43,26.5,45.5,1,1
43,28.5,45.5,1,17
43,33.5,42.5,1,1
43,36.5,47.5,1,1
43,27.5,43.5,1,1
47,13.5,45.5,1,3
47,10.5,44.5,1,14
47,9.5,44.5,1,1
47,12.5,45.5,1,3
47,14.5,45.5,1,1
53,51.5,41.5,1,3
56,147.5,-45.5,1,2
60,42.5,44.5,1,1
60,50.5,41.5,1,1
66,16.5,43.5,1,4
67,137.5,39.5,1,2
71,49.5,37.5,1,1
72,-176.5,-41.5,1,1
76,139.5,44.5,1,1
82,17.5,45.5,1,3
82,26.5,46.5,1,1
84,42.5,41.5,1,1
87,31.5,44.5,1,1
87,38.5,44.5,1,1
87,29.5,44.5,1,5
87,37.5,44.5,1,1
87,34.5,44.5,1,5
87,33.5,45.5,1,2
102,21.5,47.5,1,2
102,42.5,44.5,1,1
102,24.5,39.5,1,1
102,30.5,44.5,1,2
105,19.5,45.5,1,1
105,16.5,43.5,1,4
105,17.5,45.5,1,3
105,17.5,46.5,1,12
113,137.5,39.5,1,2
114,27.5,46.5,1,5
114,27.5,43.5,1,1
114,25.5,42.5,1,7
114,34.5,46.5,1,1
120,42.5,44.5,1,1
124,137.5,42.5,1,1
126,139.5,44.5,1,1
126,137.5,42.5,1,1
127,26.5,41.5,1,1
127,31.5,44.5,1,1
127,27.5,43.5,1,1
127,25.5,39.5,1,2
135,26.5,46.5,1,1
135,25.5,44.5,1,1
135,24.5,43.5,1,5
135,26.5,45.5,1,1
135,25.5,43.5,1,6
136,7.5,41.5,1,1
136,4.5,39.5,1,1
136,4.5,40.5,1,1
137,34.5,44.5,1,5
142,49.5,37.5,1,1
146,25.5,41.5,1,1
146,25.5,42.5,1,7
146,25.5,43.5,1,6
146,24.5,43.5,1,5
146,18.5,46.5,1,7
147,-176.5,-41.5,1,1
152,17.5,44.5,1,4
152,9.5,44.5,1,1
152,18.5,44.5,1,16
152,13.5,45.5,1,3
154,11.5,41.5,1,1
154,18.5,46.5,1,7
157,34.5,44.5,1,5
157,26.5,43.5,1,1
157,14.5,45.5,1,1
157,25.5,44.5,1,1
157,17.5,46.5,1,12
157,18.5,46.5,1,7
166,42.5,41.5,1,1
172,11.5,41.5,1,1
174,137.5,39.5,1,2
178,48.5,39.5,1,1
179,49.5,37.5,1,1
183,14.5,45.5,1,1
187,27.5,46.5,1,5
187,15.5,45.5,1,1
187,33.5,45.5,1,2
187,30.5,45.5,1,1
193,139.5,44.5,1,1
198,4.5,39.5,1,1
200,33.5,44.5,1,3
200,33.5,42.5,1,1
200,30.5,45.5,1,1
208,30.5,45.5,1,1
213,-6.5,35.5,1,2
217,-1.5,38.5,1,2
217,4.5,39.5,1,1
217,1.5,42.5,1,5
217,7.5,41.5,1,1
230,51.5,41.5,1,3
236,26.5,41.5,1,1
236,25.5,40.5,1,1
242,-58.5,-31.5,1,1
243,0.5,39.5,1,2
254,-58.5,-31.5,1,1
258,18.5,44.5,1,16
258,27.5,43.5,1,1
258,26.5,43.5,1,1
258,31.5,44.5,1,1
258,28.5,44.5,1,4
258,25.5,43.5,1,6
258,24.5,43.5,1,5
258,25.5,42.5,1,7
258,17.5,43.5,1,4
258,29.5,44.5,1,5
258,16.5,43.5,1,4
258,25.5,44.5,1,1
258,30.5,44.5,1,2
265,17.5,45.5,1,3
265,16.5,43.5,1,4
272,12.5,45.5,1,3
273,30.5,44.5,1,2
275,139.5,44.5,1,1
276,2.5,41.5,1,2
276,0.5,39.5,1,2
279,-176.5,-41.5,1,1
296,-58.5,-31.5,1,1
302,51.5,41.5,1,3
306,17.5,46.5,1,12
306,25.5,44.5,1,1
306,18.5,44.5,1,16
306,25.5,43.5,1,6
306,25.5,42.5,1,7
314,-58.5,-31.5,1,1
321,12.5,45.5,1,3
321,19.5,44.5,1,25
321,14.5,45.5,1,1
321,17.5,43.5,1,4
321,19.5,45.5,1,1
324,177.5,-38.5,1,2
324,177.5,-46.5,1,1
326,25.5,41.5,1,1
326,27.5,41.5,1,1
336,48.5,39.5,1,1
350,26.5,43.5,1,1
353,25.5,41.5,1,1
353,26.5,41.5,1,1
353,29.5,40.5,1,2
367,11.5,41.5,1,1
367,12.5,41.5,1,3
370,19.5,45.5,1,1
383,33.5,42.5,1,1
384,26.5,41.5,1,1
384,21.5,46.5,1,1
384,25.5,43.5,1,6
388,-70.5,-2.5,1,1
391,51.5,41.5,1,3
405,29.5,44.5,1,5
405,34.5,46.5,1,1
407,137.5,42.5,1,1
408,27.5,43.5,1,1
408,51.5,41.5,1,3
408,26.5,43.5,1,1
408,38.5,44.5,1,1
408,33.5,44.5,1,3
408,30.5,44.5,1,2
408,35.5,44.5,1,1
408,35.5,45.5,1,1
408,50.5,41.5,1,1
408,31.5,44.5,1,1
412,48.5,39.5,1,1
427,30.5,44.5,1,2
429,51.5,41.5,1,3
436,48.5,39.5,1,1
437,12.5,45.5,1,3
439,130.5,34.5,1,5
441,35.5,45.5,1,1
441,27.5,46.5,1,5
441,25.5,44.5,1,1
441,21.5,47.5,1,2
441,36.5,47.5,1,1
441,37.5,44.5,1,1
465,6.5,42.5,1,1
465,4.5,40.5,1,1
468,29.5,40.5,1,2
468,31.5,44.5,1,1
470,137.5,39.5,1,2
473,12.5,45.5,1,3
473,14.5,45.5,1,1
473,15.5,45.5,1,1
473,17.5,45.5,1,3
473,13.5,45.5,1,3
