"id","x","y","rep","collections"
3,18.5,31.5,1,1
10,119.5,31.5,1,1
11,4.5,23.5,1,1
35,43.5,42.5,1,1
38,10.5,38.5,1,10
51,8.5,29.5,1,1
51,13.5,33.5,1,3
62,18.5,31.5,1,1
62,13.5,33.5,1,3
77,135.5,41.5,1,8
82,18.5,42.5,1,2
96,80.5,51.5,1,1
111,18.5,42.5,1,2
135,17.5,38.5,1,3
167,20.5,46.5,1,1
175,10.5,38.5,1,10
202,9.5,37.5,1,3
222,18.5,31.5,1,1
230,18.5,42.5,1,2
240,138.5,37.5,1,1
240,135.5,41.5,1,8
260,138.5,37.5,1,1
262,8.5,38.5,1,1
263,18.5,31.5,1,1
301,135.5,41.5,1,8
307,17.5,38.5,1,3
313,10.5,37.5,1,18
342,20.5,46.5,1,1
342,8.5,38.5,1,1
348,20.5,37.5,1,1
364,-52.5,36.5,1,3
371,20.5,46.5,1,1
385,20.5,46.5,1,1
387,5.5,23.5,1,1
394,-52.5,35.5,1,10
395,8.5,29.5,1,1
440,8.5,38.5,1,1
445,20.5,37.5,1,1
488,19.5,37.5,1,7
488,20.5,37.5,1,1
493,135.5,41.5,1,8
518,13.5,33.5,1,3
521,20.5,37.5,1,1
534,9.5,37.5,1,3
553,9.5,37.5,1,3
553,10.5,38.5,1,10
568,138.5,37.5,1,1
576,9.5,37.5,1,3
592,20.5,37.5,1,1
592,27.5,28.5,1,1
599,20.5,37.5,1,1
624,13.5,33.5,1,3
631,119.5,31.5,1,1
632,8.5,29.5,1,1
637,79.5,50.5,1,2
641,17.5,38.5,1,3
641,19.5,37.5,1,7
654,20.5,37.5,1,1
657,10.5,37.5,1,18
663,-52.5,35.5,1,10
666,135.5,41.5,1,8
684,17.5,38.5,1,3
684,20.5,46.5,1,1
687,18.5,42.5,1,2
695,10.5,38.5,1,10
695,17.5,38.5,1,3
728,8.5,29.5,1,1
738,27.5,28.5,1,1
744,135.5,41.5,1,8
756,10.5,37.5,1,18
765,9.5,37.5,1,3
765,10.5,37.5,1,18
765,17.5,38.5,1,3
774,10.5,37.5,1,18
794,43.5,42.5,1,1
803,8.5,38.5,1,1
808,17.5,38.5,1,3
835,8.5,29.5,1,1
842,80.5,51.5,1,1
847,10.5,38.5,1,10
850,27.5,28.5,1,1
856,9.5,37.5,1,3
866,20.5,46.5,1,1
870,19.5,37.5,1,7
870,2.5,24.5,1,1
875,20.5,46.5,1,1
877,18.5,42.5,1,2
878,-52.5,35.5,1,10
899,10.5,37.5,1,18
899,10.5,38.5,1,10
919,119.5,31.5,1,1
943,20.5,37.5,1,1
943,18.5,42.5,1,2
945,18.5,42.5,1,2
990,18.5,31.5,1,1
1,8.5,29.5,2,1
18,5.5,23.5,2,1
23,18.5,42.5,2,2
50,10.5,37.5,2,18
72,43.5,42.5,2,1
78,8.5,38.5,2,1
78,10.5,38.5,2,10
79,9.5,37.5,2,3
82,8.5,38.5,2,1
92,20.5,46.5,2,1
98,26.5,23.5,2,1
105,10.5,38.5,2,10
137,-51.5,47.5,2,1
149,20.5,46.5,2,1
169,17.5,38.5,2,3
179,27.5,28.5,2,1
199,43.5,42.5,2,1
217,20.5,46.5,2,1
217,18.5,42.5,2,2
223,80.5,51.5,2,1
223,79.5,50.5,2,2
236,-52.5,36.5,2,3
237,10.5,38.5,2,10
252,10.5,37.5,2,18
254,2.5,23.5,2,2
254,4.5,23.5,2,1
313,2.5,24.5,2,1
313,8.5,29.5,2,1
322,18.5,31.5,2,1
326,18.5,31.5,2,1
335,8.5,29.5,2,1
379,8.5,38.5,2,1
386,18.5,31.5,2,1
405,17.5,38.5,2,3
408,9.5,37.5,2,3
408,10.5,37.5,2,18
408,8.5,38.5,2,1
410,19.5,37.5,2,7
411,8.5,38.5,2,1
411,13.5,33.5,2,3
448,175.5,58.5,2,1
454,9.5,37.5,2,3
