"id","x","y","rep","collections"
1,-25.5,-45.5,1,2
1,-26.5,-55.5,1,1
1,-26.5,-45.5,1,1
1,-25.5,-43.5,1,3
1,-26.5,-46.5,1,3
1,-26.5,-42.5,1,1
5,38.5,58.5,1,1
21,30.5,33.5,1,20
21,21.5,35.5,1,1
24,40.5,42.5,1,38
24,27.5,32.5,1,2
25,41.5,42.5,1,10
32,52.5,42.5,1,1
42,44.5,54.5,1,3
79,13.5,33.5,1,9
79,12.5,32.5,1,8
86,13.5,48.5,1,1
100,50.5,42.5,1,6
100,39.5,43.5,1,1
109,51.5,42.5,1,1
109,41.5,43.5,1,6
109,50.5,42.5,1,6
118,11.5,58.5,1,3
127,29.5,34.5,1,7
131,51.5,54.5,1,1
156,40.5,42.5,1,38
167,52.5,54.5,1,1
167,51.5,54.5,1,1
176,22.5,30.5,1,10
176,12.5,32.5,1,8
176,21.5,34.5,1,1
176,13.5,32.5,1,19
176,22.5,31.5,1,6
184,13.5,33.5,1,9
193,38.5,58.5,1,1
197,29.5,34.5,1,7
198,43.5,32.5,1,1
202,13.5,48.5,1,1
205,31.5,17.5,1,25
210,12.5,32.5,1,8
210,7.5,27.5,1,1
216,-33.5,-63.5,1,17
220,51.5,38.5,1,1
220,40.5,42.5,1,38
220,52.5,41.5,1,1
220,53.5,43.5,1,1
228,40.5,42.5,1,38
239,55.5,43.5,1,1
244,51.5,43.5,1,1
246,13.5,32.5,1,19
248,-34.5,-62.5,1,1
262,14.5,34.5,1,7
263,-25.5,-44.5,1,3
270,40.5,43.5,1,9
271,39.5,45.5,1,1
272,42.5,31.5,1,1
275,51.5,43.5,1,1
275,39.5,45.5,1,1
275,49.5,44.5,1,3
287,44.5,54.5,1,3
306,20.5,29.5,1,3
313,40.5,43.5,1,9
315,13.5,32.5,1,19
316,-25.5,-45.5,1,2
326,50.5,55.5,1,3
356,13.5,60.5,1,17
368,46.5,54.5,1,1
368,48.5,45.5,1,1
382,29.5,34.5,1,7
384,49.5,43.5,1,3
395,41.5,-20.5,1,1
402,20.5,28.5,1,1
402,13.5,35.5,1,1
402,10.5,39.5,1,1
404,20.5,27.5,1,37
404,30.5,34.5,1,9
407,29.5,35.5,1,2
407,30.5,34.5,1,9
410,43.5,32.5,1,1
414,15.5,32.5,1,7
417,51.5,42.5,1,1
428,12.5,32.5,1,8
428,10.5,39.5,1,1
428,13.5,35.5,1,1
433,-26.5,-43.5,1,15
444,39.5,43.5,1,1
447,51.5,41.5,1,1
452,14.5,34.5,1,7
452,25.5,32.5,1,1
452,21.5,31.5,1,1
452,14.5,35.5,1,3
454,52.5,32.5,1,2
454,48.5,45.5,1,1
454,51.5,38.5,1,1
454,52.5,42.5,1,1
460,7.5,23.5,1,35
460,7.5,21.5,1,1
465,7.5,21.5,1,1
470,40.5,45.5,1,1
475,28.5,34.5,1,2
477,-25.5,-46.5,1,15
477,-26.5,-43.5,1,15
477,-26.5,-46.5,1,3
477,-25.5,-45.5,1,2
479,13.5,48.5,1,1
479,13.5,46.5,1,105
481,51.5,43.5,1,1
481,51.5,54.5,1,1
483,14.5,28.5,1,1
483,14.5,22.5,1,1
483,15.5,32.5,1,7
483,13.5,33.5,1,9
483,14.5,21.5,1,2
505,46.5,-34.5,1,3
508,44.5,54.5,1,3
508,40.5,43.5,1,9
508,40.5,45.5,1,1
512,30.5,-41.5,1,1
512,34.5,-37.5,1,1
546,14.5,60.5,1,4
546,11.5,58.5,1,3
553,142.5,58.5,1,3
555,46.5,-34.5,1,3
560,48.5,45.5,1,1
572,12.5,32.5,1,8
572,14.5,33.5,1,3
572,13.5,32.5,1,19
572,16.5,32.5,1,6
572,14.5,22.5,1,1
572,13.5,35.5,1,1
576,42.5,31.5,1,1
582,14.5,33.5,1,3
582,13.5,33.5,1,9
591,51.5,38.5,1,1
592,41.5,42.5,1,10
592,40.5,42.5,1,38
593,-25.5,-44.5,1,3
594,44.5,29.5,1,1
597,138.5,34.5,1,1
601,52.5,54.5,1,1
604,52.5,42.5,1,1
607,11.5,58.5,1,3
607,15.5,60.5,1,2
630,40.5,45.5,1,1
644,13.5,33.5,1,9
644,7.5,21.5,1,1
644,19.5,28.5,1,7
644,6.5,27.5,1,5
647,13.5,32.5,1,19
648,-25.5,-44.5,1,3
661,28.5,34.5,1,2
680,41.5,42.5,1,10
687,48.5,32.5,1,2
699,15.5,60.5,1,2
699,38.5,58.5,1,1
708,16.5,32.5,1,6
715,52.5,42.5,1,1
715,52.5,41.5,1,1
717,46.5,-34.5,1,3
720,39.5,45.5,1,1
720,52.5,41.5,1,1
728,28.5,34.5,1,2
728,13.5,32.5,1,19
728,13.5,35.5,1,1
729,36.5,31.5,1,1
733,10.5,39.5,1,1
733,13.5,48.5,1,1
734,47.5,32.5,1,1
736,49.5,44.5,1,3
736,39.5,45.5,1,1
736,41.5,43.5,1,6
737,13.5,32.5,1,19
738,-24.5,-47.5,1,3
738,-25.5,-46.5,1,15
738,-26.5,-46.5,1,3
745,13.5,50.5,1,2
748,39.5,45.5,1,1
748,39.5,43.5,1,1
752,44.5,54.5,1,3
768,51.5,38.5,1,1
768,48.5,32.5,1,2
779,50.5,42.5,1,6
779,52.5,41.5,1,1
788,14.5,36.5,1,1
788,13.5,35.5,1,1
788,10.5,39.5,1,1
788,15.5,32.5,1,7
809,29.5,34.5,1,7
809,29.5,35.5,1,2
809,28.5,33.5,1,25
809,30.5,34.5,1,9
809,28.5,34.5,1,2
817,13.5,46.5,1,105
823,49.5,43.5,1,3
823,51.5,43.5,1,1
827,48.5,44.5,1,13
827,41.5,43.5,1,6
836,48.5,45.5,1,1
836,39.5,43.5,1,1
836,41.5,43.5,1,6
839,51.5,32.5,1,1
839,47.5,32.5,1,1
845,51.5,54.5,1,1
850,7.5,23.5,1,35
850,7.5,21.5,1,1
850,10.5,39.5,1,1
866,31.5,-38.5,1,2
868,14.5,33.5,1,3
881,14.5,34.5,1,7
882,-25.5,-44.5,1,3
882,-26.5,-43.5,1,15
898,53.5,43.5,1,1
910,-56.5,26.5,1,2
911,41.5,-20.5,1,1
913,48.5,32.5,1,2
926,60.5,-37.5,1,8
929,51.5,54.5,1,1
929,46.5,54.5,1,1
931,53.5,43.5,1,1
933,20.5,28.5,1,1
948,25.5,32.5,1,1
955,23.5,31.5,1,67
978,42.5,31.5,1,1
978,20.5,27.5,1,37
978,29.5,34.5,1,7
978,11.5,58.5,1,3
978,13.5,35.5,1,1
978,13.5,33.5,1,9
978,12.5,32.5,1,8
992,-56.5,26.5,1,2
999,12.5,60.5,1,12
999,15.5,60.5,1,2
9,50.5,55.5,2,3
9,46.5,54.5,2,1
15,20.5,28.5,2,1
15,20.5,27.5,2,37
15,21.5,35.5,2,1
15,21.5,34.5,2,1
15,28.5,33.5,2,25
15,21.5,32.5,2,1
15,22.5,31.5,2,6
15,25.5,32.5,2,1
15,21.5,29.5,2,6
20,-26.5,-46.5,2,3
20,-26.5,-43.5,2,15
20,-25.5,-46.5,2,15
30,13.5,35.5,2,1
30,14.5,33.5,2,3
30,21.5,32.5,2,1
30,15.5,32.5,2,7
30,13.5,32.5,2,19
34,13.5,60.5,2,17
43,46.5,54.5,2,1
43,45.5,54.5,2,1
48,-26.5,-43.5,2,15
49,21.5,34.5,2,1
49,29.5,35.5,2,2
73,41.5,43.5,2,6
73,41.5,42.5,2,10
73,39.5,43.5,2,1
73,40.5,43.5,2,9
