"id","x","y","rep","collections"
1,26.5,33.5,1,6
1,25.5,36.5,1,286
1,27.5,37.5,1,5
2,14.5,30.5,1,4
8,11.5,42.5,1,8
11,-46.5,44.5,1,1
11,-46.5,38.5,1,2
16,22.5,26.5,1,174
16,32.5,45.5,1,2
19,22.5,26.5,1,174
21,48.5,40.5,1,10
27,-101.5,63.5,1,1
45,-48.5,60.5,1,1
50,27.5,37.5,1,5
58,30.5,38.5,1,57
58,25.5,36.5,1,286
58,3.5,24.5,1,4
59,-49.5,41.5,1,41
66,18.5,47.5,1,233
75,30.5,47.5,1,1
77,22.5,37.5,1,5
79,48.5,40.5,1,10
89,-46.5,38.5,1,2
89,-46.5,33.5,1,6
89,-51.5,41.5,1,12
89,-45.5,39.5,1,1
89,-50.5,38.5,1,20
89,-48.5,35.5,1,1
91,91.5,50.5,1,4
92,-46.5,33.5,1,6
97,-51.5,47.5,1,3
97,-49.5,41.5,1,41
101,1.5,28.5,1,1
101,14.5,30.5,1,4
107,-23.5,-39.5,1,19
111,-61.5,24.5,1,2
111,-63.5,23.5,1,217
113,18.5,47.5,1,233
113,19.5,39.5,1,19
113,21.5,30.5,1,82
116,138.5,34.5,1,29
120,27.5,37.5,1,5
120,30.5,38.5,1,57
123,-49.5,41.5,1,41
123,-46.5,44.5,1,1
123,-52.5,44.5,1,15
127,77.5,43.5,1,3
131,-24.5,-26.5,1,1
140,11.5,42.5,1,8
142,37.5,44.5,1,1
143,91.5,50.5,1,4
146,21.5,30.5,1,82
160,61.5,31.5,1,6
164,-42.5,38.5,1,1
172,79.5,47.5,1,2
176,63.5,33.5,1,1
176,61.5,31.5,1,6
176,75.5,32.5,1,1
177,27.5,37.5,1,5
177,48.5,40.5,1,10
177,37.5,44.5,1,1
179,20.5,37.5,1,29
181,-42.5,38.5,1,1
194,-21.5,-43.5,1,5
201,-68.5,38.5,1,1
201,-50.5,38.5,1,20
208,-25.5,-34.5,1,19
209,-43.5,36.5,1,5
209,-46.5,38.5,1,2
210,-22.5,-41.5,1,2
210,-21.5,-43.5,1,5
214,30.5,43.5,1,8
214,30.5,38.5,1,57
217,21.5,40.5,1,11
226,75.5,32.5,1,1
230,79.5,47.5,1,2
246,-22.5,-41.5,1,2
246,-25.5,-34.5,1,19
249,11.5,47.5,1,22
252,3.5,24.5,1,4
253,35.5,26.5,1,2
256,18.5,42.5,1,2
258,97.5,48.5,1,1
262,21.5,30.5,1,82
262,25.5,36.5,1,286
262,24.5,29.5,1,199
266,30.5,43.5,1,8
266,30.5,47.5,1,1
278,-24.5,-36.5,1,11
278,-23.5,-39.5,1,19
281,-45.5,39.5,1,1
283,-45.5,39.5,1,1
283,-50.5,38.5,1,20
287,-21.5,-43.5,1,5
287,-22.5,-41.5,1,2
291,22.5,37.5,1,5
291,24.5,29.5,1,199
291,23.5,38.5,1,3
295,-21.5,-43.5,1,5
295,-23.5,-39.5,1,19
302,-52.5,44.5,1,15
303,27.5,37.5,1,5
308,37.5,44.5,1,1
308,30.5,47.5,1,1
308,30.5,38.5,1,57
309,-107.5,67.5,1,2
310,22.5,37.5,1,5
310,30.5,47.5,1,1
310,19.5,39.5,1,19
310,30.5,38.5,1,57
311,-45.5,39.5,1,1
317,-49.5,41.5,1,41
317,-43.5,36.5,1,5
318,91.5,50.5,1,4
322,30.5,38.5,1,57
322,23.5,38.5,1,3
324,-49.5,41.5,1,41
324,-46.5,44.5,1,1
324,-46.5,38.5,1,2
324,-51.5,41.5,1,12
324,-51.5,47.5,1,3
324,-50.5,38.5,1,20
328,138.5,34.5,1,29
330,-24.5,-36.5,1,11
332,91.5,50.5,1,4
335,3.5,24.5,1,4
339,25.5,36.5,1,286
346,-48.5,60.5,1,1
360,18.5,22.5,1,21
364,97.5,48.5,1,1
368,30.5,43.5,1,8
370,75.5,32.5,1,1
372,79.5,47.5,1,2
374,7.5,23.5,1,1
374,3.5,24.5,1,4
378,11.5,42.5,1,8
381,91.5,50.5,1,4
384,-43.5,36.5,1,5
386,-68.5,38.5,1,1
387,31.5,41.5,1,63
391,13.5,51.5,1,11
396,25.5,36.5,1,286
396,29.5,34.5,1,205
396,27.5,37.5,1,5
