"id","x","y","rep","collections"
7,138.5,36.5,1,1
7,139.5,43.5,1,3
7,138.5,37.5,1,1
7,138.5,38.5,1,1
8,3.5,40.5,1,4
10,6.5,41.5,1,1
11,179.5,-44.5,1,1
12,179.5,-44.5,1,1
12,178.5,-41.5,1,3
15,12.5,42.5,1,4
15,12.5,41.5,1,1
15,12.5,40.5,1,1
15,11.5,42.5,1,1
18,178.5,-41.5,1,3
32,3.5,39.5,1,17
32,-0.5,39.5,1,5
36,12.5,40.5,1,1
36,15.5,39.5,1,2
36,16.5,38.5,1,1
50,37.5,43.5,1,1
64,137.5,35.5,1,4
69,29.5,45.5,1,2
76,-72.5,39.5,1,20
80,138.5,38.5,1,1
80,138.5,37.5,1,1
80,137.5,37.5,1,1
80,137.5,35.5,1,4
88,-62.5,-42.5,1,13
96,30.5,45.5,1,6
96,28.5,44.5,1,1
96,29.5,45.5,1,2
97,17.5,37.5,1,1
97,6.5,41.5,1,1
100,-58.5,-31.5,1,2
104,0.5,36.5,1,1
109,0.5,39.5,1,2
109,0.5,38.5,1,3
109,-0.5,39.5,1,5
117,-63.5,-42.5,1,5
119,30.5,45.5,1,6
120,140.5,42.5,1,1
124,-60.5,-38.5,1,1
124,-57.5,-33.5,1,1
129,10.5,55.5,1,1
131,12.5,42.5,1,4
131,12.5,41.5,1,1
131,14.5,44.5,1,9
132,-63.5,-36.5,1,3
138,137.5,37.5,1,1
143,5.5,49.5,1,8
155,10.5,53.5,1,2
155,6.5,49.5,1,2
155,9.5,53.5,1,1
155,5.5,49.5,1,8
165,16.5,38.5,1,1
165,17.5,37.5,1,1
165,17.5,36.5,1,12
165,19.5,38.5,1,1
165,0.5,38.5,1,3
168,-60.5,-38.5,1,1
172,35.5,30.5,1,1
172,28.5,44.5,1,1
182,12.5,42.5,1,4
182,12.5,41.5,1,1
189,16.5,36.5,1,2
191,34.5,29.5,1,4
195,140.5,42.5,1,1
196,-116.5,37.5,1,1
196,-115.5,36.5,1,1
196,-117.5,37.5,1,1
206,138.5,37.5,1,1
224,0.5,38.5,1,3
227,35.5,29.5,1,7
233,-115.5,36.5,1,1
238,-62.5,-42.5,1,13
238,-63.5,-42.5,1,5
240,-117.5,50.5,1,1
244,2.5,39.5,1,1
248,11.5,42.5,1,1
248,6.5,41.5,1,1
248,12.5,40.5,1,1
248,10.5,53.5,1,2
250,11.5,42.5,1,1
250,12.5,40.5,1,1
250,14.5,44.5,1,9
284,-62.5,-42.5,1,13
297,35.5,30.5,1,1
297,30.5,46.5,1,2
301,29.5,45.5,1,2
301,29.5,44.5,1,4
307,-117.5,37.5,1,1
309,12.5,42.5,1,4
317,28.5,44.5,1,1
327,-62.5,-37.5,1,1
337,14.5,44.5,1,9
337,19.5,37.5,1,3
337,40.5,42.5,1,1
337,15.5,39.5,1,2
364,42.5,40.5,1,1
368,6.5,41.5,1,1
372,12.5,41.5,1,1
372,16.5,38.5,1,1
373,17.5,37.5,1,1
373,19.5,37.5,1,3
