"id","x","y","rep","collections"
14,26.5,52.5,1,11
14,24.5,49.5,1,1
35,28.5,60.5,1,1
50,-34.5,-38.5,1,6
57,29.5,32.5,1,1
67,59.5,40.5,1,2
68,59.5,40.5,1,2
71,146.5,48.5,1,3
74,45.5,29.5,1,1
80,69.5,54.5,1,1
114,143.5,60.5,1,1
120,-43.5,23.5,1,9
151,45.5,29.5,1,1
155,-34.5,-38.5,1,6
165,-34.5,-38.5,1,6
178,69.5,54.5,1,1
180,-51.5,49.5,1,2
183,59.5,31.5,1,1
184,38.5,25.5,1,2
207,-51.5,49.5,1,2
244,-34.5,-38.5,1,6
245,38.5,33.5,1,55
253,28.5,60.5,1,1
254,40.5,-41.5,1,1
273,69.5,54.5,1,1
280,-34.5,-38.5,1,6
298,40.5,-41.5,1,1
311,27.5,62.5,1,1
321,-34.5,-35.5,1,2
323,27.5,27.5,1,9
325,59.5,40.5,1,2
334,40.5,-41.5,1,1
347,53.5,41.5,1,2
353,40.5,-41.5,1,1
360,69.5,54.5,1,1
367,146.5,48.5,1,3
369,26.5,52.5,1,11
369,24.5,49.5,1,1
383,27.5,27.5,1,9
391,43.5,-15.5,1,3
413,40.5,-41.5,1,1
422,35.5,13.5,1,2
425,27.5,27.5,1,9
437,45.5,29.5,1,1
460,57.5,53.5,1,1
462,-52.5,47.5,1,1
462,-51.5,49.5,1,2
471,26.5,52.5,1,11
475,-52.5,47.5,1,1
478,-44.5,21.5,1,8
480,59.5,40.5,1,2
521,29.5,32.5,1,1
521,27.5,60.5,1,18
521,28.5,60.5,1,1
539,37.5,35.5,1,1
545,-51.5,49.5,1,2
547,53.5,41.5,1,2
556,24.5,49.5,1,1
569,40.5,-41.5,1,1
598,40.5,-41.5,1,1
629,27.5,27.5,1,9
632,38.5,25.5,1,2
637,-42.5,26.5,1,2
641,24.5,49.5,1,1
653,-51.5,49.5,1,2
655,-34.5,-38.5,1,6
659,57.5,53.5,1,1
667,26.5,52.5,1,11
667,35.5,13.5,1,2
678,18.5,27.5,1,10
678,17.5,21.5,1,21
682,26.5,52.5,1,11
690,12.5,24.5,1,1
695,59.5,40.5,1,2
698,50.5,41.5,1,1
700,146.5,63.5,1,1
705,21.5,16.5,1,1
706,-51.5,49.5,1,2
710,15.5,63.5,1,2
713,23.5,34.5,1,1
721,11.5,28.5,1,5
731,14.5,64.5,1,1
743,-34.5,-35.5,1,2
757,38.5,25.5,1,2
757,29.5,32.5,1,1
761,-44.5,21.5,1,8
763,24.5,49.5,1,1
778,53.5,41.5,1,2
782,53.5,41.5,1,2
782,57.5,53.5,1,1
793,23.5,34.5,1,1
799,27.5,60.5,1,18
802,24.5,49.5,1,1
819,29.5,32.5,1,1
830,40.5,-41.5,1,1
834,40.5,-41.5,1,1
835,38.5,33.5,1,55
850,-36.5,71.5,1,2
852,29.5,32.5,1,1
852,33.5,15.5,1,1
856,-34.5,-35.5,1,2
863,24.5,49.5,1,1
865,53.5,41.5,1,2
880,40.5,-41.5,1,1
911,40.5,33.5,1,1
911,27.5,27.5,1,9
911,23.5,34.5,1,1
912,57.5,53.5,1,1
916,40.5,-41.5,1,1
937,26.5,52.5,1,11
937,27.5,60.5,1,18
937,24.5,49.5,1,1
963,27.5,62.5,1,1
972,12.5,24.5,1,1
972,4.5,64.5,1,1
972,30.5,27.5,1,6
982,50.5,41.5,1,1
984,18.5,27.5,1,10
986,-46.5,25.5,1,3
995,57.5,53.5,1,1
4,18.5,27.5,2,10
8,-34.5,-35.5,2,2
8,-34.5,-38.5,2,6
14,11.5,28.5,2,5
21,29.5,30.5,2,26
23,57.5,53.5,2,1
30,146.5,63.5,2,1
35,50.5,41.5,2,1
41,146.5,48.5,2,3
52,-34.5,-38.5,2,6
54,16.5,63.5,2,2
54,14.5,64.5,2,1
56,27.5,27.5,2,9
57,29.5,32.5,2,1
57,23.5,34.5,2,1
71,59.5,31.5,2,1
71,50.5,24.5,2,2
90,50.5,41.5,2,1
119,40.5,-41.5,2,1
132,40.5,-41.5,2,1
141,26.5,52.5,2,11
161,50.5,41.5,2,1
188,40.5,-41.5,2,1
196,38.5,33.5,2,55
196,38.5,25.5,2,2
202,53.5,41.5,2,2
209,45.5,29.5,2,1
209,24.5,49.5,2,1
218,26.5,52.5,2,11
224,69.5,54.5,2,1
227,37.5,35.5,2,1
249,50.5,24.5,2,2
249,51.5,30.5,2,21
249,53.5,41.5,2,2
250,-34.5,-35.5,2,2
253,40.5,33.5,2,1
253,57.5,53.5,2,1
253,59.5,40.5,2,2
263,-34.5,-38.5,2,6
268,59.5,31.5,2,1
276,-52.5,47.5,2,1
278,53.5,41.5,2,2
290,-46.5,25.5,2,3
293,59.5,31.5,2,1
293,69.5,54.5,2,1
305,29.5,30.5,2,26
310,50.5,41.5,2,1
322,40.5,-41.5,2,1
334,146.5,48.5,2,3
344,57.5,53.5,2,1
348,67.5,71.5,2,1
373,29.5,26.5,2,1
373,29.5,32.5,2,1
388,53.5,41.5,2,2
400,-34.5,-38.5,2,6
406,50.5,41.5,2,1
417,51.5,30.5,2,21
419,77.5,72.5,2,2
424,59.5,31.5,2,1
428,26.5,52.5,2,11
454,-51.5,49.5,2,2
459,69.5,54.5,2,1
467,57.5,53.5,2,1
474,23.5,34.5,2,1
475,24.5,49.5,2,1
476,-52.5,47.5,2,1
483,23.5,34.5,2,1
484,53.5,41.5,2,2
492,59.5,40.5,2,2
500,-52.5,47.5,2,1
505,38.5,33.5,2,55
505,37.5,35.5,2,1
508,27.5,60.5,2,18
510,-44.5,21.5,2,8
519,-46.5,25.5,2,3
520,69.5,54.5,2,1
530,146.5,48.5,2,3
556,59.5,40.5,2,2
557,-52.5,47.5,2,1
559,59.5,40.5,2,2
567,146.5,48.5,2,3
571,59.5,31.5,2,1
583,29.5,30.5,2,26
583,29.5,26.5,2,1
583,29.5,32.5,2,1
588,146.5,48.5,2,3
588,143.5,60.5,2,1
591,29.5,32.5,2,1
600,69.5,54.5,2,1
618,24.5,49.5,2,1
622,59.5,40.5,2,2
623,59.5,40.5,2,2
623,59.5,31.5,2,1
634,33.5,23.5,2,3
634,35.5,13.5,2,2
644,-34.5,-38.5,2,6
654,57.5,53.5,2,1
656,26.5,52.5,2,11
667,40.5,33.5,2,1
667,100.5,23.5,2,2
671,-34.5,-38.5,2,6
722,-52.5,47.5,2,1
727,45.5,29.5,2,1
729,146.5,48.5,2,3
737,57.5,53.5,2,1
752,40.5,-41.5,2,1
753,53.5,41.5,2,2
759,-51.5,49.5,2,2
770,59.5,40.5,2,2
800,29.5,32.5,2,1
815,-34.5,-38.5,2,6
844,143.5,60.5,2,1
859,53.5,41.5,2,2
867,59.5,40.5,2,2
868,37.5,35.5,2,1
868,33.5,23.5,2,3
869,27.5,62.5,2,1
879,38.5,33.5,2,55
879,51.5,30.5,2,21
879,29.5,32.5,2,1
897,37.5,35.5,2,1
913,-34.5,-35.5,2,2
914,53.5,41.5,2,2
928,50.5,41.5,2,1
940,23.5,34.5,2,1
955,24.5,49.5,2,1
958,57.5,53.5,2,1
968,29.5,32.5,2,1
968,45.5,29.5,2,1
989,77.5,72.5,2,2
994,24.5,49.5,2,1
995,-51.5,49.5,2,2
999,-34.5,-38.5,2,6
19,27.5,62.5,3,1
21,28.5,60.5,3,1
28,59.5,31.5,3,1
28,53.5,41.5,3,2
33,51.5,30.5,3,21
79,33.5,23.5,3,3
79,38.5,25.5,3,2
101,146.5,63.5,3,1
104,53.5,41.5,3,2
106,-51.5,49.5,3,2
106,-52.5,47.5,3,1
116,38.5,33.5,3,55
123,51.5,30.5,3,21
173,24.5,49.5,3,1
173,26.5,52.5,3,11
192,40.5,33.5,3,1
192,38.5,33.5,3,55
192,37.5,35.5,3,1
197,15.5,63.5,3,2
197,16.5,63.5,3,2
199,40.5,-41.5,3,1
208,28.5,60.5,3,1
213,27.5,60.5,3,18
225,143.5,60.5,3,1
227,27.5,60.5,3,18
240,40.5,-41.5,3,1
252,26.5,52.5,3,11
260,40.5,-41.5,3,1
261,45.5,29.5,3,1
261,53.5,41.5,3,2
277,24.5,49.5,3,1
292,59.5,31.5,3,1
320,30.5,27.5,3,6
329,40.5,-41.5,3,1
332,-52.5,47.5,3,1
334,-52.5,47.5,3,1
362,29.5,32.5,3,1
362,53.5,41.5,3,2
363,-52.5,47.5,3,1
363,-51.5,49.5,3,2
377,69.5,54.5,3,1
401,-34.5,-38.5,3,6
408,59.5,31.5,3,1
413,29.5,32.5,3,1
413,29.5,30.5,3,26
428,57.5,53.5,3,1
433,146.5,63.5,3,1
471,59.5,31.5,3,1
476,40.5,33.5,3,1
476,38.5,25.5,3,2
480,30.5,27.5,3,6
493,45.5,29.5,3,1
493,40.5,33.5,3,1
507,50.5,41.5,3,1
519,-52.5,47.5,3,1
521,51.5,30.5,3,21
552,59.5,40.5,3,2
558,100.5,23.5,3,2
562,40.5,-41.5,3,1
575,26.5,52.5,3,11
589,50.5,24.5,3,2
593,27.5,62.5,3,1
596,69.5,54.5,3,1
602,69.5,54.5,3,1
610,40.5,-41.5,3,1
646,53.5,41.5,3,2
655,38.5,33.5,3,55
655,37.5,35.5,3,1
660,77.5,72.5,3,2
665,40.5,-41.5,3,1
679,50.5,41.5,3,1
706,38.5,25.5,3,2
729,28.5,60.5,3,1
743,-51.5,49.5,3,2
758,29.5,30.5,3,26
758,23.5,34.5,3,1
765,50.5,41.5,3,1
770,24.5,49.5,3,1
771,37.5,35.5,3,1
794,18.5,27.5,3,10
801,29.5,30.5,3,26
801,40.5,33.5,3,1
812,28.5,60.5,3,1
820,77.5,72.5,3,2
828,77.5,72.5,3,2
833,24.5,49.5,3,1
844,-52.5,47.5,3,1
847,146.5,48.5,3,3
859,-34.5,-38.5,3,6
880,69.5,54.5,3,1
881,50.5,41.5,3,1
887,11.5,28.5,3,5
911,-51.5,49.5,3,2
911,-52.5,47.5,3,1
913,-52.5,47.5,3,1
918,-34.5,-38.5,3,6
924,24.5,49.5,3,1
938,40.5,33.5,3,1
949,14.5,64.5,3,1
954,45.5,29.5,3,1
959,53.5,41.5,3,2
971,40.5,-41.5,3,1
981,29.5,30.5,3,26
981,29.5,26.5,3,1
981,30.5,27.5,3,6
983,50.5,41.5,3,1
983,53.5,41.5,3,2
990,-51.5,49.5,3,2
997,29.5,30.5,3,26
6,-51.5,49.5,4,2
13,18.5,27.5,4,10
31,40.5,-41.5,4,1
38,38.5,33.5,4,55
38,37.5,35.5,4,1
57,33.5,15.5,4,1
78,40.5,-41.5,4,1
91,146.5,63.5,4,1
99,143.5,60.5,4,1
106,15.5,63.5,4,2
110,40.5,-41.5,4,1
115,59.5,40.5,4,2
118,143.5,60.5,4,1
121,28.5,60.5,4,1
121,27.5,60.5,4,18
161,-51.5,49.5,4,2
175,21.5,16.5,4,1
186,69.5,54.5,4,1
188,50.5,41.5,4,1
191,27.5,62.5,4,1
191,26.5,52.5,4,11
195,69.5,54.5,4,1
211,38.5,33.5,4,55
214,45.5,29.5,4,1
217,100.5,23.5,4,2
222,69.5,54.5,4,1
251,40.5,-41.5,4,1
291,30.5,27.5,4,6
291,38.5,33.5,4,55
291,38.5,25.5,4,2
305,-51.5,49.5,4,2
305,-52.5,47.5,4,1
321,57.5,53.5,4,1
325,50.5,41.5,4,1
337,29.5,26.5,4,1
343,12.5,24.5,4,1
343,11.5,28.5,4,5
345,59.5,40.5,4,2
353,-51.5,49.5,4,2
353,-52.5,47.5,4,1
356,11.5,28.5,4,5
378,40.5,-41.5,4,1
389,57.5,53.5,4,1
392,53.5,41.5,4,2
399,69.5,54.5,4,1
429,57.5,53.5,4,1
431,51.5,30.5,4,21
438,21.5,16.5,4,1
449,29.5,30.5,4,26
456,37.5,35.5,4,1
456,38.5,33.5,4,55
456,40.5,33.5,4,1
462,24.5,49.5,4,1
467,27.5,60.5,4,18
475,50.5,24.5,4,2
477,30.5,27.5,4,6
492,27.5,60.5,4,18
508,26.5,52.5,4,11
513,-34.5,-38.5,4,6
522,50.5,24.5,4,2
544,-51.5,49.5,4,2
554,40.5,-41.5,4,1
586,146.5,48.5,4,3
597,11.5,28.5,4,5
605,27.5,27.5,4,9
610,18.5,27.5,4,10
644,40.5,-41.5,4,1
653,23.5,34.5,4,1
654,23.5,34.5,4,1
655,69.5,54.5,4,1
668,24.5,49.5,4,1
674,59.5,31.5,4,1
674,40.5,33.5,4,1
674,38.5,33.5,4,55
674,29.5,32.5,4,1
682,-37.5,7.5,4,1
687,11.5,28.5,4,5
715,23.5,34.5,4,1
719,40.5,33.5,4,1
719,38.5,33.5,4,55
733,-51.5,49.5,4,2
775,53.5,41.5,4,2
780,-52.5,47.5,4,1
786,40.5,-41.5,4,1
796,59.5,40.5,4,2
796,59.5,31.5,4,1
807,24.5,49.5,4,1
828,29.5,26.5,4,1
829,26.5,52.5,4,11
849,50.5,41.5,4,1
869,67.5,71.5,4,1
873,40.5,33.5,4,1
884,27.5,62.5,4,1
886,-42.5,26.5,4,2
929,27.5,27.5,4,9
941,-34.5,-38.5,4,6
944,33.5,15.5,4,1
945,50.5,41.5,4,1
946,-42.5,26.5,4,2
958,59.5,40.5,4,2
994,40.5,-41.5,4,1
996,24.5,49.5,4,1
998,38.5,33.5,4,55
10,50.5,41.5,5,1
29,-51.5,49.5,5,2
40,59.5,40.5,5,2
49,26.5,52.5,5,11
61,50.5,41.5,5,1
62,51.5,30.5,5,21
71,26.5,52.5,5,11
73,-34.5,-38.5,5,6
92,27.5,27.5,5,9
95,59.5,40.5,5,2
101,24.5,49.5,5,1
124,50.5,41.5,5,1
124,59.5,40.5,5,2
145,53.5,41.5,5,2
165,48.5,-20.5,5,3
167,27.5,27.5,5,9
183,37.5,35.5,5,1
189,69.5,54.5,5,1
195,-51.5,49.5,5,2
258,24.5,49.5,5,1
259,-52.5,47.5,5,1
276,146.5,48.5,5,3
279,26.5,52.5,5,11
293,50.5,41.5,5,1
293,53.5,41.5,5,2
302,40.5,-41.5,5,1
308,40.5,-41.5,5,1
311,-52.5,47.5,5,1
318,-34.5,-38.5,5,6
320,57.5,53.5,5,1
322,26.5,52.5,5,11
341,57.5,53.5,5,1
341,59.5,31.5,5,1
348,-34.5,-38.5,5,6
348,-34.5,-35.5,5,2
357,40.5,-41.5,5,1
362,-34.5,-38.5,5,6
364,27.5,62.5,5,1
364,27.5,60.5,5,18
374,-51.5,49.5,5,2
385,50.5,41.5,5,1
427,23.5,34.5,5,1
427,24.5,49.5,5,1
427,26.5,52.5,5,11
439,-51.5,49.5,5,2
439,-52.5,47.5,5,1
449,26.5,52.5,5,11
449,28.5,60.5,5,1
455,59.5,40.5,5,2
458,48.5,-20.5,5,3
458,40.5,-41.5,5,1
460,23.5,34.5,5,1
461,143.5,60.5,5,1
469,29.5,26.5,5,1
473,53.5,41.5,5,2
484,27.5,60.5,5,18
485,-34.5,-38.5,5,6
491,40.5,-41.5,5,1
496,11.5,28.5,5,5
507,146.5,48.5,5,3
512,26.5,52.5,5,11
513,11.5,28.5,5,5
521,69.5,54.5,5,1
537,57.5,53.5,5,1
564,59.5,31.5,5,1
565,12.5,24.5,5,1
569,50.5,41.5,5,1
576,40.5,-41.5,5,1
578,40.5,-41.5,5,1
603,16.5,63.5,5,2
607,45.5,29.5,5,1
611,-46.5,25.5,5,3
611,-43.5,23.5,5,9
611,-42.5,26.5,5,2
616,57.5,53.5,5,1
619,37.5,35.5,5,1
619,29.5,30.5,5,26
619,23.5,34.5,5,1
635,16.5,63.5,5,2
639,53.5,41.5,5,2
641,-42.5,26.5,5,2
644,50.5,41.5,5,1
653,28.5,60.5,5,1
655,-52.5,47.5,5,1
658,-34.5,-35.5,5,2
681,53.5,41.5,5,2
682,59.5,40.5,5,2
682,57.5,53.5,5,1
684,24.5,49.5,5,1
701,21.5,16.5,5,1
716,50.5,41.5,5,1
718,59.5,31.5,5,1
720,-44.5,21.5,5,8
733,69.5,54.5,5,1
740,59.5,31.5,5,1
744,24.5,49.5,5,1
767,24.5,49.5,5,1
769,-34.5,-35.5,5,2
788,29.5,32.5,5,1
793,45.5,29.5,5,1
795,-52.5,47.5,5,1
832,33.5,23.5,5,3
834,45.5,29.5,5,1
846,37.5,35.5,5,1
860,69.5,54.5,5,1
875,53.5,41.5,5,2
879,53.5,41.5,5,2
896,12.5,24.5,5,1
896,18.5,27.5,5,10
908,29.5,32.5,5,1
909,17.5,21.5,5,21
914,-44.5,21.5,5,8
915,146.5,48.5,5,3
919,30.5,27.5,5,6
934,51.5,30.5,5,21
934,45.5,29.5,5,1
934,50.5,24.5,5,2
940,59.5,31.5,5,1
951,53.5,41.5,5,2
974,30.5,27.5,5,6
974,29.5,26.5,5,1
980,-34.5,-38.5,5,6
987,146.5,48.5,5,3
997,38.5,33.5,5,55
8,-34.5,-38.5,6,6
28,50.5,41.5,6,1
38,-34.5,-35.5,6,2
50,27.5,60.5,6,18
66,50.5,41.5,6,1
68,59.5,31.5,6,1
69,51.5,30.5,6,21
71,57.5,53.5,6,1
78,12.5,24.5,6,1
78,29.5,32.5,6,1
82,27.5,27.5,6,9
82,29.5,26.5,6,1
82,29.5,32.5,6,1
101,27.5,27.5,6,9
106,24.5,49.5,6,1
116,100.5,23.5,6,2
118,146.5,48.5,6,3
119,21.5,16.5,6,1
119,17.5,21.5,6,21
119,18.5,27.5,6,10
134,40.5,-41.5,6,1
148,29.5,32.5,6,1
148,23.5,34.5,6,1
148,28.5,60.5,6,1
