"id","x","y","rep","collections"
28,37.5,38.5,1,1
28,50.5,29.5,1,1
37,133.5,30.5,1,2
61,44.5,35.5,1,1
77,1.5,43.5,1,5
84,36.5,42.5,1,12
84,37.5,38.5,1,1
84,47.5,30.5,1,1
94,47.5,29.5,1,21
94,44.5,35.5,1,1
94,47.5,30.5,1,1
98,53.5,-35.5,1,1
116,0.5,43.5,1,2
116,1.5,43.5,1,5
148,148.5,-62.5,1,3
165,35.5,43.5,1,1
165,36.5,42.5,1,12
182,115.5,-32.5,1,1
185,165.5,-73.5,1,30
189,35.5,43.5,1,1
216,53.5,-35.5,1,1
216,51.5,-36.5,1,34
219,36.5,42.5,1,12
229,37.5,43.5,1,1
229,36.5,42.5,1,12
234,73.5,-47.5,1,1
235,37.5,38.5,1,1
258,22.5,44.5,1,2
259,22.5,44.5,1,2
285,113.5,-33.5,1,1
308,36.5,42.5,1,12
308,35.5,43.5,1,1
321,115.5,-32.5,1,1
356,36.5,42.5,1,12
380,73.5,-47.5,1,1
387,0.5,43.5,1,2
387,1.5,43.5,1,5
417,22.5,44.5,1,2
425,73.5,-47.5,1,1
434,42.5,36.5,1,1
439,52.5,-33.5,1,1
439,51.5,-35.5,1,137
439,53.5,-35.5,1,1
439,52.5,-35.5,1,1
439,53.5,-33.5,1,2
439,52.5,-34.5,1,4
443,-38.5,30.5,1,2
453,22.5,44.5,1,2
467,53.5,-35.5,1,1
467,52.5,-35.5,1,1
467,52.5,-33.5,1,1
467,51.5,-35.5,1,137
467,53.5,-33.5,1,2
469,1.5,43.5,1,5
490,53.5,-35.5,1,1
491,163.5,-74.5,1,1
491,163.5,-73.5,1,1
491,162.5,-73.5,1,1
491,162.5,-72.5,1,1
491,161.5,-72.5,1,3
517,53.5,-35.5,1,1
517,52.5,-35.5,1,1
520,42.5,36.5,1,1
549,115.5,-32.5,1,1
549,119.5,-30.5,1,2
553,35.5,43.5,1,1
553,37.5,43.5,1,1
569,52.5,-35.5,1,1
573,8.5,44.5,1,1
574,22.5,44.5,1,2
623,113.5,-33.5,1,1
654,148.5,-62.5,1,3
669,48.5,29.5,1,3
702,42.5,36.5,1,1
717,119.5,-30.5,1,2
732,115.5,-30.5,1,3
738,115.5,-30.5,1,3
754,133.5,30.5,1,2
755,37.5,38.5,1,1
777,48.5,29.5,1,3
777,49.5,31.5,1,1
780,51.5,-36.5,1,34
780,53.5,-35.5,1,1
808,42.5,36.5,1,1
810,22.5,44.5,1,2
831,0.5,43.5,1,2
839,129.5,28.5,1,1
843,37.5,43.5,1,1
869,119.5,-30.5,1,2
870,52.5,-34.5,1,4
872,37.5,43.5,1,1
872,35.5,43.5,1,1
887,8.5,44.5,1,1
894,150.5,-63.5,1,1
905,52.5,-34.5,1,4
905,51.5,-35.5,1,137
909,119.5,-30.5,1,2
920,128.5,27.5,1,1
922,53.5,-35.5,1,1
922,52.5,-34.5,1,4
927,50.5,29.5,1,1
936,51.5,-36.5,1,34
936,53.5,-35.5,1,1
936,52.5,-33.5,1,1
936,52.5,-35.5,1,1
944,115.5,-32.5,1,1
956,22.5,44.5,1,2
958,35.5,43.5,1,1
958,37.5,43.5,1,1
965,37.5,38.5,1,1
965,37.5,43.5,1,1
2,50.5,-36.5,2,5
2,51.5,-36.5,2,34
17,52.5,-28.5,2,1
22,44.5,35.5,2,1
49,37.5,38.5,2,1
58,8.5,44.5,2,1
61,0.5,43.5,2,2
76,73.5,-47.5,2,1
84,52.5,-34.5,2,4
88,73.5,-47.5,2,1
108,0.5,43.5,2,2
114,47.5,30.5,2,1
114,36.5,42.5,2,12
119,37.5,43.5,2,1
142,35.5,43.5,2,1
142,37.5,43.5,2,1
142,36.5,42.5,2,12
161,36.5,42.5,2,12
161,35.5,43.5,2,1
197,8.5,44.5,2,1
209,73.5,-47.5,2,1
233,44.5,35.5,2,1
233,42.5,36.5,2,1
259,22.5,44.5,2,2
274,36.5,42.5,2,12
287,35.5,43.5,2,1
294,52.5,-28.5,2,1
294,50.5,-36.5,2,5
350,159.5,-71.5,2,2
350,162.5,-73.5,2,1
367,1.5,43.5,2,5
380,49.5,30.5,2,3
381,8.5,44.5,2,1
409,36.5,42.5,2,12
410,0.5,43.5,2,2
415,51.5,-35.5,2,137
432,47.5,30.5,2,1
435,77.5,-24.5,2,6
438,1.5,43.5,2,5
476,1.5,43.5,2,5
488,113.5,-33.5,2,1
510,115.5,-30.5,2,3
510,115.5,-32.5,2,1
512,37.5,43.5,2,1
553,44.5,35.5,2,1
559,-38.5,30.5,2,2
574,44.5,-16.5,2,3
588,53.5,-33.5,2,2
617,36.5,42.5,2,12
631,50.5,-36.5,2,5
635,148.5,-62.5,2,3
635,150.5,-63.5,2,1
635,149.5,-62.5,2,1
638,8.5,44.5,2,1
662,50.5,-36.5,2,5
665,42.5,36.5,2,1
675,1.5,43.5,2,5
692,49.5,30.5,2,3
692,47.5,30.5,2,1
704,35.5,43.5,2,1
747,163.5,-74.5,2,1
766,22.5,44.5,2,2
785,52.5,-33.5,2,1
793,42.5,36.5,2,1
823,-38.5,30.5,2,2
834,52.5,-33.5,2,1
834,53.5,-35.5,2,1
872,35.5,43.5,2,1
872,37.5,38.5,2,1
873,0.5,43.5,2,2
885,8.5,44.5,2,1
892,165.5,-73.5,2,30
892,164.5,-73.5,2,3
900,22.5,44.5,2,2
921,119.5,-30.5,2,2
945,8.5,44.5,2,1
965,36.5,42.5,2,12
966,35.5,43.5,2,1
966,22.5,44.5,2,2
985,8.5,44.5,2,1
995,132.5,30.5,2,2
4,148.5,-62.5,3,3
7,49.5,31.5,3,1
7,49.5,30.5,3,3
11,49.5,30.5,3,3
11,49.5,31.5,3,1
21,0.5,43.5,3,2
22,53.5,-33.5,3,2
54,37.5,38.5,3,1
54,36.5,42.5,3,12
72,52.5,-35.5,3,1
72,53.5,-33.5,3,2
75,-38.5,30.5,3,2
107,8.5,44.5,3,1
108,52.5,-35.5,3,1
114,37.5,43.5,3,1
114,36.5,42.5,3,12
114,35.5,43.5,3,1
140,52.5,-35.5,3,1
140,51.5,-36.5,3,34
140,51.5,-35.5,3,137
155,149.5,-62.5,3,1
155,150.5,-63.5,3,1
168,1.5,43.5,3,5
168,0.5,43.5,3,2
171,77.5,-24.5,3,6
209,50.5,-36.5,3,5
209,51.5,-36.5,3,34
220,115.5,-32.5,3,1
232,53.5,-35.5,3,1
233,167.5,-73.5,3,6
235,35.5,43.5,3,1
243,50.5,-36.5,3,5
