"id","x","y","rep","collections"
2,8.5,49.5,1,1
14,8.5,49.5,1,1
94,70.5,-41.5,1,1
115,22.5,50.5,1,2
155,70.5,-41.5,1,1
160,9.5,49.5,1,1
160,9.5,51.5,1,3
203,9.5,49.5,1,1
221,19.5,26.5,1,4
221,20.5,27.5,1,1
233,70.5,-41.5,1,1
258,47.5,40.5,1,2
268,37.5,30.5,1,19
345,-0.5,51.5,1,1
349,106.5,-17.5,1,2
350,37.5,30.5,1,19
350,36.5,29.5,1,19
350,36.5,30.5,1,9
353,-0.5,51.5,1,1
385,8.5,49.5,1,1
425,9.5,51.5,1,3
457,137.5,-75.5,1,5
505,9.5,51.5,1,3
524,23.5,50.5,1,17
543,22.5,50.5,1,2
623,21.5,27.5,1,151
646,139.5,-69.5,1,24
681,23.5,50.5,1,17
698,37.5,29.5,1,11
713,47.5,40.5,1,2
715,-0.5,51.5,1,1
715,9.5,51.5,1,3
744,22.5,50.5,1,2
755,23.5,50.5,1,17
768,20.5,25.5,1,17
786,9.5,51.5,1,3
786,9.5,49.5,1,1
836,22.5,50.5,1,2
885,23.5,50.5,1,17
892,17.5,26.5,1,23
892,26.5,24.5,1,8
915,9.5,49.5,1,1
924,30.5,25.5,1,18
932,37.5,29.5,1,11
932,36.5,30.5,1,9
955,9.5,49.5,1,1
955,-0.5,51.5,1,1
23,47.5,40.5,2,2
80,21.5,26.5,2,14
80,20.5,26.5,2,8
80,18.5,26.5,2,2
109,22.5,50.5,2,2
128,8.5,49.5,2,1
142,8.5,49.5,2,1
166,-0.5,51.5,2,1
195,9.5,51.5,2,3
224,37.5,29.5,2,11
229,38.5,29.5,2,5
239,9.5,49.5,2,1
245,9.5,49.5,2,1
293,22.5,50.5,2,2
302,22.5,50.5,2,2
307,20.5,27.5,2,1
348,8.5,49.5,2,1
407,9.5,49.5,2,1
426,37.5,30.5,2,19
426,37.5,29.5,2,11
446,17.5,26.5,2,23
466,9.5,51.5,2,3
474,-0.5,51.5,2,1
505,47.5,40.5,2,2
539,35.5,30.5,2,14
587,17.5,26.5,2,23
630,9.5,49.5,2,1
633,47.5,40.5,2,2
656,36.5,30.5,2,9
679,37.5,29.5,2,11
728,-0.5,51.5,2,1
742,22.5,50.5,2,2
743,22.5,50.5,2,2
771,27.5,25.5,2,6
