"id","x","y","rep","collections"
9,-75.5,36.5,1,7
10,142.5,52.5,1,1
14,3.5,41.5,1,2
14,13.5,40.5,1,1
14,8.5,43.5,1,6
14,12.5,41.5,1,4
14,3.5,42.5,1,3
14,9.5,43.5,1,3
14,11.5,41.5,1,3
14,13.5,43.5,1,1
23,24.5,36.5,1,1
23,23.5,36.5,1,1
26,12.5,41.5,1,4
32,-75.5,37.5,1,8
32,-74.5,37.5,1,15
32,-75.5,36.5,1,7
42,140.5,44.5,1,4
43,11.5,41.5,1,3
43,13.5,43.5,1,1
43,10.5,43.5,1,12
43,11.5,35.5,1,1
58,17.5,37.5,1,1
58,11.5,35.5,1,1
58,10.5,36.5,1,1
70,142.5,42.5,1,3
70,140.5,44.5,1,4
70,140.5,40.5,1,1
70,143.5,42.5,1,3
70,143.5,43.5,1,1
70,142.5,52.5,1,1
70,140.5,34.5,1,1
76,-59.5,-38.5,1,6
77,8.5,43.5,1,6
77,9.5,43.5,1,3
77,3.5,41.5,1,2
78,4.5,42.5,1,3
78,11.5,42.5,1,10
86,143.5,42.5,1,3
86,140.5,38.5,1,5
87,140.5,38.5,1,5
89,140.5,40.5,1,1
96,11.5,41.5,1,3
131,10.5,43.5,1,12
133,139.5,36.5,1,1
134,12.5,41.5,1,4
134,10.5,43.5,1,12
134,13.5,40.5,1,1
135,163.5,59.5,1,1
152,140.5,36.5,1,1
152,140.5,34.5,1,1
152,142.5,42.5,1,3
153,136.5,34.5,1,1
163,9.5,43.5,1,3
170,8.5,43.5,1,6
177,11.5,42.5,1,10
181,174.5,-45.5,1,1
183,137.5,37.5,1,1
183,136.5,34.5,1,1
197,24.5,37.5,1,1
197,16.5,37.5,1,1
199,16.5,37.5,1,1
199,24.5,37.5,1,1
205,142.5,52.5,1,1
211,17.5,37.5,1,1
212,176.5,-41.5,1,1
212,176.5,-42.5,1,2
216,143.5,42.5,1,3
228,-79.5,26.5,1,2
235,142.5,43.5,1,1
235,142.5,42.5,1,3
235,143.5,43.5,1,1
235,143.5,42.5,1,3
235,140.5,43.5,1,1
236,9.5,43.5,1,3
240,148.5,-40.5,1,8
253,174.5,-45.5,1,1
259,140.5,34.5,1,1
259,142.5,43.5,1,1
262,140.5,38.5,1,5
262,142.5,43.5,1,1
262,143.5,43.5,1,1
263,143.5,43.5,1,1
268,24.5,37.5,1,1
282,11.5,35.5,1,1
286,179.5,-39.5,1,1
