"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",26.21,17.475,36.525
2,75,60,67.5,"N",145.35,125.95,164.525
3,60,45,52.5,"N",405.9,375.9,434.575
4,45,30,37.5,"N",425.39,387.95,456.525
5,30,15,22.5,"N",160.03,136.95,182
6,15,0,7.5,"N",27.87,18.475,38.575
7,0,-15,-7.5,"S",14.13,7.95,21.525
8,-15,-30,-22.5,"S",65.79,52,81.525
9,-30,-45,-37.5,"S",255.02,236.425,276.05
10,-45,-60,-52.5,"S",314.46,290,343.05
11,-60,-75,-67.5,"S",116.57,99.475,132.525
12,-75,-90,-82.5,"S",20.14,12,30
