"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",19.6,13,27
2,75,60,67.5,"N",131.61,109.95,155.575
3,60,45,52.5,"N",380.62,352.475,407
4,45,30,37.5,"N",401.67,372.425,428
5,30,15,22.5,"N",118.99,101.475,138.525
6,15,0,7.5,"N",16.51,9.475,23
7,0,-15,-7.5,"S",10.69,6,16.525
8,-15,-30,-22.5,"S",83.53,65.95,104.1
9,-30,-45,-37.5,"S",266.97,235.9,293.1
10,-45,-60,-52.5,"S",262.46,237,295.525
11,-60,-75,-67.5,"S",64.68,52,78.575
12,-75,-90,-82.5,"S",11.91,6,18
