"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",24.09,16,33
2,75,60,67.5,"N",133.39,114.95,155.525
3,60,45,52.5,"N",429,400.95,458
4,45,30,37.5,"N",452.01,417.425,486.1
5,30,15,22.5,"N",156.63,133.95,177.05
6,15,0,7.5,"N",20.52,15,28.525
7,0,-15,-7.5,"S",5.44,1.475,11
8,-15,-30,-22.5,"S",46.15,35.475,59.525
9,-30,-45,-37.5,"S",190.59,170.475,214.625
10,-45,-60,-52.5,"S",238.6,213.95,265.525
11,-60,-75,-67.5,"S",89.17,69.9,103
12,-75,-90,-82.5,"S",10.89,5,18
