"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",26.84,14.475,37
2,75,60,67.5,"N",139.02,115.475,162.1
3,60,45,52.5,"N",472.85,439.425,500.525
4,45,30,37.5,"N",525.32,491.425,555.05
5,30,15,22.5,"N",158.11,131.95,186.575
6,15,0,7.5,"N",23.1,16,31.575
7,0,-15,-7.5,"S",8.81,4,15
8,-15,-30,-22.5,"S",56.86,42.475,75.525
9,-30,-45,-37.5,"S",181.74,156.425,207.675
10,-45,-60,-52.5,"S",148.18,126.475,169
11,-60,-75,-67.5,"S",66.65,50.425,81
12,-75,-90,-82.5,"S",10.78,5,16.525
