"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",25.77,16.475,38.575
2,75,60,67.5,"N",159.59,132.475,178.525
3,60,45,52.5,"N",529.39,498.95,554.05
4,45,30,37.5,"N",514.1,488.475,541.725
5,30,15,22.5,"N",158.54,134.425,182
6,15,0,7.5,"N",26.97,19,36.525
7,0,-15,-7.5,"S",22.62,13,32
8,-15,-30,-22.5,"S",118.62,100,139.525
9,-30,-45,-37.5,"S",247.58,222.475,277
10,-45,-60,-52.5,"S",133.61,114,152.525
11,-60,-75,-67.5,"S",32.53,21.475,43
12,-75,-90,-82.5,"S",7.02,2.475,11
