"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",22.42,12,32.525
2,75,60,67.5,"N",130,109.475,150.575
3,60,45,52.5,"N",424.81,397.95,450.15
4,45,30,37.5,"N",490.06,460,518.05
5,30,15,22.5,"N",177.99,156.425,202.1
6,15,0,7.5,"N",31.07,22,44.575
7,0,-15,-7.5,"S",15.8,9.475,24
8,-15,-30,-22.5,"S",73.99,58.425,89
9,-30,-45,-37.5,"S",224.37,196.475,249
10,-45,-60,-52.5,"S",246.48,222.95,269.575
11,-60,-75,-67.5,"S",105.9,89,123.525
12,-75,-90,-82.5,"S",21.12,14,31
