"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",32.91,23.475,43.05
2,75,60,67.5,"N",218.4,190.9,239.05
3,60,45,52.5,"N",627.18,594.425,653.575
4,45,30,37.5,"N",551.19,521.95,583
5,30,15,22.5,"N",180.8,155.85,203.525
6,15,0,7.5,"N",32.01,21.475,44
7,0,-15,-7.5,"S",16.17,8.475,23
8,-15,-30,-22.5,"S",55.09,39.475,69
9,-30,-45,-37.5,"S",97.12,76,116.525
10,-45,-60,-52.5,"S",81.55,67.475,103.525
11,-60,-75,-67.5,"S",46.43,34.475,57
12,-75,-90,-82.5,"S",10.13,4,17
