"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",37.71,26,51
2,75,60,67.5,"N",245.35,220.425,270
3,60,45,52.5,"N",621.62,592.425,649.525
4,45,30,37.5,"N",539.21,507.475,574.525
5,30,15,22.5,"N",187.96,164.275,211
6,15,0,7.5,"N",36.16,24.475,45.575
7,0,-15,-7.5,"S",15.6,8.475,25.05
8,-15,-30,-22.5,"S",48.57,36.475,60.525
9,-30,-45,-37.5,"S",84.95,67.95,102.525
10,-45,-60,-52.5,"S",86.32,67.95,108
11,-60,-75,-67.5,"S",53.15,39.475,67.525
12,-75,-90,-82.5,"S",11.24,5,18
