"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",21.53,13,29
2,75,60,67.5,"N",83.46,67.475,101.525
3,60,45,52.5,"N",493.91,462.475,520.525
4,45,30,37.5,"N",635.9,608.475,667.575
5,30,15,22.5,"N",172.03,152,193.05
6,15,0,7.5,"N",18.14,11,25.525
7,0,-15,-7.5,"S",5.5,1,10
8,-15,-30,-22.5,"S",54.41,42,66.525
9,-30,-45,-37.5,"S",150.34,126.475,173
10,-45,-60,-52.5,"S",84.19,68.475,100
11,-60,-75,-67.5,"S",21.44,12,32
12,-75,-90,-82.5,"S",3.42,0.475,7.52499999999999
