"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",29.17,19.475,42.525
2,75,60,67.5,"N",140.69,116.475,162.525
3,60,45,52.5,"N",487.68,454.425,513
4,45,30,37.5,"N",486.6,458.425,517.525
5,30,15,22.5,"N",129.37,110.95,150
6,15,0,7.5,"N",18.87,11,27.525
7,0,-15,-7.5,"S",5.94,2,10
8,-15,-30,-22.5,"S",61.7,49,75.525
9,-30,-45,-37.5,"S",202.19,185,223.525
10,-45,-60,-52.5,"S",143.69,117.95,166
11,-60,-75,-67.5,"S",70.53,57.475,85
12,-75,-90,-82.5,"S",9.08,4,17.05
