"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",28.6,17.475,39
2,75,60,67.5,"N",149.51,124.95,169
3,60,45,52.5,"N",319.99,296.95,348.625
4,45,30,37.5,"N",301.26,274,328.575
5,30,15,22.5,"N",135.44,115.9,154.525
6,15,0,7.5,"N",26.68,19,36.525
7,0,-15,-7.5,"S",15.45,9.475,22
8,-15,-30,-22.5,"S",70.53,55.95,84.575
9,-30,-45,-37.5,"S",286.04,259.95,314.05
10,-45,-60,-52.5,"S",426.26,396.95,449.05
11,-60,-75,-67.5,"S",177.75,151.95,197.575
12,-75,-90,-82.5,"S",27.99,18,39.05
