"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",18.99,11,28.525
2,75,60,67.5,"N",120.89,105,138.05
3,60,45,52.5,"N",461.03,435.475,485
4,45,30,37.5,"N",486.87,452.375,522.675
5,30,15,22.5,"N",142.21,121.425,163
6,15,0,7.5,"N",25.52,17.475,35.05
7,0,-15,-7.5,"S",24.45,16,35.05
8,-15,-30,-22.5,"S",126.81,109.475,150.525
9,-30,-45,-37.5,"S",307.67,276.375,337.575
10,-45,-60,-52.5,"S",202.35,180,224.05
11,-60,-75,-67.5,"S",49.88,37.475,66.525
12,-75,-90,-82.5,"S",9.93,5,16
