"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",27.85,18.95,36.525
2,75,60,67.5,"N",156.52,136.425,175.575
3,60,45,52.5,"N",383.26,355,409.575
4,45,30,37.5,"N",416.86,383.475,447.1
5,30,15,22.5,"N",117.5,99.425,137.525
6,15,0,7.5,"N",21.35,13,30
7,0,-15,-7.5,"S",15.26,7.475,24
8,-15,-30,-22.5,"S",74.86,56.95,91.05
9,-30,-45,-37.5,"S",241.57,214,266.525
10,-45,-60,-52.5,"S",165.83,147,186.05
11,-60,-75,-67.5,"S",65.6,53,80.05
12,-75,-90,-82.5,"S",13.1,7,19.525
