"name","bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper","prop_richness","max_age","mid_age","min_age","duration","abbr","color"
"aalenian",1,90,75,82.5,"N",0,0,0,0,174.1,172.2,170.3,3.8,"Aln","#9AD9DD"
"aalenian",2,75,60,67.5,"N",1.03,0,3.52499999999999,0.0306092124814265,174.1,172.2,170.3,3.8,"Aln","#9AD9DD"
"aalenian",3,60,45,52.5,"N",4.13,1,7,0.122734026745914,174.1,172.2,170.3,3.8,"Aln","#9AD9DD"
"aalenian",4,45,30,37.5,"N",15.53,9,22.525,0.461515601783061,174.1,172.2,170.3,3.8,"Aln","#9AD9DD"
"aalenian",5,30,15,22.5,"N",7.12,3,13,0.211589895988113,174.1,172.2,170.3,3.8,"Aln","#9AD9DD"
"aalenian",6,15,0,7.5,"N",0.63,0,2,0.0187221396731055,174.1,172.2,170.3,3.8,"Aln","#9AD9DD"
"aalenian",7,0,-15,-7.5,"S",0,0,0,0,174.1,172.2,170.3,3.8,"Aln","#9AD9DD"
"aalenian",8,-15,-30,-22.5,"S",0.61,0,2.52499999999999,0.0181277860326895,174.1,172.2,170.3,3.8,"Aln","#9AD9DD"
"aalenian",9,-30,-45,-37.5,"S",2.13,0,6,0.0632986627043091,174.1,172.2,170.3,3.8,"Aln","#9AD9DD"
"aalenian",10,-45,-60,-52.5,"S",0,0,0,0,174.1,172.2,170.3,3.8,"Aln","#9AD9DD"
"aalenian",11,-60,-75,-67.5,"S",0,0,0,0,174.1,172.2,170.3,3.8,"Aln","#9AD9DD"
"aalenian",12,-75,-90,-82.5,"S",2.47,0,5,0.0734026745913819,174.1,172.2,170.3,3.8,"Aln","#9AD9DD"
"albian",1,90,75,82.5,"N",6.19,2,12,0.0635588869493788,113,106.75,100.5,12.5,"Alb","#CCEA97"
"albian",2,75,60,67.5,"N",13.47,7,21.05,0.138309888078858,113,106.75,100.5,12.5,"Alb","#CCEA97"
"albian",3,60,45,52.5,"N",10.92,5,16.525,0.112126501694219,113,106.75,100.5,12.5,"Alb","#CCEA97"
"albian",4,45,30,37.5,"N",34.64,26,43.525,0.355683335044666,113,106.75,100.5,12.5,"Alb","#CCEA97"
"albian",5,30,15,22.5,"N",15.24,10,21,0.156484238628196,113,106.75,100.5,12.5,"Alb","#CCEA97"
"albian",6,15,0,7.5,"N",5.74,1,11,0.0589382893520895,113,106.75,100.5,12.5,"Alb","#CCEA97"
"albian",7,0,-15,-7.5,"S",5.26,1.475,10,0.054009651914981,113,106.75,100.5,12.5,"Alb","#CCEA97"
"albian",8,-15,-30,-22.5,"S",0.56,0,2.52499999999999,0.00575007700995996,113,106.75,100.5,12.5,"Alb","#CCEA97"
"albian",9,-30,-45,-37.5,"S",0.44,0,2,0.00451791765068282,113,106.75,100.5,12.5,"Alb","#CCEA97"
"albian",10,-45,-60,-52.5,"S",2.95,0.475,7.52499999999999,0.0302905842488962,113,106.75,100.5,12.5,"Alb","#CCEA97"
"albian",11,-60,-75,-67.5,"S",1.98,0,5,0.0203306294280727,113,106.75,100.5,12.5,"Alb","#CCEA97"
"albian",12,-75,-90,-82.5,"S",0,0,0,0,113,106.75,100.5,12.5,"Alb","#CCEA97"
"anisian",1,90,75,82.5,"N",1.08,0,3,0.00962052378407269,247.2,244.6,242,5.2,"An","#BC75B7"
"anisian",2,75,60,67.5,"N",16.13,9.475,24.525,0.143684304293604,247.2,244.6,242,5.2,"An","#BC75B7"
"anisian",3,60,45,52.5,"N",5.71,2,11,0.050864065562088,247.2,244.6,242,5.2,"An","#BC75B7"
"anisian",4,45,30,37.5,"N",15.99,8,24.525,0.142437199358632,247.2,244.6,242,5.2,"An","#BC75B7"
"anisian",5,30,15,22.5,"N",31,20,44.525,0.276144664172457,247.2,244.6,242,5.2,"An","#BC75B7"
"anisian",6,15,0,7.5,"N",21.17,12.475,31,0.18858008195261,247.2,244.6,242,5.2,"An","#BC75B7"
"anisian",7,0,-15,-7.5,"S",9.23,4,15.525,0.0822198467842508,247.2,244.6,242,5.2,"An","#BC75B7"
"anisian",8,-15,-30,-22.5,"S",4.56,2,8.52499999999999,0.0406199893105291,247.2,244.6,242,5.2,"An","#BC75B7"
"anisian",9,-30,-45,-37.5,"S",4.18,0.475,9.52499999999999,0.0372349902013184,247.2,244.6,242,5.2,"An","#BC75B7"
"anisian",10,-45,-60,-52.5,"S",0,0,0,0,247.2,244.6,242,5.2,"An","#BC75B7"
"anisian",11,-60,-75,-67.5,"S",0,0,0,0,247.2,244.6,242,5.2,"An","#BC75B7"
"anisian",12,-75,-90,-82.5,"S",3.21,0,7.57499999999997,0.0285943345804383,247.2,244.6,242,5.2,"An","#BC75B7"
"aptian",1,90,75,82.5,"N",2.11,0,5,0.0333280682356658,125,119,113,12,"Ap","#BFE48A"
"aptian",2,75,60,67.5,"N",1.73,0,4,0.0273258568946454,125,119,113,12,"Ap","#BFE48A"
"aptian",3,60,45,52.5,"N",1.11,0,4,0.0175327752329806,125,119,113,12,"Ap","#BFE48A"
"aptian",4,45,30,37.5,"N",25.96,18.475,35.525,0.410045806349708,125,119,113,12,"Ap","#BFE48A"
"aptian",5,30,15,22.5,"N",11.41,5,19.525,0.180224293160638,125,119,113,12,"Ap","#BFE48A"
"aptian",6,15,0,7.5,"N",5.49,1,11,0.0867161585847417,125,119,113,12,"Ap","#BFE48A"
"aptian",7,0,-15,-7.5,"S",1.18,0,3.52499999999999,0.0186384457431685,125,119,113,12,"Ap","#BFE48A"
"aptian",8,-15,-30,-22.5,"S",0,0,0,0,125,119,113,12,"Ap","#BFE48A"
"aptian",9,-30,-45,-37.5,"S",0.99,0,3,0.0156373400726583,125,119,113,12,"Ap","#BFE48A"
"aptian",10,-45,-60,-52.5,"S",4.13,1,8,0.0652345601010899,125,119,113,12,"Ap","#BFE48A"
