"name","bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper","prop_richness","max_age","mid_age","min_age","duration","abbr","color"
"aalenian",1,90,75,82.5,"N",270.22,242.95,297.05,0.175654593203151,174.1,172.2,170.3,3.8,"Aln","#9AD9DD"
"aalenian",2,75,60,67.5,"N",184.96,161.95,209.1,0.12023193530773,174.1,172.2,170.3,3.8,"Aln","#9AD9DD"
"aalenian",3,60,45,52.5,"N",173.32,153,195.525,0.112665435918771,174.1,172.2,170.3,3.8,"Aln","#9AD9DD"
"aalenian",4,45,30,37.5,"N",241.46,219.95,270.625,0.156959359317715,174.1,172.2,170.3,3.8,"Aln","#9AD9DD"
"aalenian",5,30,15,22.5,"N",182.79,163.475,204.05,0.118821342208586,174.1,172.2,170.3,3.8,"Aln","#9AD9DD"
"aalenian",6,15,0,7.5,"N",79.08,62.95,93,0.0514053927559219,174.1,172.2,170.3,3.8,"Aln","#9AD9DD"
"aalenian",7,0,-15,-7.5,"S",57.2,43.475,73,0.0371824540419668,174.1,172.2,170.3,3.8,"Aln","#9AD9DD"
"aalenian",8,-15,-30,-22.5,"S",69.76,57.475,85,0.0453469929015315,174.1,172.2,170.3,3.8,"Aln","#9AD9DD"
"aalenian",9,-30,-45,-37.5,"S",67.24,54,83.625,0.0437088847863959,174.1,172.2,170.3,3.8,"Aln","#9AD9DD"
"aalenian",10,-45,-60,-52.5,"S",31.24,22,44.525,0.0203073402844588,174.1,172.2,170.3,3.8,"Aln","#9AD9DD"
"aalenian",11,-60,-75,-67.5,"S",39.73,29,53,0.0258262045294989,174.1,172.2,170.3,3.8,"Aln","#9AD9DD"
"aalenian",12,-75,-90,-82.5,"S",141.36,117.475,159,0.0918900647442731,174.1,172.2,170.3,3.8,"Aln","#9AD9DD"
"albian",1,90,75,82.5,"N",298.78,274,326.625,0.180155083631803,113,106.75,100.5,12.5,"Alb","#CCEA97"
"albian",2,75,60,67.5,"N",241.45,217.425,269.525,0.145586869746632,113,106.75,100.5,12.5,"Alb","#CCEA97"
"albian",3,60,45,52.5,"N",191.62,163,216.575,0.11554092350735,113,106.75,100.5,12.5,"Alb","#CCEA97"
"albian",4,45,30,37.5,"N",191.06,167,218.575,0.115203260856457,113,106.75,100.5,12.5,"Alb","#CCEA97"
"albian",5,30,15,22.5,"N",157.64,138.95,175.575,0.0950520362263787,113,106.75,100.5,12.5,"Alb","#CCEA97"
"albian",6,15,0,7.5,"N",102,85.475,122.05,0.0615028399840816,113,106.75,100.5,12.5,"Alb","#CCEA97"
