"name","bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper","prop_richness","max_age","mid_age","min_age","duration","abbr","color"
"aalenian",1,90,75,82.5,"N",NA,NA,NA,NA,174.1,172.2,170.3,3.8,"Aln","#9AD9DD"
"aalenian",2,75,60,67.5,"N",0.01,0,0,0.000234853642732654,174.1,172.2,170.3,3.8,"Aln","#9AD9DD"
"aalenian",3,60,45,52.5,"N",0.29,0,2,0.00681075563924696,174.1,172.2,170.3,3.8,"Aln","#9AD9DD"
"aalenian",4,45,30,37.5,"N",16.95046,9.92185,22.01355,0.398087727699414,174.1,172.2,170.3,3.8,"Aln","#9AD9DD"
"aalenian",5,30,15,22.5,"N",21.70935,15.99285,26.483825,0.509851992885814,174.1,172.2,170.3,3.8,"Aln","#9AD9DD"
"aalenian",6,15,0,7.5,"N",NA,NA,NA,NA,174.1,172.2,170.3,3.8,"Aln","#9AD9DD"
"aalenian",7,0,-15,-7.5,"S",NA,NA,NA,NA,174.1,172.2,170.3,3.8,"Aln","#9AD9DD"
"aalenian",8,-15,-30,-22.5,"S",2.4699,0,5.52499999999999,0.0580065012185381,174.1,172.2,170.3,3.8,"Aln","#9AD9DD"
"aalenian",9,-30,-45,-37.5,"S",1.12,0,3,0.0263036079860572,174.1,172.2,170.3,3.8,"Aln","#9AD9DD"
"aalenian",10,-45,-60,-52.5,"S",NA,NA,NA,NA,174.1,172.2,170.3,3.8,"Aln","#9AD9DD"
"aalenian",11,-60,-75,-67.5,"S",NA,NA,NA,NA,174.1,172.2,170.3,3.8,"Aln","#9AD9DD"
"aalenian",12,-75,-90,-82.5,"S",0.03,0,0.524999999999991,0.000704560928197961,174.1,172.2,170.3,3.8,"Aln","#9AD9DD"
"albian",1,90,75,82.5,"N",0.14,0,1,0.0012699339951806,113,106.75,100.5,12.5,"Alb","#CCEA97"
"albian",2,75,60,67.5,"N",0.69,0,2,0.00625896040481867,113,106.75,100.5,12.5,"Alb","#CCEA97"
"albian",3,60,45,52.5,"N",11.06073,6.4101,17.104675,0.100331407417957,113,106.75,100.5,12.5,"Alb","#CCEA97"
"albian",4,45,30,37.5,"N",28.25592,24.89425,31.622225,0.25630823837931,113,106.75,100.5,12.5,"Alb","#CCEA97"
"albian",5,30,15,22.5,"N",29.26164,24.706275,33.448875,0.265431081362403,113,106.75,100.5,12.5,"Alb","#CCEA97"
"albian",6,15,0,7.5,"N",27.05401,23.048225,30.459875,0.245405764321114,113,106.75,100.5,12.5,"Alb","#CCEA97"
"albian",7,0,-15,-7.5,"S",12.01965,6.469775,17.603625,0.109029729608375,113,106.75,100.5,12.5,"Alb","#CCEA97"
"albian",8,-15,-30,-22.5,"S",NA,NA,NA,NA,113,106.75,100.5,12.5,"Alb","#CCEA97"
"albian",9,-30,-45,-37.5,"S",1.3,0,3.52499999999999,0.0117922442409627,113,106.75,100.5,12.5,"Alb","#CCEA97"
"albian",10,-45,-60,-52.5,"S",0.17,0,1,0.00154206270843359,113,106.75,100.5,12.5,"Alb","#CCEA97"
"albian",11,-60,-75,-67.5,"S",0.29,0,1.52499999999999,0.00263057756144553,113,106.75,100.5,12.5,"Alb","#CCEA97"
"albian",12,-75,-90,-82.5,"S",NA,NA,NA,NA,113,106.75,100.5,12.5,"Alb","#CCEA97"
"anisian",1,90,75,82.5,"N",0.02,0,0,0.000204412760466572,247.2,244.6,242,5.2,"An","#BC75B7"
"anisian",2,75,60,67.5,"N",NA,NA,NA,NA,247.2,244.6,242,5.2,"An","#BC75B7"
"anisian",3,60,45,52.5,"N",0.62,0,2.52499999999999,0.00633679557446374,247.2,244.6,242,5.2,"An","#BC75B7"
"anisian",4,45,30,37.5,"N",12.68541,6.944225,18.3778,0.129652983787513,247.2,244.6,242,5.2,"An","#BC75B7"
"anisian",5,30,15,22.5,"N",24.22227,20.357225,27.978925,0.247567053773332,247.2,244.6,242,5.2,"An","#BC75B7"
"anisian",6,15,0,7.5,"N",22.31028,17.42435,26.634125,0.228025296079108,247.2,244.6,242,5.2,"An","#BC75B7"
"anisian",7,0,-15,-7.5,"S",25.34746,22.159,29.6443,0.259067213470801,247.2,244.6,242,5.2,"An","#BC75B7"
"anisian",8,-15,-30,-22.5,"S",10.05643,4.474525,16.102925,0.102783130836943,247.2,244.6,242,5.2,"An","#BC75B7"
"anisian",9,-30,-45,-37.5,"S",2.5694,0,5.998525,0.0262609073371405,247.2,244.6,242,5.2,"An","#BC75B7"
"anisian",10,-45,-60,-52.5,"S",NA,NA,NA,NA,247.2,244.6,242,5.2,"An","#BC75B7"
"anisian",11,-60,-75,-67.5,"S",NA,NA,NA,NA,247.2,244.6,242,5.2,"An","#BC75B7"
"anisian",12,-75,-90,-82.5,"S",0.01,0,0,0.000102206380233286,247.2,244.6,242,5.2,"An","#BC75B7"
"aptian",1,90,75,82.5,"N",0.04,0,1,0.000492925229034627,125,119,113,12,"Ap","#BFE48A"
"aptian",2,75,60,67.5,"N",0.06,0,1,0.00073938784355194,125,119,113,12,"Ap","#BFE48A"
"aptian",3,60,45,52.5,"N",NA,NA,NA,NA,125,119,113,12,"Ap","#BFE48A"
"aptian",4,45,30,37.5,"N",27.36195,22.873025,31.03495,0.3371848867646,125,119,113,12,"Ap","#BFE48A"
"aptian",5,30,15,22.5,"N",28.90378,24.657875,32.807825,0.356185059411662,125,119,113,12,"Ap","#BFE48A"
"aptian",6,15,0,7.5,"N",18.73257,11.788325,24.9956,0.230843908941429,125,119,113,12,"Ap","#BFE48A"
"aptian",7,0,-15,-7.5,"S",4.73991,1,8.881075,0.058410530558838,125,119,113,12,"Ap","#BFE48A"
"aptian",8,-15,-30,-22.5,"S",NA,NA,NA,NA,125,119,113,12,"Ap","#BFE48A"
"aptian",9,-30,-45,-37.5,"S",0.41,0,2,0.00505248359760492,125,119,113,12,"Ap","#BFE48A"
"aptian",10,-45,-60,-52.5,"S",0.28,0,2.52499999999999,0.00345047660324239,125,119,113,12,"Ap","#BFE48A"
"aptian",11,-60,-75,-67.5,"S",0.62,0,2,0.00764034105003672,125,119,113,12,"Ap","#BFE48A"
"aptian",12,-75,-90,-82.5,"S",NA,NA,NA,NA,125,119,113,12,"Ap","#BFE48A"
"aquitanian",1,90,75,82.5,"N",NA,NA,NA,NA,23.03,21.735,20.44,2.59,"Aq","#FFFF33"
"aquitanian",2,75,60,67.5,"N",NA,NA,NA,NA,23.03,21.735,20.44,2.59,"Aq","#FFFF33"
