"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",9.45948,4,14.101925
2,75,60,67.5,"N",18.48225,13.1024,23.204375
3,60,45,52.5,"N",19.7561,15.062425,24.171125
4,45,30,37.5,"N",26.85823,23.1195,30.7942
5,30,15,22.5,"N",16.11137,10.7236,21.86405
6,15,0,7.5,"N",8.74763,4,13.6721
7,0,-15,-7.5,"S",2.65985,0,5
8,-15,-30,-22.5,"S",NA,NA,NA
9,-30,-45,-37.5,"S",0.82,0,3
10,-45,-60,-52.5,"S",0.79,0,3
11,-60,-75,-67.5,"S",3.94644,1,7.955175
12,-75,-90,-82.5,"S",NA,NA,NA
