"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",2.8199,0,6.99525
2,75,60,67.5,"N",2.8698,0,6.52499999999999
3,60,45,52.5,"N",1.67,0,4
4,45,30,37.5,"N",27.9837,23.75125,31.79575
5,30,15,22.5,"N",18.8935,11.60125,24.324
6,15,0,7.5,"N",9.6941,4.475,14.4625
7,0,-15,-7.5,"S",2.28,0,5
8,-15,-30,-22.5,"S",NA,NA,NA
9,-30,-45,-37.5,"S",5.3916,2,10.86525
10,-45,-60,-52.5,"S",6.0866,2,11.80825
11,-60,-75,-67.5,"S",16.4583,10.379,22.167
12,-75,-90,-82.5,"S",NA,NA,NA
