"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",3.74787,1,6.997525
2,75,60,67.5,"N",5.20176,1,9.47407499999999
3,60,45,52.5,"N",3.96711,1,7.988575
4,45,30,37.5,"N",17.28061,10.2113,24.394825
5,30,15,22.5,"N",3.0396,0.475,6.99405
6,15,0,7.5,"N",8.59116,3,14.24815
7,0,-15,-7.5,"S",5.52426,1,10.814375
8,-15,-30,-22.5,"S",7.79575,3,13.531625
9,-30,-45,-37.5,"S",9.42957,5,15.258725
10,-45,-60,-52.5,"S",5.20115,1.475,11.390175
11,-60,-75,-67.5,"S",10.3347,5.47405,16.082525
12,-75,-90,-82.5,"S",1.06,0,3
