"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",NA,NA,NA
2,75,60,67.5,"N",3.1676,0,5.99905
3,60,45,52.5,"N",NA,NA,NA
4,45,30,37.5,"N",16.51157,11.745175,20.855425
5,30,15,22.5,"N",13.38117,8.369825,18.151075
6,15,0,7.5,"N",4.75252,1,8.8781
7,0,-15,-7.5,"S",4.53803,1,8.838575
8,-15,-30,-22.5,"S",9.92444,4.4731,15.20865
9,-30,-45,-37.5,"S",8.24689,3,13.23375
10,-45,-60,-52.5,"S",6.5927,2,11.3605
11,-60,-75,-67.5,"S",1.39,0,4
12,-75,-90,-82.5,"S",NA,NA,NA
