"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",NA,NA,NA
2,75,60,67.5,"N",NA,NA,NA
3,60,45,52.5,"N",2.7396,0,6.51869999999999
4,45,30,37.5,"N",23.18594,18.1953,27.7725
5,30,15,22.5,"N",4.8249,1,8.50969999999999
6,15,0,7.5,"N",3.58905,1,6.51817499999999
7,0,-15,-7.5,"S",0.13,0,1
8,-15,-30,-22.5,"S",0.38,0,2
9,-30,-45,-37.5,"S",0.73,0,2.52499999999999
10,-45,-60,-52.5,"S",4.07733,1,7.99205
11,-60,-75,-67.5,"S",0.29,0,1.52499999999999
12,-75,-90,-82.5,"S",NA,NA,NA
