"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",NA,NA,NA
2,75,60,67.5,"N",1.94,0,5
3,60,45,52.5,"N",7.70910000000001,4,13.19925
4,45,30,37.5,"N",28.7105,25.42375,31.95575
5,30,15,22.5,"N",17.1041,10.81375,21.46
6,15,0,7.5,"N",14.9763,9.74425,20.80775
7,0,-15,-7.5,"S",3.1095,0,7
8,-15,-30,-22.5,"S",4.9946,1,9.95
9,-30,-45,-37.5,"S",9.62470000000001,4.475,14.521
10,-45,-60,-52.5,"S",4.8555,1,8.50924999999999
11,-60,-75,-67.5,"S",NA,NA,NA
12,-75,-90,-82.5,"S",NA,NA,NA
