"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",6.05695,2,10.8934
2,75,60,67.5,"N",5.92289,1.475,11.2374
3,60,45,52.5,"N",11.17333,5.961025,16.0508
4,45,30,37.5,"N",25.62075,20.847375,29.82965
5,30,15,22.5,"N",20.05295,14.96765,24.3345
6,15,0,7.5,"N",1.3,0,3.52499999999999
7,0,-15,-7.5,"S",0.99998,0,3
8,-15,-30,-22.5,"S",NA,NA,NA
9,-30,-45,-37.5,"S",1.05,0,3.52499999999999
10,-45,-60,-52.5,"S",NA,NA,NA
11,-60,-75,-67.5,"S",NA,NA,NA
12,-75,-90,-82.5,"S",NA,NA,NA
