"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",14.5752,7.9585,20.76625
2,75,60,67.5,"N",15.1535,8.44125,21.5945
3,60,45,52.5,"N",10.4984,5,16.33475
4,45,30,37.5,"N",20.2177,14.94775,24.92525
5,30,15,22.5,"N",17.5404,12.08775,22.19525
6,15,0,7.5,"N",16.2822,10.25825,21.027
7,0,-15,-7.5,"S",19.6146,14.88225,24.954
8,-15,-30,-22.5,"S",11.7977,5.99475,17.8865
9,-30,-45,-37.5,"S",5.8669,1,10.9005
10,-45,-60,-52.5,"S",2.03,0,5
11,-60,-75,-67.5,"S",3.5391,1,7.9805
12,-75,-90,-82.5,"S",1.98,0,5.52499999999999
