"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",4.87514,0.475,9.46877499999999
2,75,60,67.5,"N",3.99697,1,8.50607499999999
3,60,45,52.5,"N",9.07969,3,14.222625
4,45,30,37.5,"N",7.01471000000001,2,11.792525
5,30,15,22.5,"N",9.51819000000001,3.475,14.080875
6,15,0,7.5,"N",15.86546,8.85365,20.89685
7,0,-15,-7.5,"S",11.26431,5.998,15.570725
8,-15,-30,-22.5,"S",7.62943,2.475,14.0761
9,-30,-45,-37.5,"S",2.65973,0,5.997625
10,-45,-60,-52.5,"S",NA,NA,NA
11,-60,-75,-67.5,"S",NA,NA,NA
12,-75,-90,-82.5,"S",1.34,0,4
