"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",8.1463,3.475,12.7705
2,75,60,67.5,"N",13.4412,7.95475,19.02725
3,60,45,52.5,"N",13.8476,6.874,19.63525
4,45,30,37.5,"N",23.6149,18.47775,28.14825
5,30,15,22.5,"N",6.8757,2.475,10.86775
6,15,0,7.5,"N",21.2163,16.08125,26.16075
7,0,-15,-7.5,"S",12.0922,6,17.00175
8,-15,-30,-22.5,"S",9.60580000000001,4.475,15.11625
9,-30,-45,-37.5,"S",13.007,6.475,18.24625
10,-45,-60,-52.5,"S",8.7006,3,14.4965
11,-60,-75,-67.5,"S",11.5803,6.4655,17.22025
12,-75,-90,-82.5,"S",NA,NA,NA
